file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,21112018,2309,1928.0,23.976023976023978,239,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1153d0f30>
"
"
Crab_ID,Crab_Position,Crab_frame
Crab_ID,Crab_axis_1,Crab_axis_2
"GP010016_fast.mp4_crab_(282, 293)",10,4
"GP010016_fast.mp4_crab_(282, 293)",8,10
"GP010016_fast.mp4_crab_(282, 293)",18,8
"GP010016_fast.mp4_crab_(282, 293)",4,5
"GP010016_fast.mp4_crab_(282, 293)",9,3
"GP010016_fast.mp4_crab_(282, 293)",8,10
"GP010016_fast.mp4_crab_(282, 293)",10,5
"GP010016_fast.mp4_crab_(282, 293)",20,15
"GP010016_fast.mp4_crab_(282, 293)",9,7
"GP010016_fast.mp4_crab_(282, 293)",19,19
"GP010016_fast.mp4_crab_(282, 293)",19,19
"GP010016_fast.mp4_crab_(282, 293)",19,20
"GP010016_fast.mp4_crab_(282, 293)",18,16
"GP010016_fast.mp4_crab_(282, 293)",12,6
"GP010016_fast.mp4_crab_(282, 293)",23,22
"GP010016_fast.mp4_crab_(282, 293)",17,18
"GP010016_fast.mp4_crab_(282, 293)",22,24
"GP010016_fast.mp4_crab_(282, 293)",18,17
"GP010016_fast.mp4_crab_(282, 293)",11,8
"GP010016_fast.mp4_crab_(282, 293)",16,10
"GP010016_fast.mp4_crab_(282, 293)",23,10
"GP010016_fast.mp4_crab_(282, 293)",24,10
"GP010016_fast.mp4_crab_(282, 293)",9,6
"GP010016_fast.mp4_crab_(282, 293)",11,10
"GP010016_fast.mp4_crab_(282, 293)",5,4
"GP010016_fast.mp4_crab_(282, 293)",9,6
"GP010016_fast.mp4_crab_(282, 293)",14,13
"GP010016_fast.mp4_crab_(282, 293)",12,15
"GP010016_fast.mp4_crab_(282, 293)",18,14
"GP010016_fast.mp4_crab_(282, 293)",12,12
"GP010016_fast.mp4_crab_(282, 293)",19,12
"GP010016_fast.mp4_crab_(282, 293)",19,13
"GP010016_fast.mp4_crab_(282, 293)",21,20
"GP010016_fast.mp4_crab_(282, 293)",21,17
"GP010016_fast.mp4_crab_(282, 293)",13,8
"GP010016_fast.mp4_crab_(282, 293)",15,16
"GP010016_fast.mp4_crab_(282, 293)",12,17
"GP010016_fast.mp4_crab_(282, 293)",17,13
"GP010016_fast.mp4_crab_(282, 293)",18,12
"GP010016_fast.mp4_crab_(282, 293)",14,13
"GP010016_fast.mp4_crab_(282, 293)",20,17
"GP010016_fast.mp4_crab_(282, 293)",22,18
"GP010016_fast.mp4_crab_(282, 293)",22,17
"GP010016_fast.mp4_crab_(282, 293)",17,22
"GP010016_fast.mp4_crab_(282, 293)",17,15
"GP010016_fast.mp4_crab_(282, 293)",19,22
"GP010016_fast.mp4_crab_(282, 293)",17,22
"GP010016_fast.mp4_crab_(282, 293)",20,15
"GP010016_fast.mp4_crab_(282, 293)",18,9
"GP010016_fast.mp4_crab_(282, 293)",19,6
"GP010016_fast.mp4_crab_(282, 293)",29,11
"GP010016_fast.mp4_crab_(282, 293)",30,11
"GP010016_fast.mp4_crab_(282, 293)",29,12
"GP010016_fast.mp4_crab_(282, 293)",10,9
"GP010016_fast.mp4_crab_(282, 293)",19,16
"GP010016_fast.mp4_crab_(282, 293)",9,15
"GP010016_fast.mp4_crab_(282, 293)",10,10
"GP010016_fast.mp4_crab_(282, 293)",23,15
"GP010016_fast.mp4_crab_(282, 293)",26,10
"GP010016_fast.mp4_crab_(282, 293)",26,17
"GP010016_fast.mp4_crab_(282, 293)",26,18
"GP010016_fast.mp4_crab_(282, 293)",26,17
"GP010016_fast.mp4_crab_(282, 293)",30,8
"GP010016_fast.mp4_crab_(282, 293)",32,22
"GP010016_fast.mp4_crab_(282, 293)",17,17
"GP010016_fast.mp4_crab_(282, 293)",32,23
"GP010016_fast.mp4_crab_(282, 293)",8,4
"GP010016_fast.mp4_crab_(282, 293)",32,21
"GP010016_fast.mp4_crab_(282, 293)",16,8
"GP010016_fast.mp4_crab_(282, 293)",33,24
"GP010016_fast.mp4_crab_(282, 293)",29,18
"GP010016_fast.mp4_crab_(282, 293)",11,10
"GP010016_fast.mp4_crab_(282, 293)",31,23
"GP010016_fast.mp4_crab_(282, 293)",32,24
"GP010016_fast.mp4_crab_(282, 293)",7,4
"GP010016_fast.mp4_crab_(282, 293)",19,20
"GP010016_fast.mp4_crab_(282, 293)",21,16
"GP010016_fast.mp4_crab_(282, 293)",17,19
"GP010016_fast.mp4_crab_(282, 293)",20,19
"GP010016_fast.mp4_crab_(282, 293)",22,18
"GP010016_fast.mp4_crab_(282, 293)",22,20
"GP010016_fast.mp4_crab_(282, 293)",21,23
"GP010016_fast.mp4_crab_(282, 293)",23,19
"GP010016_fast.mp4_crab_(282, 293)",21,16
"GP010016_fast.mp4_crab_(282, 293)",21,16
"GP010016_fast.mp4_crab_(282, 293)",27,22
"GP010016_fast.mp4_crab_(282, 293)",21,18
"GP010016_fast.mp4_crab_(282, 293)",21,18
"GP010016_fast.mp4_crab_(282, 293)",21,18
"GP010016_fast.mp4_crab_(282, 293)",26,18
"GP010016_fast.mp4_crab_(282, 293)",25,18
"GP010016_fast.mp4_crab_(282, 293)",26,16
"GP010016_fast.mp4_crab_(282, 293)",26,18
"GP010016_fast.mp4_crab_(282, 293)",26,16
"GP010016_fast.mp4_crab_(282, 293)",26,16
"GP010016_fast.mp4_crab_(282, 293)",21,19
"GP010016_fast.mp4_crab_(282, 293)",5,4
"GP010016_fast.mp4_crab_(282, 293)",5,4
"GP010016_fast.mp4_crab_(282, 293)",21,16
"GP010016_fast.mp4_crab_(282, 293)",21,17
"GP010016_fast.mp4_crab_(282, 293)",21,19
"GP010016_fast.mp4_crab_(282, 293)",19,17
"GP010016_fast.mp4_crab_(282, 293)",20,20
"GP010016_fast.mp4_crab_(282, 293)",24,20
"GP010016_fast.mp4_crab_(282, 293)",22,23
"GP010016_fast.mp4_crab_(282, 293)",22,22
"GP010016_fast.mp4_crab_(282, 293)",18,18
"GP010016_fast.mp4_crab_(282, 293)",22,18
"GP010016_fast.mp4_crab_(282, 293)",22,16
"GP010016_fast.mp4_crab_(282, 293)",19,14
"GP010016_fast.mp4_crab_(282, 293)",18,6
"GP010016_fast.mp4_crab_(282, 293)",17,10
"GP010016_fast.mp4_crab_(282, 293)",31,21
"GP010016_fast.mp4_crab_(282, 293)",9,10
"GP010016_fast.mp4_crab_(282, 293)",29,20
"GP010016_fast.mp4_crab_(282, 293)",31,21
"GP010016_fast.mp4_crab_(282, 293)",29,21
"GP010016_fast.mp4_crab_(282, 293)",29,22
"GP010016_fast.mp4_crab_(282, 293)",28,22
"GP010016_fast.mp4_crab_(282, 293)",29,18
"GP010016_fast.mp4_crab_(282, 293)",31,23
"GP010016_fast.mp4_crab_(282, 293)",29,23
"GP010016_fast.mp4_crab_(282, 293)",28,23
"GP010016_fast.mp4_crab_(282, 293)",28,15
"GP010016_fast.mp4_crab_(282, 293)",27,23
"GP010016_fast.mp4_crab_(282, 293)",29,16
"GP010016_fast.mp4_crab_(282, 293)",5,8
"GP010016_fast.mp4_crab_(282, 293)",7,9
"GP010016_fast.mp4_crab_(282, 293)",30,7
"GP010016_fast.mp4_crab_(282, 293)",31,13
"GP010016_fast.mp4_crab_(282, 293)",34,23
"GP010016_fast.mp4_crab_(282, 293)",16,11
"GP010016_fast.mp4_crab_(282, 293)",27,15
"GP010016_fast.mp4_crab_(282, 293)",31,21
"GP010016_fast.mp4_crab_(282, 293)",30,29
"GP010016_fast.mp4_crab_(282, 293)",13,15
"GP010016_fast.mp4_crab_(282, 293)",28,13
"GP010016_fast.mp4_crab_(282, 293)",11,13
"GP010016_fast.mp4_crab_(282, 293)",27,17
"GP010016_fast.mp4_crab_(282, 293)",12,18
"GP010016_fast.mp4_crab_(282, 293)",11,9
"GP010016_fast.mp4_crab_(282, 293)",27,17
"GP010016_fast.mp4_crab_(282, 293)",29,24
"GP010016_fast.mp4_crab_(282, 293)",29,23
"GP010016_fast.mp4_crab_(282, 293)",30,23
"GP010016_fast.mp4_crab_(282, 293)",14,16
"GP010016_fast.mp4_crab_(282, 293)",30,27
"GP010016_fast.mp4_crab_(282, 293)",30,24
"GP010016_fast.mp4_crab_(282, 293)",29,27
"GP010016_fast.mp4_crab_(282, 293)",26,17
"GP010016_fast.mp4_crab_(282, 293)",4,12
"GP010016_fast.mp4_crab_(282, 293)",26,15
"GP010016_fast.mp4_crab_(282, 293)",30,28
"GP010016_fast.mp4_crab_(282, 293)",34,18
"GP010016_fast.mp4_crab_(282, 293)",26,17
"GP010016_fast.mp4_crab_(282, 293)",27,27
"GP010016_fast.mp4_crab_(282, 293)",27,18
"GP010016_fast.mp4_crab_(282, 293)",29,18
"GP010016_fast.mp4_crab_(282, 293)",31,18
"GP010016_fast.mp4_crab_(282, 293)",31,23
"GP010016_fast.mp4_crab_(282, 293)",16,14
"GP010016_fast.mp4_crab_(282, 293)",29,19
"GP010016_fast.mp4_crab_(282, 293)",20,9
"GP010016_fast.mp4_crab_(282, 293)",18,7
"GP010016_fast.mp4_crab_(282, 293)",21,10
"GP010016_fast.mp4_crab_(282, 293)",4,2
"GP010016_fast.mp4_crab_(282, 293)",15,17
"GP010016_fast.mp4_crab_(282, 293)",20,18
"GP010016_fast.mp4_crab_(282, 293)",9,12
"GP010016_fast.mp4_crab_(282, 293)",6,2
"GP010016_fast.mp4_crab_(282, 293)",26,11
"GP010016_fast.mp4_crab_(282, 293)",15,8
"GP010016_fast.mp4_crab_(282, 293)",10,5
"GP010016_fast.mp4_crab_(282, 293)",13,8
"GP010016_fast.mp4_crab_(282, 293)",31,26
"GP010016_fast.mp4_crab_(282, 293)",12,5
"GP010016_fast.mp4_crab_(282, 293)",31,19
"GP010016_fast.mp4_crab_(282, 293)",30,26
"GP010016_fast.mp4_crab_(282, 293)",31,19
"GP010016_fast.mp4_crab_(282, 293)",31,19
"GP010016_fast.mp4_crab_(282, 293)",31,19
"GP010016_fast.mp4_crab_(282, 293)",31,19
"GP010016_fast.mp4_crab_(282, 293)",31,19
"GP010016_fast.mp4_crab_(282, 293)",29,19
"GP010016_fast.mp4_crab_(282, 293)",31,19
"GP010016_fast.mp4_crab_(282, 293)",31,19
"GP010016_fast.mp4_crab_(282, 293)",31,23
"GP010016_fast.mp4_crab_(282, 293)",31,27
"GP010016_fast.mp4_crab_(282, 293)",29,19
"GP010016_fast.mp4_crab_(282, 293)",29,23
"GP010016_fast.mp4_crab_(282, 293)",6,4
"GP010016_fast.mp4_crab_(282, 293)",24,25
"GP010016_fast.mp4_crab_(282, 293)",25,19
"GP010016_fast.mp4_crab_(282, 293)",25,25
"GP010016_fast.mp4_crab_(282, 293)",28,27
"GP010016_fast.mp4_crab_(282, 293)",28,27
"GP010016_fast.mp4_crab_(282, 293)",27,18
"GP010016_fast.mp4_crab_(282, 293)",25,24
"GP010016_fast.mp4_crab_(282, 293)",26,17
