file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1524,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1109f4f70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(290, 205)","(292, 205)",0
"GP010016_fast.mp4_crab_(290, 205)","(294, 206)",1
"GP010016_fast.mp4_crab_(290, 205)","(295, 206)",2
"GP010016_fast.mp4_crab_(290, 205)","(295, 210)",3
"GP010016_fast.mp4_crab_(290, 205)","(298, 212)",4
"GP010016_fast.mp4_crab_(290, 205)","(299, 213)",5
"GP010016_fast.mp4_crab_(290, 205)","(299, 213)",6
"GP010016_fast.mp4_crab_(290, 205)","(300, 214)",7
"GP010016_fast.mp4_crab_(290, 205)","(300, 215)",8
"GP010016_fast.mp4_crab_(290, 205)","(299, 212)",9
"GP010016_fast.mp4_crab_(290, 205)","(298, 212)",10
"GP010016_fast.mp4_crab_(290, 205)","(299, 213)",11
"GP010016_fast.mp4_crab_(290, 205)","(299, 213)",12
"GP010016_fast.mp4_crab_(290, 205)","(299, 213)",13
"GP010016_fast.mp4_crab_(290, 205)","(299, 213)",14
"GP010016_fast.mp4_crab_(290, 205)","(301, 214)",15
"GP010016_fast.mp4_crab_(290, 205)","(302, 213)",16
"GP010016_fast.mp4_crab_(290, 205)","(298, 217)",17
"GP010016_fast.mp4_crab_(290, 205)","(304, 211)",18
"GP010016_fast.mp4_crab_(290, 205)","(297, 212)",19
"GP010016_fast.mp4_crab_(290, 205)","(298, 212)",20
"GP010016_fast.mp4_crab_(290, 205)","(293, 213)",21
"GP010016_fast.mp4_crab_(290, 205)","(292, 216)",22
"GP010016_fast.mp4_crab_(290, 205)","(290, 214)",23
"GP010016_fast.mp4_crab_(290, 205)","(293, 209)",24
"GP010016_fast.mp4_crab_(290, 205)","(290, 214)",25
"GP010016_fast.mp4_crab_(290, 205)","(292, 213)",26
"GP010016_fast.mp4_crab_(290, 205)","(294, 212)",27
"GP010016_fast.mp4_crab_(290, 205)","(291, 212)",28
"GP010016_fast.mp4_crab_(290, 205)","(290, 214)",29
"GP010016_fast.mp4_crab_(290, 205)","(290, 213)",30
"GP010016_fast.mp4_crab_(290, 205)","(289, 214)",31
"GP010016_fast.mp4_crab_(290, 205)","(288, 211)",32
"GP010016_fast.mp4_crab_(290, 205)","(292, 211)",33
