file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1526,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10bdd6f70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(291, 206)","(294, 206)",0
"GP010016_fast.mp4_crab_(291, 206)","(296, 207)",1
"GP010016_fast.mp4_crab_(291, 206)","(297, 208)",2
"GP010016_fast.mp4_crab_(291, 206)","(299, 210)",3
"GP010016_fast.mp4_crab_(291, 206)","(302, 212)",4
"GP010016_fast.mp4_crab_(291, 206)","(302, 213)",5
"GP010016_fast.mp4_crab_(291, 206)","(303, 213)",6
"GP010016_fast.mp4_crab_(291, 206)","(303, 214)",7
"GP010016_fast.mp4_crab_(291, 206)","(302, 213)",8
"GP010016_fast.mp4_crab_(291, 206)","(302, 213)",9
"GP010016_fast.mp4_crab_(291, 206)","(302, 214)",10
"GP010016_fast.mp4_crab_(291, 206)","(302, 213)",11
"GP010016_fast.mp4_crab_(291, 206)","(302, 213)",12
"GP010016_fast.mp4_crab_(291, 206)","(302, 213)",13
"GP010016_fast.mp4_crab_(291, 206)","(302, 214)",14
"GP010016_fast.mp4_crab_(291, 206)","(302, 212)",15
"GP010016_fast.mp4_crab_(291, 206)","(302, 212)",16
"GP010016_fast.mp4_crab_(291, 206)","(302, 212)",17
"GP010016_fast.mp4_crab_(291, 206)","(302, 212)",18
"GP010016_fast.mp4_crab_(291, 206)","(302, 212)",19
"GP010016_fast.mp4_crab_(291, 206)","(301, 211)",20
"GP010016_fast.mp4_crab_(291, 206)","(301, 212)",21
"GP010016_fast.mp4_crab_(291, 206)","(301, 211)",22
"GP010016_fast.mp4_crab_(291, 206)","(302, 211)",23
"GP010016_fast.mp4_crab_(291, 206)","(300, 212)",24
"GP010016_fast.mp4_crab_(291, 206)","(300, 211)",25
"GP010016_fast.mp4_crab_(291, 206)","(299, 212)",26
"GP010016_fast.mp4_crab_(291, 206)","(298, 212)",27
"GP010016_fast.mp4_crab_(291, 206)","(299, 212)",28
"GP010016_fast.mp4_crab_(291, 206)","(298, 211)",29
"GP010016_fast.mp4_crab_(291, 206)","(297, 212)",30
"GP010016_fast.mp4_crab_(291, 206)","(296, 212)",31
"GP010016_fast.mp4_crab_(291, 206)","(297, 212)",32
"GP010016_fast.mp4_crab_(291, 206)","(296, 212)",33
"GP010016_fast.mp4_crab_(291, 206)","(296, 212)",34
"GP010016_fast.mp4_crab_(291, 206)","(296, 212)",35
"GP010016_fast.mp4_crab_(291, 206)","(296, 212)",36
"GP010016_fast.mp4_crab_(291, 206)","(296, 212)",37
"GP010016_fast.mp4_crab_(291, 206)","(296, 212)",38
"GP010016_fast.mp4_crab_(291, 206)","(296, 213)",39
"GP010016_fast.mp4_crab_(291, 206)","(295, 213)",40
"GP010016_fast.mp4_crab_(291, 206)","(295, 213)",41
"GP010016_fast.mp4_crab_(291, 206)","(293, 213)",42
"GP010016_fast.mp4_crab_(291, 206)","(292, 213)",43
"GP010016_fast.mp4_crab_(291, 206)","(291, 214)",44
"GP010016_fast.mp4_crab_(291, 206)","(290, 213)",45
"GP010016_fast.mp4_crab_(291, 206)","(289, 213)",46
"GP010016_fast.mp4_crab_(291, 206)","(288, 214)",47
"GP010016_fast.mp4_crab_(291, 206)","(286, 213)",48
"GP010016_fast.mp4_crab_(291, 206)","(285, 213)",49
"GP010016_fast.mp4_crab_(291, 206)","(286, 213)",50
"GP010016_fast.mp4_crab_(291, 206)","(284, 213)",51
"GP010016_fast.mp4_crab_(291, 206)","(284, 213)",52
"GP010016_fast.mp4_crab_(291, 206)","(284, 213)",53
"GP010016_fast.mp4_crab_(291, 206)","(282, 211)",54
"GP010016_fast.mp4_crab_(291, 206)","(281, 211)",55
"GP010016_fast.mp4_crab_(291, 206)","(280, 212)",56
"GP010016_fast.mp4_crab_(291, 206)","(280, 212)",57
"GP010016_fast.mp4_crab_(291, 206)","(280, 212)",58
"GP010016_fast.mp4_crab_(291, 206)","(280, 212)",59
"GP010016_fast.mp4_crab_(291, 206)","(280, 212)",60
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",61
"GP010016_fast.mp4_crab_(291, 206)","(281, 213)",62
"GP010016_fast.mp4_crab_(291, 206)","(281, 212)",63
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",64
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",65
"GP010016_fast.mp4_crab_(291, 206)","(280, 212)",66
"GP010016_fast.mp4_crab_(291, 206)","(281, 213)",67
"GP010016_fast.mp4_crab_(291, 206)","(280, 212)",68
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",69
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",70
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",71
"GP010016_fast.mp4_crab_(291, 206)","(280, 212)",72
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",73
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",74
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",75
"GP010016_fast.mp4_crab_(291, 206)","(280, 212)",76
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",77
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",78
"GP010016_fast.mp4_crab_(291, 206)","(281, 213)",79
"GP010016_fast.mp4_crab_(291, 206)","(281, 213)",80
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",81
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",82
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",83
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",84
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",85
"GP010016_fast.mp4_crab_(291, 206)","(280, 213)",86
"GP010016_fast.mp4_crab_(291, 206)","(279, 213)",87
"GP010016_fast.mp4_crab_(291, 206)","(279, 214)",88
"GP010016_fast.mp4_crab_(291, 206)","(279, 213)",89
"GP010016_fast.mp4_crab_(291, 206)","(278, 214)",90
"GP010016_fast.mp4_crab_(291, 206)","(278, 214)",91
"GP010016_fast.mp4_crab_(291, 206)","(278, 214)",92
"GP010016_fast.mp4_crab_(291, 206)","(278, 214)",93
"GP010016_fast.mp4_crab_(291, 206)","(278, 214)",94
"GP010016_fast.mp4_crab_(291, 206)","(278, 214)",95
"GP010016_fast.mp4_crab_(291, 206)","(278, 213)",96
"GP010016_fast.mp4_crab_(291, 206)","(279, 213)",97
"GP010016_fast.mp4_crab_(291, 206)","(278, 214)",98
"GP010016_fast.mp4_crab_(291, 206)","(278, 214)",99
"GP010016_fast.mp4_crab_(291, 206)","(278, 214)",100
"GP010016_fast.mp4_crab_(291, 206)","(278, 213)",101
"GP010016_fast.mp4_crab_(291, 206)","(278, 215)",102
"GP010016_fast.mp4_crab_(291, 206)","(278, 214)",103
"GP010016_fast.mp4_crab_(291, 206)","(278, 215)",104
