file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1528,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10a9ebf70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(291, 204)","(294, 203)",0
"GP010016_fast.mp4_crab_(291, 204)","(295, 206)",1
"GP010016_fast.mp4_crab_(291, 204)","(297, 207)",2
"GP010016_fast.mp4_crab_(291, 204)","(298, 210)",3
"GP010016_fast.mp4_crab_(291, 204)","(299, 211)",4
"GP010016_fast.mp4_crab_(291, 204)","(299, 211)",5
"GP010016_fast.mp4_crab_(291, 204)","(300, 211)",6
"GP010016_fast.mp4_crab_(291, 204)","(300, 212)",7
"GP010016_fast.mp4_crab_(291, 204)","(301, 211)",8
"GP010016_fast.mp4_crab_(291, 204)","(300, 211)",9
"GP010016_fast.mp4_crab_(291, 204)","(298, 213)",10
"GP010016_fast.mp4_crab_(291, 204)","(299, 213)",11
"GP010016_fast.mp4_crab_(291, 204)","(299, 213)",12
"GP010016_fast.mp4_crab_(291, 204)","(300, 213)",13
"GP010016_fast.mp4_crab_(291, 204)","(300, 212)",14
"GP010016_fast.mp4_crab_(291, 204)","(300, 213)",15
"GP010016_fast.mp4_crab_(291, 204)","(300, 212)",16
"GP010016_fast.mp4_crab_(291, 204)","(300, 212)",17
"GP010016_fast.mp4_crab_(291, 204)","(299, 213)",18
"GP010016_fast.mp4_crab_(291, 204)","(299, 213)",19
"GP010016_fast.mp4_crab_(291, 204)","(299, 212)",20
"GP010016_fast.mp4_crab_(291, 204)","(299, 212)",21
"GP010016_fast.mp4_crab_(291, 204)","(299, 212)",22
"GP010016_fast.mp4_crab_(291, 204)","(299, 212)",23
"GP010016_fast.mp4_crab_(291, 204)","(299, 213)",24
"GP010016_fast.mp4_crab_(291, 204)","(299, 212)",25
"GP010016_fast.mp4_crab_(291, 204)","(299, 212)",26
"GP010016_fast.mp4_crab_(291, 204)","(298, 211)",27
"GP010016_fast.mp4_crab_(291, 204)","(298, 212)",28
"GP010016_fast.mp4_crab_(291, 204)","(297, 213)",29
"GP010016_fast.mp4_crab_(291, 204)","(297, 212)",30
"GP010016_fast.mp4_crab_(291, 204)","(296, 212)",31
"GP010016_fast.mp4_crab_(291, 204)","(297, 212)",32
"GP010016_fast.mp4_crab_(291, 204)","(296, 213)",33
"GP010016_fast.mp4_crab_(291, 204)","(297, 212)",34
"GP010016_fast.mp4_crab_(291, 204)","(296, 213)",35
"GP010016_fast.mp4_crab_(291, 204)","(296, 213)",36
"GP010016_fast.mp4_crab_(291, 204)","(296, 213)",37
"GP010016_fast.mp4_crab_(291, 204)","(297, 212)",38
"GP010016_fast.mp4_crab_(291, 204)","(296, 213)",39
"GP010016_fast.mp4_crab_(291, 204)","(296, 213)",40
"GP010016_fast.mp4_crab_(291, 204)","(295, 213)",41
"GP010016_fast.mp4_crab_(291, 204)","(294, 213)",42
"GP010016_fast.mp4_crab_(291, 204)","(293, 212)",43
"GP010016_fast.mp4_crab_(291, 204)","(291, 213)",44
"GP010016_fast.mp4_crab_(291, 204)","(290, 215)",45
"GP010016_fast.mp4_crab_(291, 204)","(290, 213)",46
"GP010016_fast.mp4_crab_(291, 204)","(289, 214)",47
"GP010016_fast.mp4_crab_(291, 204)","(287, 214)",48
"GP010016_fast.mp4_crab_(291, 204)","(286, 214)",49
"GP010016_fast.mp4_crab_(291, 204)","(285, 213)",50
"GP010016_fast.mp4_crab_(291, 204)","(285, 212)",51
"GP010016_fast.mp4_crab_(291, 204)","(284, 213)",52
"GP010016_fast.mp4_crab_(291, 204)","(284, 213)",53
"GP010016_fast.mp4_crab_(291, 204)","(282, 212)",54
"GP010016_fast.mp4_crab_(291, 204)","(281, 213)",55
"GP010016_fast.mp4_crab_(291, 204)","(281, 213)",56
"GP010016_fast.mp4_crab_(291, 204)","(279, 213)",57
"GP010016_fast.mp4_crab_(291, 204)","(281, 213)",58
"GP010016_fast.mp4_crab_(291, 204)","(279, 213)",59
"GP010016_fast.mp4_crab_(291, 204)","(281, 213)",60
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",61
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",62
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",63
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",64
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",65
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",66
"GP010016_fast.mp4_crab_(291, 204)","(281, 213)",67
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",68
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",69
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",70
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",71
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",72
"GP010016_fast.mp4_crab_(291, 204)","(281, 213)",73
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",74
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",75
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",76
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",77
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",78
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",79
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",80
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",81
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",82
"GP010016_fast.mp4_crab_(291, 204)","(281, 213)",83
"GP010016_fast.mp4_crab_(291, 204)","(281, 213)",84
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",85
"GP010016_fast.mp4_crab_(291, 204)","(280, 213)",86
"GP010016_fast.mp4_crab_(291, 204)","(279, 214)",87
"GP010016_fast.mp4_crab_(291, 204)","(279, 214)",88
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",89
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",90
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",91
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",92
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",93
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",94
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",95
"GP010016_fast.mp4_crab_(291, 204)","(278, 216)",96
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",97
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",98
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",99
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",100
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",101
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",102
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",103
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",104
"GP010016_fast.mp4_crab_(291, 204)","(278, 216)",105
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",106
"GP010016_fast.mp4_crab_(291, 204)","(278, 215)",107
"GP010016_fast.mp4_crab_(291, 204)","(275, 215)",108
"GP010016_fast.mp4_crab_(291, 204)","(274, 215)",109
"GP010016_fast.mp4_crab_(291, 204)","(273, 216)",110
"GP010016_fast.mp4_crab_(291, 204)","(274, 215)",111
"GP010016_fast.mp4_crab_(291, 204)","(274, 217)",112
"GP010016_fast.mp4_crab_(291, 204)","(274, 217)",113
"GP010016_fast.mp4_crab_(291, 204)","(274, 218)",114
"GP010016_fast.mp4_crab_(291, 204)","(275, 217)",115
"GP010016_fast.mp4_crab_(291, 204)","(275, 219)",116
"GP010016_fast.mp4_crab_(291, 204)","(274, 219)",117
"GP010016_fast.mp4_crab_(291, 204)","(275, 219)",118
"GP010016_fast.mp4_crab_(291, 204)","(275, 219)",119
"GP010016_fast.mp4_crab_(291, 204)","(275, 219)",120
"GP010016_fast.mp4_crab_(291, 204)","(275, 220)",121
"GP010016_fast.mp4_crab_(291, 204)","(275, 220)",122
"GP010016_fast.mp4_crab_(291, 204)","(275, 219)",123
"GP010016_fast.mp4_crab_(291, 204)","(275, 219)",124
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",125
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",126
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",127
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",128
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",129
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",130
"GP010016_fast.mp4_crab_(291, 204)","(276, 220)",131
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",132
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",133
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",134
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",135
"GP010016_fast.mp4_crab_(291, 204)","(276, 221)",136
"GP010016_fast.mp4_crab_(291, 204)","(275, 222)",137
"GP010016_fast.mp4_crab_(291, 204)","(275, 222)",138
"GP010016_fast.mp4_crab_(291, 204)","(274, 220)",139
"GP010016_fast.mp4_crab_(291, 204)","(275, 223)",140
"GP010016_fast.mp4_crab_(291, 204)","(274, 223)",141
"GP010016_fast.mp4_crab_(291, 204)","(274, 222)",142
