file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1529,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10e4a8f70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(290, 205)","(291, 207)",0
"GP010016_fast.mp4_crab_(290, 205)","(293, 207)",1
"GP010016_fast.mp4_crab_(290, 205)","(294, 207)",2
"GP010016_fast.mp4_crab_(290, 205)","(297, 210)",3
"GP010016_fast.mp4_crab_(290, 205)","(298, 212)",4
"GP010016_fast.mp4_crab_(290, 205)","(299, 213)",5
"GP010016_fast.mp4_crab_(290, 205)","(299, 214)",6
"GP010016_fast.mp4_crab_(290, 205)","(300, 212)",7
"GP010016_fast.mp4_crab_(290, 205)","(300, 212)",8
"GP010016_fast.mp4_crab_(290, 205)","(298, 214)",9
"GP010016_fast.mp4_crab_(290, 205)","(300, 212)",10
"GP010016_fast.mp4_crab_(290, 205)","(298, 215)",11
"GP010016_fast.mp4_crab_(290, 205)","(298, 214)",12
"GP010016_fast.mp4_crab_(290, 205)","(298, 214)",13
"GP010016_fast.mp4_crab_(290, 205)","(298, 214)",14
"GP010016_fast.mp4_crab_(290, 205)","(298, 214)",15
"GP010016_fast.mp4_crab_(290, 205)","(297, 215)",16
"GP010016_fast.mp4_crab_(290, 205)","(298, 213)",17
"GP010016_fast.mp4_crab_(290, 205)","(298, 213)",18
"GP010016_fast.mp4_crab_(290, 205)","(297, 213)",19
"GP010016_fast.mp4_crab_(290, 205)","(296, 213)",20
"GP010016_fast.mp4_crab_(290, 205)","(297, 213)",21
"GP010016_fast.mp4_crab_(290, 205)","(298, 211)",22
"GP010016_fast.mp4_crab_(290, 205)","(298, 211)",23
"GP010016_fast.mp4_crab_(290, 205)","(296, 213)",24
"GP010016_fast.mp4_crab_(290, 205)","(297, 212)",25
"GP010016_fast.mp4_crab_(290, 205)","(295, 214)",26
"GP010016_fast.mp4_crab_(290, 205)","(294, 213)",27
"GP010016_fast.mp4_crab_(290, 205)","(293, 213)",28
"GP010016_fast.mp4_crab_(290, 205)","(294, 214)",29
"GP010016_fast.mp4_crab_(290, 205)","(293, 214)",30
"GP010016_fast.mp4_crab_(290, 205)","(294, 212)",31
"GP010016_fast.mp4_crab_(290, 205)","(292, 214)",32
"GP010016_fast.mp4_crab_(290, 205)","(294, 213)",33
"GP010016_fast.mp4_crab_(290, 205)","(292, 215)",34
"GP010016_fast.mp4_crab_(290, 205)","(293, 214)",35
"GP010016_fast.mp4_crab_(290, 205)","(292, 215)",36
"GP010016_fast.mp4_crab_(290, 205)","(292, 215)",37
