file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1531,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1158eef70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(291, 203)","(292, 203)",0
"GP010016_fast.mp4_crab_(291, 203)","(293, 203)",1
"GP010016_fast.mp4_crab_(291, 203)","(293, 204)",2
"GP010016_fast.mp4_crab_(291, 203)","(296, 207)",3
"GP010016_fast.mp4_crab_(291, 203)","(296, 209)",4
"GP010016_fast.mp4_crab_(291, 203)","(299, 211)",5
"GP010016_fast.mp4_crab_(291, 203)","(299, 211)",6
"GP010016_fast.mp4_crab_(291, 203)","(298, 211)",7
"GP010016_fast.mp4_crab_(291, 203)","(299, 211)",8
"GP010016_fast.mp4_crab_(291, 203)","(299, 211)",9
"GP010016_fast.mp4_crab_(291, 203)","(299, 210)",10
"GP010016_fast.mp4_crab_(291, 203)","(299, 211)",11
"GP010016_fast.mp4_crab_(291, 203)","(299, 211)",12
"GP010016_fast.mp4_crab_(291, 203)","(299, 211)",13
"GP010016_fast.mp4_crab_(291, 203)","(300, 210)",14
"GP010016_fast.mp4_crab_(291, 203)","(299, 211)",15
"GP010016_fast.mp4_crab_(291, 203)","(298, 211)",16
"GP010016_fast.mp4_crab_(291, 203)","(298, 211)",17
"GP010016_fast.mp4_crab_(291, 203)","(298, 210)",18
"GP010016_fast.mp4_crab_(291, 203)","(298, 209)",19
"GP010016_fast.mp4_crab_(291, 203)","(300, 210)",20
"GP010016_fast.mp4_crab_(291, 203)","(300, 210)",21
"GP010016_fast.mp4_crab_(291, 203)","(300, 209)",22
"GP010016_fast.mp4_crab_(291, 203)","(301, 210)",23
"GP010016_fast.mp4_crab_(291, 203)","(300, 210)",24
"GP010016_fast.mp4_crab_(291, 203)","(300, 210)",25
"GP010016_fast.mp4_crab_(291, 203)","(300, 211)",26
"GP010016_fast.mp4_crab_(291, 203)","(298, 210)",27
"GP010016_fast.mp4_crab_(291, 203)","(299, 209)",28
"GP010016_fast.mp4_crab_(291, 203)","(299, 209)",29
"GP010016_fast.mp4_crab_(291, 203)","(298, 209)",30
"GP010016_fast.mp4_crab_(291, 203)","(298, 209)",31
"GP010016_fast.mp4_crab_(291, 203)","(297, 210)",32
"GP010016_fast.mp4_crab_(291, 203)","(298, 210)",33
"GP010016_fast.mp4_crab_(291, 203)","(299, 210)",34
