file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1534,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10cee6f70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(290, 204)","(291, 204)",0
"GP010016_fast.mp4_crab_(290, 204)","(293, 205)",1
"GP010016_fast.mp4_crab_(290, 204)","(294, 207)",2
"GP010016_fast.mp4_crab_(290, 204)","(295, 210)",3
"GP010016_fast.mp4_crab_(290, 204)","(297, 212)",4
"GP010016_fast.mp4_crab_(290, 204)","(297, 213)",5
"GP010016_fast.mp4_crab_(290, 204)","(298, 213)",6
"GP010016_fast.mp4_crab_(290, 204)","(297, 213)",7
"GP010016_fast.mp4_crab_(290, 204)","(299, 212)",8
"GP010016_fast.mp4_crab_(290, 204)","(299, 211)",9
"GP010016_fast.mp4_crab_(290, 204)","(299, 212)",10
"GP010016_fast.mp4_crab_(290, 204)","(301, 211)",11
"GP010016_fast.mp4_crab_(290, 204)","(300, 211)",12
"GP010016_fast.mp4_crab_(290, 204)","(301, 212)",13
"GP010016_fast.mp4_crab_(290, 204)","(301, 211)",14
"GP010016_fast.mp4_crab_(290, 204)","(300, 210)",15
"GP010016_fast.mp4_crab_(290, 204)","(301, 210)",16
"GP010016_fast.mp4_crab_(290, 204)","(301, 210)",17
"GP010016_fast.mp4_crab_(290, 204)","(300, 210)",18
"GP010016_fast.mp4_crab_(290, 204)","(300, 210)",19
"GP010016_fast.mp4_crab_(290, 204)","(300, 210)",20
"GP010016_fast.mp4_crab_(290, 204)","(300, 210)",21
"GP010016_fast.mp4_crab_(290, 204)","(299, 210)",22
"GP010016_fast.mp4_crab_(290, 204)","(299, 210)",23
"GP010016_fast.mp4_crab_(290, 204)","(299, 210)",24
"GP010016_fast.mp4_crab_(290, 204)","(298, 209)",25
"GP010016_fast.mp4_crab_(290, 204)","(298, 209)",26
"GP010016_fast.mp4_crab_(290, 204)","(297, 210)",27
"GP010016_fast.mp4_crab_(290, 204)","(297, 210)",28
"GP010016_fast.mp4_crab_(290, 204)","(297, 209)",29
"GP010016_fast.mp4_crab_(290, 204)","(296, 210)",30
"GP010016_fast.mp4_crab_(290, 204)","(295, 211)",31
"GP010016_fast.mp4_crab_(290, 204)","(295, 211)",32
"GP010016_fast.mp4_crab_(290, 204)","(295, 211)",33
"GP010016_fast.mp4_crab_(290, 204)","(295, 211)",34
"GP010016_fast.mp4_crab_(290, 204)","(295, 211)",35
"GP010016_fast.mp4_crab_(290, 204)","(295, 212)",36
"GP010016_fast.mp4_crab_(290, 204)","(295, 211)",37
"GP010016_fast.mp4_crab_(290, 204)","(295, 211)",38
"GP010016_fast.mp4_crab_(290, 204)","(295, 212)",39
"GP010016_fast.mp4_crab_(290, 204)","(294, 212)",40
"GP010016_fast.mp4_crab_(290, 204)","(294, 212)",41
"GP010016_fast.mp4_crab_(290, 204)","(292, 212)",42
"GP010016_fast.mp4_crab_(290, 204)","(292, 211)",43
"GP010016_fast.mp4_crab_(290, 204)","(289, 213)",44
"GP010016_fast.mp4_crab_(290, 204)","(288, 213)",45
"GP010016_fast.mp4_crab_(290, 204)","(290, 213)",46
"GP010016_fast.mp4_crab_(290, 204)","(286, 212)",47
"GP010016_fast.mp4_crab_(290, 204)","(285, 212)",48
"GP010016_fast.mp4_crab_(290, 204)","(284, 213)",49
"GP010016_fast.mp4_crab_(290, 204)","(284, 213)",50
"GP010016_fast.mp4_crab_(290, 204)","(283, 212)",51
"GP010016_fast.mp4_crab_(290, 204)","(282, 212)",52
"GP010016_fast.mp4_crab_(290, 204)","(282, 212)",53
"GP010016_fast.mp4_crab_(290, 204)","(281, 211)",54
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",55
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",56
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",57
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",58
"GP010016_fast.mp4_crab_(290, 204)","(278, 211)",59
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",60
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",61
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",62
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",63
"GP010016_fast.mp4_crab_(290, 204)","(278, 212)",64
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",65
"GP010016_fast.mp4_crab_(290, 204)","(279, 213)",66
"GP010016_fast.mp4_crab_(290, 204)","(278, 211)",67
"GP010016_fast.mp4_crab_(290, 204)","(278, 212)",68
"GP010016_fast.mp4_crab_(290, 204)","(278, 212)",69
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",70
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",71
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",72
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",73
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",74
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",75
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",76
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",77
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",78
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",79
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",80
"GP010016_fast.mp4_crab_(290, 204)","(281, 212)",81
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",82
"GP010016_fast.mp4_crab_(290, 204)","(279, 211)",83
"GP010016_fast.mp4_crab_(290, 204)","(280, 212)",84
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",85
"GP010016_fast.mp4_crab_(290, 204)","(279, 212)",86
"GP010016_fast.mp4_crab_(290, 204)","(278, 213)",87
"GP010016_fast.mp4_crab_(290, 204)","(278, 213)",88
"GP010016_fast.mp4_crab_(290, 204)","(277, 212)",89
"GP010016_fast.mp4_crab_(290, 204)","(277, 212)",90
"GP010016_fast.mp4_crab_(290, 204)","(277, 213)",91
"GP010016_fast.mp4_crab_(290, 204)","(277, 213)",92
"GP010016_fast.mp4_crab_(290, 204)","(277, 213)",93
"GP010016_fast.mp4_crab_(290, 204)","(277, 213)",94
"GP010016_fast.mp4_crab_(290, 204)","(277, 213)",95
"GP010016_fast.mp4_crab_(290, 204)","(277, 213)",96
"GP010016_fast.mp4_crab_(290, 204)","(277, 214)",97
"GP010016_fast.mp4_crab_(290, 204)","(276, 214)",98
"GP010016_fast.mp4_crab_(290, 204)","(277, 214)",99
"GP010016_fast.mp4_crab_(290, 204)","(277, 213)",100
"GP010016_fast.mp4_crab_(290, 204)","(277, 213)",101
"GP010016_fast.mp4_crab_(290, 204)","(277, 214)",102
"GP010016_fast.mp4_crab_(290, 204)","(277, 214)",103
"GP010016_fast.mp4_crab_(290, 204)","(277, 213)",104
"GP010016_fast.mp4_crab_(290, 204)","(277, 213)",105
"GP010016_fast.mp4_crab_(290, 204)","(277, 214)",106
"GP010016_fast.mp4_crab_(290, 204)","(275, 213)",107
"GP010016_fast.mp4_crab_(290, 204)","(274, 213)",108
"GP010016_fast.mp4_crab_(290, 204)","(273, 214)",109
"GP010016_fast.mp4_crab_(290, 204)","(273, 213)",110
"GP010016_fast.mp4_crab_(290, 204)","(273, 215)",111
"GP010016_fast.mp4_crab_(290, 204)","(273, 215)",112
"GP010016_fast.mp4_crab_(290, 204)","(273, 215)",113
"GP010016_fast.mp4_crab_(290, 204)","(273, 216)",114
"GP010016_fast.mp4_crab_(290, 204)","(273, 216)",115
"GP010016_fast.mp4_crab_(290, 204)","(273, 216)",116
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",117
"GP010016_fast.mp4_crab_(290, 204)","(273, 216)",118
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",119
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",120
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",121
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",122
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",123
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",124
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",125
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",126
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",127
"GP010016_fast.mp4_crab_(290, 204)","(274, 218)",128
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",129
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",130
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",131
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",132
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",133
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",134
"GP010016_fast.mp4_crab_(290, 204)","(275, 219)",135
"GP010016_fast.mp4_crab_(290, 204)","(274, 217)",136
"GP010016_fast.mp4_crab_(290, 204)","(273, 218)",137
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",138
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",139
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",140
"GP010016_fast.mp4_crab_(290, 204)","(272, 218)",141
"GP010016_fast.mp4_crab_(290, 204)","(274, 220)",142
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",143
"GP010016_fast.mp4_crab_(290, 204)","(272, 218)",144
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",145
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",146
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",147
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",148
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",149
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",150
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",151
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",152
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",153
"GP010016_fast.mp4_crab_(290, 204)","(273, 220)",154
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",155
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",156
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",157
"GP010016_fast.mp4_crab_(290, 204)","(273, 221)",158
"GP010016_fast.mp4_crab_(290, 204)","(273, 220)",159
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",160
"GP010016_fast.mp4_crab_(290, 204)","(273, 220)",161
"GP010016_fast.mp4_crab_(290, 204)","(273, 220)",162
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",163
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",164
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",165
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",166
"GP010016_fast.mp4_crab_(290, 204)","(273, 220)",167
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",168
"GP010016_fast.mp4_crab_(290, 204)","(273, 219)",169
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",170
"GP010016_fast.mp4_crab_(290, 204)","(272, 218)",171
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",172
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",173
"GP010016_fast.mp4_crab_(290, 204)","(272, 220)",174
"GP010016_fast.mp4_crab_(290, 204)","(272, 220)",175
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",176
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",177
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",178
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",179
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",180
"GP010016_fast.mp4_crab_(290, 204)","(272, 219)",181
"GP010016_fast.mp4_crab_(290, 204)","(272, 220)",182
"GP010016_fast.mp4_crab_(290, 204)","(271, 219)",183
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",184
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",185
"GP010016_fast.mp4_crab_(290, 204)","(271, 219)",186
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",187
"GP010016_fast.mp4_crab_(290, 204)","(271, 219)",188
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",189
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",190
"GP010016_fast.mp4_crab_(290, 204)","(270, 220)",191
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",192
"GP010016_fast.mp4_crab_(290, 204)","(270, 220)",193
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",194
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",195
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",196
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",197
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",198
"GP010016_fast.mp4_crab_(290, 204)","(271, 221)",199
"GP010016_fast.mp4_crab_(290, 204)","(271, 221)",200
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",201
"GP010016_fast.mp4_crab_(290, 204)","(272, 220)",202
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",203
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",204
"GP010016_fast.mp4_crab_(290, 204)","(271, 221)",205
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",206
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",207
"GP010016_fast.mp4_crab_(290, 204)","(271, 221)",208
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",209
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",210
"GP010016_fast.mp4_crab_(290, 204)","(271, 221)",211
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",212
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",213
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",214
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",215
"GP010016_fast.mp4_crab_(290, 204)","(270, 220)",216
"GP010016_fast.mp4_crab_(290, 204)","(271, 220)",217
"GP010016_fast.mp4_crab_(290, 204)","(270, 220)",218
"GP010016_fast.mp4_crab_(290, 204)","(270, 220)",219
"GP010016_fast.mp4_crab_(290, 204)","(270, 220)",220
"GP010016_fast.mp4_crab_(290, 204)","(270, 221)",221
"GP010016_fast.mp4_crab_(290, 204)","(270, 221)",222
"GP010016_fast.mp4_crab_(290, 204)","(271, 218)",223
"GP010016_fast.mp4_crab_(290, 204)","(270, 221)",224
"GP010016_fast.mp4_crab_(290, 204)","(270, 220)",225
"GP010016_fast.mp4_crab_(290, 204)","(270, 220)",226
"GP010016_fast.mp4_crab_(290, 204)","(271, 218)",227
"GP010016_fast.mp4_crab_(290, 204)","(270, 221)",228
"GP010016_fast.mp4_crab_(290, 204)","(269, 221)",229
"GP010016_fast.mp4_crab_(290, 204)","(270, 221)",230
"GP010016_fast.mp4_crab_(290, 204)","(270, 220)",231
"GP010016_fast.mp4_crab_(290, 204)","(270, 221)",232
"GP010016_fast.mp4_crab_(290, 204)","(270, 221)",233
"GP010016_fast.mp4_crab_(290, 204)","(270, 221)",234
"GP010016_fast.mp4_crab_(290, 204)","(270, 220)",235
"GP010016_fast.mp4_crab_(290, 204)","(270, 221)",236
"GP010016_fast.mp4_crab_(290, 204)","(269, 220)",237
"GP010016_fast.mp4_crab_(290, 204)","(270, 221)",238
"GP010016_fast.mp4_crab_(290, 204)","(269, 221)",239
"GP010016_fast.mp4_crab_(290, 204)","(269, 221)",240
"GP010016_fast.mp4_crab_(290, 204)","(269, 221)",241
"GP010016_fast.mp4_crab_(290, 204)","(269, 220)",242
"GP010016_fast.mp4_crab_(290, 204)","(268, 220)",243
"GP010016_fast.mp4_crab_(290, 204)","(269, 220)",244
"GP010016_fast.mp4_crab_(290, 204)","(268, 220)",245
"GP010016_fast.mp4_crab_(290, 204)","(268, 220)",246
"GP010016_fast.mp4_crab_(290, 204)","(267, 218)",247
"GP010016_fast.mp4_crab_(290, 204)","(266, 219)",248
"GP010016_fast.mp4_crab_(290, 204)","(266, 218)",249
"GP010016_fast.mp4_crab_(290, 204)","(264, 219)",250
"GP010016_fast.mp4_crab_(290, 204)","(263, 220)",251
"GP010016_fast.mp4_crab_(290, 204)","(261, 219)",252
"GP010016_fast.mp4_crab_(290, 204)","(263, 220)",253
"GP010016_fast.mp4_crab_(290, 204)","(263, 220)",254
"GP010016_fast.mp4_crab_(290, 204)","(263, 218)",255
"GP010016_fast.mp4_crab_(290, 204)","(262, 221)",256
"GP010016_fast.mp4_crab_(290, 204)","(262, 220)",257
"GP010016_fast.mp4_crab_(290, 204)","(261, 221)",258
"GP010016_fast.mp4_crab_(290, 204)","(262, 220)",259
"GP010016_fast.mp4_crab_(290, 204)","(263, 221)",260
"GP010016_fast.mp4_crab_(290, 204)","(262, 221)",261
"GP010016_fast.mp4_crab_(290, 204)","(262, 221)",262
"GP010016_fast.mp4_crab_(290, 204)","(262, 219)",263
"GP010016_fast.mp4_crab_(290, 204)","(262, 220)",264
"GP010016_fast.mp4_crab_(290, 204)","(262, 219)",265
"GP010016_fast.mp4_crab_(290, 204)","(262, 221)",266
"GP010016_fast.mp4_crab_(290, 204)","(264, 219)",267
"GP010016_fast.mp4_crab_(290, 204)","(264, 220)",268
"GP010016_fast.mp4_crab_(290, 204)","(262, 221)",269
"GP010016_fast.mp4_crab_(290, 204)","(262, 220)",270
"GP010016_fast.mp4_crab_(290, 204)","(262, 219)",271
"GP010016_fast.mp4_crab_(290, 204)","(262, 220)",272
"GP010016_fast.mp4_crab_(290, 204)","(262, 220)",273
"GP010016_fast.mp4_crab_(290, 204)","(262, 219)",274
"GP010016_fast.mp4_crab_(290, 204)","(262, 220)",275
"GP010016_fast.mp4_crab_(290, 204)","(262, 220)",276
"GP010016_fast.mp4_crab_(290, 204)","(261, 220)",277
"GP010016_fast.mp4_crab_(290, 204)","(264, 221)",278
