file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1548,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10d5b1f70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(291, 205)","(294, 206)",0
"GP010016_fast.mp4_crab_(291, 205)","(295, 207)",1
"GP010016_fast.mp4_crab_(291, 205)","(296, 207)",2
"GP010016_fast.mp4_crab_(291, 205)","(299, 211)",3
"GP010016_fast.mp4_crab_(291, 205)","(300, 212)",4
"GP010016_fast.mp4_crab_(291, 205)","(301, 213)",5
"GP010016_fast.mp4_crab_(291, 205)","(301, 213)",6
"GP010016_fast.mp4_crab_(291, 205)","(301, 213)",7
"GP010016_fast.mp4_crab_(291, 205)","(302, 212)",8
"GP010016_fast.mp4_crab_(291, 205)","(301, 213)",9
"GP010016_fast.mp4_crab_(291, 205)","(301, 213)",10
"GP010016_fast.mp4_crab_(291, 205)","(302, 213)",11
"GP010016_fast.mp4_crab_(291, 205)","(301, 212)",12
"GP010016_fast.mp4_crab_(291, 205)","(301, 212)",13
"GP010016_fast.mp4_crab_(291, 205)","(301, 213)",14
"GP010016_fast.mp4_crab_(291, 205)","(301, 213)",15
"GP010016_fast.mp4_crab_(291, 205)","(302, 212)",16
"GP010016_fast.mp4_crab_(291, 205)","(302, 212)",17
"GP010016_fast.mp4_crab_(291, 205)","(302, 212)",18
"GP010016_fast.mp4_crab_(291, 205)","(302, 212)",19
"GP010016_fast.mp4_crab_(291, 205)","(301, 212)",20
"GP010016_fast.mp4_crab_(291, 205)","(302, 211)",21
"GP010016_fast.mp4_crab_(291, 205)","(301, 211)",22
"GP010016_fast.mp4_crab_(291, 205)","(301, 211)",23
"GP010016_fast.mp4_crab_(291, 205)","(300, 212)",24
"GP010016_fast.mp4_crab_(291, 205)","(300, 212)",25
"GP010016_fast.mp4_crab_(291, 205)","(300, 212)",26
"GP010016_fast.mp4_crab_(291, 205)","(299, 211)",27
"GP010016_fast.mp4_crab_(291, 205)","(299, 211)",28
"GP010016_fast.mp4_crab_(291, 205)","(299, 211)",29
"GP010016_fast.mp4_crab_(291, 205)","(297, 211)",30
"GP010016_fast.mp4_crab_(291, 205)","(297, 212)",31
"GP010016_fast.mp4_crab_(291, 205)","(297, 212)",32
