file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1549,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10edccf70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(292, 206)","(292, 207)",0
"GP010016_fast.mp4_crab_(292, 206)","(294, 207)",1
"GP010016_fast.mp4_crab_(292, 206)","(295, 208)",2
"GP010016_fast.mp4_crab_(292, 206)","(297, 211)",3
"GP010016_fast.mp4_crab_(292, 206)","(298, 213)",4
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",5
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",6
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",7
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",8
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",9
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",10
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",11
"GP010016_fast.mp4_crab_(292, 206)","(300, 214)",12
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",13
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",14
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",15
"GP010016_fast.mp4_crab_(292, 206)","(298, 214)",16
"GP010016_fast.mp4_crab_(292, 206)","(298, 214)",17
"GP010016_fast.mp4_crab_(292, 206)","(298, 214)",18
"GP010016_fast.mp4_crab_(292, 206)","(297, 214)",19
"GP010016_fast.mp4_crab_(292, 206)","(297, 214)",20
"GP010016_fast.mp4_crab_(292, 206)","(297, 213)",21
"GP010016_fast.mp4_crab_(292, 206)","(297, 213)",22
"GP010016_fast.mp4_crab_(292, 206)","(297, 214)",23
"GP010016_fast.mp4_crab_(292, 206)","(296, 214)",24
"GP010016_fast.mp4_crab_(292, 206)","(298, 212)",25
"GP010016_fast.mp4_crab_(292, 206)","(300, 212)",26
"GP010016_fast.mp4_crab_(292, 206)","(299, 211)",27
"GP010016_fast.mp4_crab_(292, 206)","(299, 211)",28
"GP010016_fast.mp4_crab_(292, 206)","(297, 213)",29
"GP010016_fast.mp4_crab_(292, 206)","(298, 210)",30
"GP010016_fast.mp4_crab_(292, 206)","(297, 211)",31
"GP010016_fast.mp4_crab_(292, 206)","(297, 211)",32
"GP010016_fast.mp4_crab_(292, 206)","(297, 211)",33
"GP010016_fast.mp4_crab_(292, 206)","(296, 211)",34
"GP010016_fast.mp4_crab_(292, 206)","(297, 212)",35
"GP010016_fast.mp4_crab_(292, 206)","(296, 211)",36
"GP010016_fast.mp4_crab_(292, 206)","(297, 212)",37
"GP010016_fast.mp4_crab_(292, 206)","(297, 212)",38
"GP010016_fast.mp4_crab_(292, 206)","(297, 213)",39
"GP010016_fast.mp4_crab_(292, 206)","(297, 213)",40
"GP010016_fast.mp4_crab_(292, 206)","(296, 214)",41
"GP010016_fast.mp4_crab_(292, 206)","(295, 214)",42
"GP010016_fast.mp4_crab_(292, 206)","(293, 213)",43
"GP010016_fast.mp4_crab_(292, 206)","(292, 213)",44
"GP010016_fast.mp4_crab_(292, 206)","(291, 213)",45
"GP010016_fast.mp4_crab_(292, 206)","(290, 213)",46
"GP010016_fast.mp4_crab_(292, 206)","(289, 214)",47
"GP010016_fast.mp4_crab_(292, 206)","(287, 213)",48
"GP010016_fast.mp4_crab_(292, 206)","(286, 213)",49
"GP010016_fast.mp4_crab_(292, 206)","(286, 213)",50
"GP010016_fast.mp4_crab_(292, 206)","(286, 213)",51
"GP010016_fast.mp4_crab_(292, 206)","(286, 213)",52
"GP010016_fast.mp4_crab_(292, 206)","(285, 213)",53
"GP010016_fast.mp4_crab_(292, 206)","(284, 212)",54
"GP010016_fast.mp4_crab_(292, 206)","(281, 212)",55
