file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1551,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x112de3f70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(292, 205)","(295, 205)",0
"GP010016_fast.mp4_crab_(292, 205)","(296, 205)",1
"GP010016_fast.mp4_crab_(292, 205)","(298, 207)",2
"GP010016_fast.mp4_crab_(292, 205)","(300, 210)",3
"GP010016_fast.mp4_crab_(292, 205)","(301, 211)",4
"GP010016_fast.mp4_crab_(292, 205)","(301, 210)",5
"GP010016_fast.mp4_crab_(292, 205)","(303, 212)",6
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",7
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",8
"GP010016_fast.mp4_crab_(292, 205)","(301, 211)",9
"GP010016_fast.mp4_crab_(292, 205)","(303, 211)",10
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",11
"GP010016_fast.mp4_crab_(292, 205)","(303, 210)",12
"GP010016_fast.mp4_crab_(292, 205)","(303, 211)",13
"GP010016_fast.mp4_crab_(292, 205)","(302, 209)",14
"GP010016_fast.mp4_crab_(292, 205)","(302, 209)",15
"GP010016_fast.mp4_crab_(292, 205)","(301, 210)",16
"GP010016_fast.mp4_crab_(292, 205)","(302, 208)",17
"GP010016_fast.mp4_crab_(292, 205)","(302, 209)",18
"GP010016_fast.mp4_crab_(292, 205)","(301, 208)",19
"GP010016_fast.mp4_crab_(292, 205)","(301, 208)",20
"GP010016_fast.mp4_crab_(292, 205)","(301, 208)",21
"GP010016_fast.mp4_crab_(292, 205)","(301, 208)",22
"GP010016_fast.mp4_crab_(292, 205)","(301, 209)",23
"GP010016_fast.mp4_crab_(292, 205)","(301, 208)",24
"GP010016_fast.mp4_crab_(292, 205)","(301, 208)",25
"GP010016_fast.mp4_crab_(292, 205)","(301, 209)",26
"GP010016_fast.mp4_crab_(292, 205)","(300, 208)",27
"GP010016_fast.mp4_crab_(292, 205)","(300, 209)",28
"GP010016_fast.mp4_crab_(292, 205)","(301, 208)",29
"GP010016_fast.mp4_crab_(292, 205)","(297, 208)",30
"GP010016_fast.mp4_crab_(292, 205)","(298, 209)",31
"GP010016_fast.mp4_crab_(292, 205)","(297, 208)",32
"GP010016_fast.mp4_crab_(292, 205)","(296, 209)",33
"GP010016_fast.mp4_crab_(292, 205)","(297, 211)",34
"GP010016_fast.mp4_crab_(292, 205)","(297, 212)",35
"GP010016_fast.mp4_crab_(292, 205)","(296, 210)",36
"GP010016_fast.mp4_crab_(292, 205)","(296, 210)",37
"GP010016_fast.mp4_crab_(292, 205)","(296, 210)",38
"GP010016_fast.mp4_crab_(292, 205)","(298, 210)",39
"GP010016_fast.mp4_crab_(292, 205)","(296, 210)",40
"GP010016_fast.mp4_crab_(292, 205)","(296, 211)",41
"GP010016_fast.mp4_crab_(292, 205)","(295, 210)",42
"GP010016_fast.mp4_crab_(292, 205)","(294, 210)",43
"GP010016_fast.mp4_crab_(292, 205)","(293, 211)",44
"GP010016_fast.mp4_crab_(292, 205)","(290, 211)",45
"GP010016_fast.mp4_crab_(292, 205)","(289, 209)",46
"GP010016_fast.mp4_crab_(292, 205)","(288, 210)",47
"GP010016_fast.mp4_crab_(292, 205)","(288, 209)",48
"GP010016_fast.mp4_crab_(292, 205)","(287, 210)",49
"GP010016_fast.mp4_crab_(292, 205)","(286, 209)",50
"GP010016_fast.mp4_crab_(292, 205)","(285, 210)",51
"GP010016_fast.mp4_crab_(292, 205)","(286, 210)",52
"GP010016_fast.mp4_crab_(292, 205)","(286, 209)",53
"GP010016_fast.mp4_crab_(292, 205)","(284, 208)",54
"GP010016_fast.mp4_crab_(292, 205)","(283, 208)",55
"GP010016_fast.mp4_crab_(292, 205)","(280, 209)",56
"GP010016_fast.mp4_crab_(292, 205)","(281, 208)",57
"GP010016_fast.mp4_crab_(292, 205)","(281, 209)",58
"GP010016_fast.mp4_crab_(292, 205)","(279, 209)",59
"GP010016_fast.mp4_crab_(292, 205)","(280, 209)",60
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",61
"GP010016_fast.mp4_crab_(292, 205)","(280, 209)",62
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",63
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",64
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",65
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",66
"GP010016_fast.mp4_crab_(292, 205)","(280, 209)",67
"GP010016_fast.mp4_crab_(292, 205)","(279, 210)",68
"GP010016_fast.mp4_crab_(292, 205)","(280, 209)",69
"GP010016_fast.mp4_crab_(292, 205)","(280, 209)",70
"GP010016_fast.mp4_crab_(292, 205)","(280, 209)",71
"GP010016_fast.mp4_crab_(292, 205)","(280, 209)",72
"GP010016_fast.mp4_crab_(292, 205)","(281, 209)",73
"GP010016_fast.mp4_crab_(292, 205)","(282, 210)",74
"GP010016_fast.mp4_crab_(292, 205)","(281, 208)",75
"GP010016_fast.mp4_crab_(292, 205)","(280, 209)",76
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",77
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",78
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",79
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",80
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",81
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",82
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",83
