file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1552,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f8b4f70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(292, 205)","(296, 204)",0
"GP010016_fast.mp4_crab_(292, 205)","(297, 206)",1
"GP010016_fast.mp4_crab_(292, 205)","(298, 205)",2
"GP010016_fast.mp4_crab_(292, 205)","(300, 210)",3
"GP010016_fast.mp4_crab_(292, 205)","(301, 212)",4
"GP010016_fast.mp4_crab_(292, 205)","(302, 212)",5
"GP010016_fast.mp4_crab_(292, 205)","(303, 211)",6
"GP010016_fast.mp4_crab_(292, 205)","(302, 211)",7
"GP010016_fast.mp4_crab_(292, 205)","(302, 211)",8
"GP010016_fast.mp4_crab_(292, 205)","(303, 211)",9
"GP010016_fast.mp4_crab_(292, 205)","(302, 211)",10
"GP010016_fast.mp4_crab_(292, 205)","(303, 210)",11
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",12
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",13
"GP010016_fast.mp4_crab_(292, 205)","(303, 210)",14
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",15
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",16
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",17
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",18
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",19
"GP010016_fast.mp4_crab_(292, 205)","(301, 210)",20
"GP010016_fast.mp4_crab_(292, 205)","(303, 209)",21
"GP010016_fast.mp4_crab_(292, 205)","(303, 209)",22
"GP010016_fast.mp4_crab_(292, 205)","(302, 209)",23
"GP010016_fast.mp4_crab_(292, 205)","(302, 210)",24
"GP010016_fast.mp4_crab_(292, 205)","(302, 209)",25
"GP010016_fast.mp4_crab_(292, 205)","(302, 209)",26
"GP010016_fast.mp4_crab_(292, 205)","(301, 209)",27
"GP010016_fast.mp4_crab_(292, 205)","(300, 208)",28
"GP010016_fast.mp4_crab_(292, 205)","(300, 208)",29
"GP010016_fast.mp4_crab_(292, 205)","(300, 208)",30
"GP010016_fast.mp4_crab_(292, 205)","(298, 209)",31
"GP010016_fast.mp4_crab_(292, 205)","(299, 209)",32
"GP010016_fast.mp4_crab_(292, 205)","(299, 210)",33
"GP010016_fast.mp4_crab_(292, 205)","(299, 210)",34
"GP010016_fast.mp4_crab_(292, 205)","(298, 209)",35
"GP010016_fast.mp4_crab_(292, 205)","(299, 210)",36
"GP010016_fast.mp4_crab_(292, 205)","(299, 210)",37
"GP010016_fast.mp4_crab_(292, 205)","(299, 210)",38
"GP010016_fast.mp4_crab_(292, 205)","(299, 211)",39
"GP010016_fast.mp4_crab_(292, 205)","(298, 210)",40
"GP010016_fast.mp4_crab_(292, 205)","(298, 210)",41
"GP010016_fast.mp4_crab_(292, 205)","(296, 211)",42
"GP010016_fast.mp4_crab_(292, 205)","(295, 211)",43
"GP010016_fast.mp4_crab_(292, 205)","(293, 211)",44
"GP010016_fast.mp4_crab_(292, 205)","(292, 211)",45
"GP010016_fast.mp4_crab_(292, 205)","(292, 211)",46
"GP010016_fast.mp4_crab_(292, 205)","(291, 212)",47
"GP010016_fast.mp4_crab_(292, 205)","(288, 211)",48
"GP010016_fast.mp4_crab_(292, 205)","(287, 211)",49
"GP010016_fast.mp4_crab_(292, 205)","(286, 210)",50
"GP010016_fast.mp4_crab_(292, 205)","(286, 210)",51
"GP010016_fast.mp4_crab_(292, 205)","(286, 210)",52
"GP010016_fast.mp4_crab_(292, 205)","(285, 211)",53
"GP010016_fast.mp4_crab_(292, 205)","(284, 209)",54
"GP010016_fast.mp4_crab_(292, 205)","(283, 209)",55
"GP010016_fast.mp4_crab_(292, 205)","(283, 209)",56
"GP010016_fast.mp4_crab_(292, 205)","(283, 208)",57
"GP010016_fast.mp4_crab_(292, 205)","(282, 210)",58
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",59
"GP010016_fast.mp4_crab_(292, 205)","(282, 210)",60
"GP010016_fast.mp4_crab_(292, 205)","(283, 210)",61
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",62
"GP010016_fast.mp4_crab_(292, 205)","(282, 210)",63
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",64
"GP010016_fast.mp4_crab_(292, 205)","(282, 210)",65
"GP010016_fast.mp4_crab_(292, 205)","(282, 210)",66
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",67
"GP010016_fast.mp4_crab_(292, 205)","(282, 210)",68
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",69
"GP010016_fast.mp4_crab_(292, 205)","(282, 210)",70
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",71
"GP010016_fast.mp4_crab_(292, 205)","(282, 210)",72
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",73
"GP010016_fast.mp4_crab_(292, 205)","(283, 210)",74
"GP010016_fast.mp4_crab_(292, 205)","(283, 210)",75
"GP010016_fast.mp4_crab_(292, 205)","(282, 209)",76
"GP010016_fast.mp4_crab_(292, 205)","(283, 210)",77
