file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1555,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x113b9cf70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(292, 204)","(295, 205)",0
"GP010016_fast.mp4_crab_(292, 204)","(296, 205)",1
"GP010016_fast.mp4_crab_(292, 204)","(296, 206)",2
"GP010016_fast.mp4_crab_(292, 204)","(297, 208)",3
"GP010016_fast.mp4_crab_(292, 204)","(299, 210)",4
"GP010016_fast.mp4_crab_(292, 204)","(299, 211)",5
"GP010016_fast.mp4_crab_(292, 204)","(300, 212)",6
"GP010016_fast.mp4_crab_(292, 204)","(302, 210)",7
"GP010016_fast.mp4_crab_(292, 204)","(303, 211)",8
"GP010016_fast.mp4_crab_(292, 204)","(302, 210)",9
"GP010016_fast.mp4_crab_(292, 204)","(302, 210)",10
"GP010016_fast.mp4_crab_(292, 204)","(301, 210)",11
"GP010016_fast.mp4_crab_(292, 204)","(302, 211)",12
"GP010016_fast.mp4_crab_(292, 204)","(302, 209)",13
"GP010016_fast.mp4_crab_(292, 204)","(302, 210)",14
"GP010016_fast.mp4_crab_(292, 204)","(302, 209)",15
"GP010016_fast.mp4_crab_(292, 204)","(302, 209)",16
"GP010016_fast.mp4_crab_(292, 204)","(302, 210)",17
"GP010016_fast.mp4_crab_(292, 204)","(303, 210)",18
"GP010016_fast.mp4_crab_(292, 204)","(301, 209)",19
"GP010016_fast.mp4_crab_(292, 204)","(300, 208)",20
"GP010016_fast.mp4_crab_(292, 204)","(300, 208)",21
"GP010016_fast.mp4_crab_(292, 204)","(301, 208)",22
"GP010016_fast.mp4_crab_(292, 204)","(301, 209)",23
"GP010016_fast.mp4_crab_(292, 204)","(300, 209)",24
"GP010016_fast.mp4_crab_(292, 204)","(299, 208)",25
"GP010016_fast.mp4_crab_(292, 204)","(299, 209)",26
"GP010016_fast.mp4_crab_(292, 204)","(298, 208)",27
"GP010016_fast.mp4_crab_(292, 204)","(298, 208)",28
"GP010016_fast.mp4_crab_(292, 204)","(298, 208)",29
"GP010016_fast.mp4_crab_(292, 204)","(297, 208)",30
"GP010016_fast.mp4_crab_(292, 204)","(295, 209)",31
"GP010016_fast.mp4_crab_(292, 204)","(295, 209)",32
"GP010016_fast.mp4_crab_(292, 204)","(296, 210)",33
"GP010016_fast.mp4_crab_(292, 204)","(296, 209)",34
"GP010016_fast.mp4_crab_(292, 204)","(296, 209)",35
"GP010016_fast.mp4_crab_(292, 204)","(296, 210)",36
"GP010016_fast.mp4_crab_(292, 204)","(295, 209)",37
"GP010016_fast.mp4_crab_(292, 204)","(295, 209)",38
"GP010016_fast.mp4_crab_(292, 204)","(295, 210)",39
"GP010016_fast.mp4_crab_(292, 204)","(295, 210)",40
"GP010016_fast.mp4_crab_(292, 204)","(294, 210)",41
"GP010016_fast.mp4_crab_(292, 204)","(293, 210)",42
"GP010016_fast.mp4_crab_(292, 204)","(292, 210)",43
"GP010016_fast.mp4_crab_(292, 204)","(290, 210)",44
"GP010016_fast.mp4_crab_(292, 204)","(289, 210)",45
"GP010016_fast.mp4_crab_(292, 204)","(290, 209)",46
"GP010016_fast.mp4_crab_(292, 204)","(287, 210)",47
"GP010016_fast.mp4_crab_(292, 204)","(285, 209)",48
"GP010016_fast.mp4_crab_(292, 204)","(284, 209)",49
"GP010016_fast.mp4_crab_(292, 204)","(285, 210)",50
"GP010016_fast.mp4_crab_(292, 204)","(283, 209)",51
"GP010016_fast.mp4_crab_(292, 204)","(285, 209)",52
"GP010016_fast.mp4_crab_(292, 204)","(282, 209)",53
"GP010016_fast.mp4_crab_(292, 204)","(281, 208)",54
"GP010016_fast.mp4_crab_(292, 204)","(283, 208)",55
"GP010016_fast.mp4_crab_(292, 204)","(279, 209)",56
"GP010016_fast.mp4_crab_(292, 204)","(282, 208)",57
"GP010016_fast.mp4_crab_(292, 204)","(279, 209)",58
"GP010016_fast.mp4_crab_(292, 204)","(278, 209)",59
"GP010016_fast.mp4_crab_(292, 204)","(279, 209)",60
"GP010016_fast.mp4_crab_(292, 204)","(281, 206)",61
"GP010016_fast.mp4_crab_(292, 204)","(279, 208)",62
"GP010016_fast.mp4_crab_(292, 204)","(278, 209)",63
"GP010016_fast.mp4_crab_(292, 204)","(279, 207)",64
"GP010016_fast.mp4_crab_(292, 204)","(279, 209)",65
