file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,23112018,1558,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x116188f70>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_crab_(292, 206)","(293, 207)",0
"GP010016_fast.mp4_crab_(292, 206)","(294, 207)",1
"GP010016_fast.mp4_crab_(292, 206)","(294, 207)",2
"GP010016_fast.mp4_crab_(292, 206)","(297, 212)",3
"GP010016_fast.mp4_crab_(292, 206)","(298, 214)",4
"GP010016_fast.mp4_crab_(292, 206)","(299, 215)",5
"GP010016_fast.mp4_crab_(292, 206)","(299, 216)",6
"GP010016_fast.mp4_crab_(292, 206)","(299, 215)",7
"GP010016_fast.mp4_crab_(292, 206)","(299, 215)",8
"GP010016_fast.mp4_crab_(292, 206)","(299, 216)",9
"GP010016_fast.mp4_crab_(292, 206)","(299, 216)",10
"GP010016_fast.mp4_crab_(292, 206)","(300, 216)",11
"GP010016_fast.mp4_crab_(292, 206)","(300, 216)",12
"GP010016_fast.mp4_crab_(292, 206)","(300, 215)",13
"GP010016_fast.mp4_crab_(292, 206)","(301, 215)",14
"GP010016_fast.mp4_crab_(292, 206)","(301, 215)",15
"GP010016_fast.mp4_crab_(292, 206)","(300, 215)",16
"GP010016_fast.mp4_crab_(292, 206)","(301, 215)",17
"GP010016_fast.mp4_crab_(292, 206)","(301, 215)",18
"GP010016_fast.mp4_crab_(292, 206)","(299, 215)",19
"GP010016_fast.mp4_crab_(292, 206)","(300, 215)",20
"GP010016_fast.mp4_crab_(292, 206)","(300, 215)",21
"GP010016_fast.mp4_crab_(292, 206)","(299, 215)",22
"GP010016_fast.mp4_crab_(292, 206)","(300, 215)",23
"GP010016_fast.mp4_crab_(292, 206)","(300, 215)",24
"GP010016_fast.mp4_crab_(292, 206)","(300, 215)",25
"GP010016_fast.mp4_crab_(292, 206)","(299, 215)",26
"GP010016_fast.mp4_crab_(292, 206)","(298, 215)",27
"GP010016_fast.mp4_crab_(292, 206)","(299, 215)",28
"GP010016_fast.mp4_crab_(292, 206)","(299, 214)",29
"GP010016_fast.mp4_crab_(292, 206)","(298, 215)",30
"GP010016_fast.mp4_crab_(292, 206)","(298, 215)",31
"GP010016_fast.mp4_crab_(292, 206)","(297, 215)",32
"GP010016_fast.mp4_crab_(292, 206)","(297, 215)",33
"GP010016_fast.mp4_crab_(292, 206)","(297, 216)",34
"GP010016_fast.mp4_crab_(292, 206)","(298, 216)",35
"GP010016_fast.mp4_crab_(292, 206)","(296, 215)",36
"GP010016_fast.mp4_crab_(292, 206)","(296, 215)",37
"GP010016_fast.mp4_crab_(292, 206)","(297, 216)",38
"GP010016_fast.mp4_crab_(292, 206)","(295, 216)",39
"GP010016_fast.mp4_crab_(292, 206)","(296, 217)",40
"GP010016_fast.mp4_crab_(292, 206)","(294, 216)",41
"GP010016_fast.mp4_crab_(292, 206)","(294, 217)",42
"GP010016_fast.mp4_crab_(292, 206)","(293, 217)",43
"GP010016_fast.mp4_crab_(292, 206)","(291, 218)",44
"GP010016_fast.mp4_crab_(292, 206)","(289, 218)",45
"GP010016_fast.mp4_crab_(292, 206)","(289, 218)",46
"GP010016_fast.mp4_crab_(292, 206)","(288, 218)",47
"GP010016_fast.mp4_crab_(292, 206)","(286, 217)",48
"GP010016_fast.mp4_crab_(292, 206)","(285, 218)",49
"GP010016_fast.mp4_crab_(292, 206)","(286, 216)",50
