file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,27012019,1846,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x113575f30>
"
"
Crab_ID,Crab_Position,Crab_frame
Crab_ID,Crab_axis_1,Crab_axis_2
"GP010016_fast.mp4_crab_(226, 135)",8,7
"GP010016_fast.mp4_crab_(226, 135)",25,18
"GP010016_fast.mp4_crab_(226, 135)",12,11
"GP010016_fast.mp4_crab_(226, 135)",12,10
"GP010016_fast.mp4_crab_(226, 135)",6,7
"GP010016_fast.mp4_crab_(226, 135)",31,23
"GP010016_fast.mp4_crab_(226, 135)",27,15
"GP010016_fast.mp4_crab_(226, 135)",19,12
"GP010016_fast.mp4_crab_(226, 135)",30,22
"GP010016_fast.mp4_crab_(226, 135)",33,23
"GP010016_fast.mp4_crab_(226, 135)",31,21
"GP010016_fast.mp4_crab_(226, 135)",31,22
"GP010016_fast.mp4_crab_(226, 135)",32,24
"GP010016_fast.mp4_crab_(226, 135)",32,25
"GP010016_fast.mp4_crab_(226, 135)",27,20
"GP010016_fast.mp4_crab_(226, 135)",11,10
"GP010016_fast.mp4_crab_(226, 135)",16,17
"GP010016_fast.mp4_crab_(226, 135)",20,20
"GP010016_fast.mp4_crab_(226, 135)",17,11
"GP010016_fast.mp4_crab_(226, 135)",11,11
"GP010016_fast.mp4_crab_(226, 135)",11,11
"GP010016_fast.mp4_crab_(226, 135)",15,14
"GP010016_fast.mp4_crab_(226, 135)",5,4
"GP010016_fast.mp4_crab_(226, 135)",15,14
"GP010016_fast.mp4_crab_(226, 135)",15,15
"GP010016_fast.mp4_crab_(226, 135)",15,14
"GP010016_fast.mp4_crab_(226, 135)",15,15
"GP010016_fast.mp4_crab_(226, 135)",9,3
"GP010016_fast.mp4_crab_(226, 135)",17,15
"GP010016_fast.mp4_crab_(226, 135)",14,13
"GP010016_fast.mp4_crab_(226, 135)",13,12
"GP010016_fast.mp4_crab_(226, 135)",13,13
"GP010016_fast.mp4_crab_(226, 135)",16,13
