file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1806,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x110d6af30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 86)",0
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 86)",1
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 86)",2
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 86)",3
"GP010016_fast.mp4_uca_nw01(52, 85)","(57, 88)",4
"GP010016_fast.mp4_uca_nw01(52, 85)","(57, 87)",5
"GP010016_fast.mp4_uca_nw01(52, 85)","(57, 87)",6
"GP010016_fast.mp4_uca_nw01(52, 85)","(59, 88)",7
"GP010016_fast.mp4_uca_nw01(52, 85)","(51, 87)",8
"GP010016_fast.mp4_uca_nw01(52, 85)","(58, 90)",9
"GP010016_fast.mp4_uca_nw01(52, 85)","(51, 87)",10
"GP010016_fast.mp4_uca_nw01(52, 85)","(51, 83)",11
"GP010016_fast.mp4_uca_nw01(52, 85)","(59, 90)",12
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 84)",13
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 89)",14
"GP010016_fast.mp4_uca_nw01(52, 85)","(51, 89)",15
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 92)",16
"GP010016_fast.mp4_uca_nw01(52, 85)","(54, 91)",17
"GP010016_fast.mp4_uca_nw01(52, 85)","(53, 93)",18
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 91)",19
"GP010016_fast.mp4_uca_nw01(52, 85)","(51, 89)",20
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 90)",21
"GP010016_fast.mp4_uca_nw01(52, 85)","(54, 90)",22
"GP010016_fast.mp4_uca_nw01(52, 85)","(63, 96)",23
"GP010016_fast.mp4_uca_nw01(52, 85)","(55, 91)",24
"GP010016_fast.mp4_uca_nw01(52, 85)","(50, 89)",25
"GP010016_fast.mp4_uca_nw01(52, 85)","(53, 94)",26
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 92)",27
"GP010016_fast.mp4_uca_nw01(52, 85)","(55, 90)",28
"GP010016_fast.mp4_uca_nw01(52, 85)","(53, 90)",29
"GP010016_fast.mp4_uca_nw01(52, 85)","(53, 87)",30
"GP010016_fast.mp4_uca_nw01(52, 85)","(55, 91)",31
"GP010016_fast.mp4_uca_nw01(52, 85)","(50, 90)",32
"GP010016_fast.mp4_uca_nw01(52, 85)","(54, 90)",33
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 90)",34
"GP010016_fast.mp4_uca_nw01(52, 85)","(51, 89)",35
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 88)",36
"GP010016_fast.mp4_uca_nw01(52, 85)","(55, 90)",37
"GP010016_fast.mp4_uca_nw01(52, 85)","(55, 88)",38
"GP010016_fast.mp4_uca_nw01(52, 85)","(52, 89)",39
"GP010016_fast.mp4_uca_nw01(52, 85)","(54, 92)",40
"GP010016_fast.mp4_uca_nw01(52, 85)","(53, 88)",41
"GP010016_fast.mp4_uca_nw01(52, 85)","(51, 90)",42
"GP010016_fast.mp4_uca_nw01(52, 85)","(51, 90)",43
"GP010016_fast.mp4_uca_nw01(52, 85)","(56, 91)",44
"GP010016_fast.mp4_uca_nw01(52, 85)","(54, 90)",45
"GP010016_fast.mp4_uca_nw01(52, 85)","(51, 90)",46
"GP010016_fast.mp4_uca_nw01(52, 85)","(53, 90)",47
"GP010016_fast.mp4_uca_nw01(52, 85)","(56, 85)",48
"GP010016_fast.mp4_uca_nw01(52, 85)","(57, 90)",49
"GP010016_fast.mp4_uca_nw01(52, 85)","(51, 90)",50
"GP010016_fast.mp4_uca_nw01(52, 85)","(58, 90)",51
"GP010016_fast.mp4_uca_nw01(52, 85)","(54, 90)",52
"GP010016_fast.mp4_uca_nw01(52, 85)","(59, 91)",53
"GP010016_fast.mp4_uca_nw01(52, 85)","(54, 92)",54
"GP010016_fast.mp4_uca_nw01(52, 85)","(53, 87)",55
