file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1809,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1118fff30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_n00(382, 12)","(382, 13)",0
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",1
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",2
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",3
"GP010016_fast.mp4_uca_n00(382, 12)","(382, 13)",4
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",5
"GP010016_fast.mp4_uca_n00(382, 12)","(382, 13)",6
"GP010016_fast.mp4_uca_n00(382, 12)","(382, 14)",7
"GP010016_fast.mp4_uca_n00(382, 12)","(382, 14)",8
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",9
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",10
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",11
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",12
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",13
"GP010016_fast.mp4_uca_n00(382, 12)","(382, 14)",14
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 14)",15
"GP010016_fast.mp4_uca_n00(382, 12)","(380, 13)",16
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",17
"GP010016_fast.mp4_uca_n00(382, 12)","(379, 13)",18
"GP010016_fast.mp4_uca_n00(382, 12)","(380, 15)",19
"GP010016_fast.mp4_uca_n00(382, 12)","(380, 15)",20
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 15)",21
"GP010016_fast.mp4_uca_n00(382, 12)","(379, 16)",22
"GP010016_fast.mp4_uca_n00(382, 12)","(380, 13)",23
"GP010016_fast.mp4_uca_n00(382, 12)","(377, 12)",24
"GP010016_fast.mp4_uca_n00(382, 12)","(377, 12)",25
"GP010016_fast.mp4_uca_n00(382, 12)","(380, 13)",26
"GP010016_fast.mp4_uca_n00(382, 12)","(379, 13)",27
"GP010016_fast.mp4_uca_n00(382, 12)","(379, 14)",28
"GP010016_fast.mp4_uca_n00(382, 12)","(377, 12)",29
"GP010016_fast.mp4_uca_n00(382, 12)","(377, 12)",30
"GP010016_fast.mp4_uca_n00(382, 12)","(378, 13)",31
"GP010016_fast.mp4_uca_n00(382, 12)","(380, 13)",32
"GP010016_fast.mp4_uca_n00(382, 12)","(377, 13)",33
"GP010016_fast.mp4_uca_n00(382, 12)","(378, 18)",34
"GP010016_fast.mp4_uca_n00(382, 12)","(380, 14)",35
"GP010016_fast.mp4_uca_n00(382, 12)","(383, 36)",36
"GP010016_fast.mp4_uca_n00(382, 12)","(378, 17)",37
"GP010016_fast.mp4_uca_n00(382, 12)","(383, 36)",38
"GP010016_fast.mp4_uca_n00(382, 12)","(387, 33)",39
"GP010016_fast.mp4_uca_n00(382, 12)","(384, 34)",40
"GP010016_fast.mp4_uca_n00(382, 12)","(383, 34)",41
"GP010016_fast.mp4_uca_n00(382, 12)","(384, 34)",42
"GP010016_fast.mp4_uca_n00(382, 12)","(382, 34)",43
"GP010016_fast.mp4_uca_n00(382, 12)","(384, 32)",44
"GP010016_fast.mp4_uca_n00(382, 12)","(382, 34)",45
"GP010016_fast.mp4_uca_n00(382, 12)","(387, 34)",46
"GP010016_fast.mp4_uca_n00(382, 12)","(379, 15)",47
"GP010016_fast.mp4_uca_n00(382, 12)","(394, 34)",48
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 13)",49
"GP010016_fast.mp4_uca_n00(382, 12)","(380, 12)",50
"GP010016_fast.mp4_uca_n00(382, 12)","(381, 12)",51
"GP010016_fast.mp4_uca_n00(382, 12)","(394, 33)",52
"GP010016_fast.mp4_uca_n00(382, 12)","(393, 33)",53
"GP010016_fast.mp4_uca_n00(382, 12)","(393, 36)",54
"GP010016_fast.mp4_uca_n00(382, 12)","(393, 35)",55
"GP010016_fast.mp4_uca_n00(382, 12)","(394, 35)",56
"GP010016_fast.mp4_uca_n00(382, 12)","(394, 34)",57
"GP010016_fast.mp4_uca_n00(382, 12)","(393, 35)",58
"GP010016_fast.mp4_uca_n00(382, 12)","(385, 15)",59
"GP010016_fast.mp4_uca_n00(382, 12)","(382, 14)",60
"GP010016_fast.mp4_uca_n00(382, 12)","(391, 19)",61
"GP010016_fast.mp4_uca_n00(382, 12)","(385, 14)",62
"GP010016_fast.mp4_uca_n00(382, 12)","(391, 20)",63
"GP010016_fast.mp4_uca_n00(382, 12)","(384, 13)",64
"GP010016_fast.mp4_uca_n00(382, 12)","(391, 23)",65
"GP010016_fast.mp4_uca_n00(382, 12)","(384, 15)",66
"GP010016_fast.mp4_uca_n00(382, 12)","(390, 19)",67
"GP010016_fast.mp4_uca_n00(382, 12)","(389, 23)",68
"GP010016_fast.mp4_uca_n00(382, 12)","(389, 20)",69
"GP010016_fast.mp4_uca_n00(382, 12)","(392, 20)",70
"GP010016_fast.mp4_uca_n00(382, 12)","(388, 23)",71
"GP010016_fast.mp4_uca_n00(382, 12)","(388, 24)",72
"GP010016_fast.mp4_uca_n00(382, 12)","(391, 26)",73
"GP010016_fast.mp4_uca_n00(382, 12)","(392, 23)",74
"GP010016_fast.mp4_uca_n00(382, 12)","(391, 24)",75
"GP010016_fast.mp4_uca_n00(382, 12)","(396, 25)",76
"GP010016_fast.mp4_uca_n00(382, 12)","(392, 23)",77
"GP010016_fast.mp4_uca_n00(382, 12)","(394, 24)",78
"GP010016_fast.mp4_uca_n00(382, 12)","(400, 28)",79
"GP010016_fast.mp4_uca_n00(382, 12)","(400, 29)",80
"GP010016_fast.mp4_uca_n00(382, 12)","(410, 34)",81
"GP010016_fast.mp4_uca_n00(382, 12)","(403, 23)",82
"GP010016_fast.mp4_uca_n00(382, 12)","(411, 34)",83
"GP010016_fast.mp4_uca_n00(382, 12)","(395, 22)",84
"GP010016_fast.mp4_uca_n00(382, 12)","(400, 23)",85
"GP010016_fast.mp4_uca_n00(382, 12)","(409, 25)",86
"GP010016_fast.mp4_uca_n00(382, 12)","(407, 24)",87
"GP010016_fast.mp4_uca_n00(382, 12)","(409, 27)",88
"GP010016_fast.mp4_uca_n00(382, 12)","(408, 26)",89
"GP010016_fast.mp4_uca_n00(382, 12)","(409, 25)",90
