file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1811,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f93bf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nc00(225, 133)","(225, 132)",0
"GP010016_fast.mp4_uca_nc00(225, 133)","(225, 132)",1
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 133)",2
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 133)",3
"GP010016_fast.mp4_uca_nc00(225, 133)","(225, 134)",4
"GP010016_fast.mp4_uca_nc00(225, 133)","(210, 115)",5
"GP010016_fast.mp4_uca_nc00(225, 133)","(210, 114)",6
"GP010016_fast.mp4_uca_nc00(225, 133)","(210, 114)",7
"GP010016_fast.mp4_uca_nc00(225, 133)","(209, 115)",8
"GP010016_fast.mp4_uca_nc00(225, 133)","(208, 116)",9
"GP010016_fast.mp4_uca_nc00(225, 133)","(206, 117)",10
"GP010016_fast.mp4_uca_nc00(225, 133)","(205, 117)",11
"GP010016_fast.mp4_uca_nc00(225, 133)","(205, 117)",12
"GP010016_fast.mp4_uca_nc00(225, 133)","(204, 116)",13
"GP010016_fast.mp4_uca_nc00(225, 133)","(204, 116)",14
"GP010016_fast.mp4_uca_nc00(225, 133)","(204, 117)",15
"GP010016_fast.mp4_uca_nc00(225, 133)","(203, 118)",16
"GP010016_fast.mp4_uca_nc00(225, 133)","(203, 118)",17
"GP010016_fast.mp4_uca_nc00(225, 133)","(205, 117)",18
"GP010016_fast.mp4_uca_nc00(225, 133)","(205, 117)",19
"GP010016_fast.mp4_uca_nc00(225, 133)","(206, 116)",20
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 134)",21
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 134)",22
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 136)",23
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 135)",24
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 134)",25
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 133)",26
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 133)",27
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 133)",28
"GP010016_fast.mp4_uca_nc00(225, 133)","(222, 133)",29
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 133)",30
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 135)",31
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 134)",32
"GP010016_fast.mp4_uca_nc00(225, 133)","(203, 116)",33
"GP010016_fast.mp4_uca_nc00(225, 133)","(203, 115)",34
"GP010016_fast.mp4_uca_nc00(225, 133)","(206, 114)",35
"GP010016_fast.mp4_uca_nc00(225, 133)","(209, 109)",36
"GP010016_fast.mp4_uca_nc00(225, 133)","(205, 114)",37
"GP010016_fast.mp4_uca_nc00(225, 133)","(205, 113)",38
"GP010016_fast.mp4_uca_nc00(225, 133)","(206, 113)",39
"GP010016_fast.mp4_uca_nc00(225, 133)","(206, 114)",40
"GP010016_fast.mp4_uca_nc00(225, 133)","(206, 114)",41
"GP010016_fast.mp4_uca_nc00(225, 133)","(207, 110)",42
"GP010016_fast.mp4_uca_nc00(225, 133)","(210, 113)",43
"GP010016_fast.mp4_uca_nc00(225, 133)","(208, 111)",44
"GP010016_fast.mp4_uca_nc00(225, 133)","(219, 119)",45
"GP010016_fast.mp4_uca_nc00(225, 133)","(210, 113)",46
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 132)",47
"GP010016_fast.mp4_uca_nc00(225, 133)","(205, 116)",48
"GP010016_fast.mp4_uca_nc00(225, 133)","(207, 114)",49
"GP010016_fast.mp4_uca_nc00(225, 133)","(208, 113)",50
