file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1816,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10cc24f30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_cc00(313, 298)","(315, 298)",0
"GP010016_fast.mp4_uca_cc00(313, 298)","(315, 298)",1
"GP010016_fast.mp4_uca_cc00(313, 298)","(313, 298)",2
"GP010016_fast.mp4_uca_cc00(313, 298)","(312, 298)",3
"GP010016_fast.mp4_uca_cc00(313, 298)","(313, 298)",4
"GP010016_fast.mp4_uca_cc00(313, 298)","(314, 297)",5
"GP010016_fast.mp4_uca_cc00(313, 298)","(313, 298)",6
"GP010016_fast.mp4_uca_cc00(313, 298)","(313, 298)",7
"GP010016_fast.mp4_uca_cc00(313, 298)","(317, 307)",8
"GP010016_fast.mp4_uca_cc00(313, 298)","(296, 295)",9
"GP010016_fast.mp4_uca_cc00(313, 298)","(306, 304)",10
"GP010016_fast.mp4_uca_cc00(313, 298)","(301, 295)",11
"GP010016_fast.mp4_uca_cc00(313, 298)","(308, 301)",12
"GP010016_fast.mp4_uca_cc00(313, 298)","(299, 291)",13
"GP010016_fast.mp4_uca_cc00(313, 298)","(307, 299)",14
"GP010016_fast.mp4_uca_cc00(313, 298)","(305, 298)",15
"GP010016_fast.mp4_uca_cc00(313, 298)","(303, 297)",16
"GP010016_fast.mp4_uca_cc00(313, 298)","(297, 293)",17
"GP010016_fast.mp4_uca_cc00(313, 298)","(297, 295)",18
"GP010016_fast.mp4_uca_cc00(313, 298)","(295, 294)",19
"GP010016_fast.mp4_uca_cc00(313, 298)","(294, 296)",20
"GP010016_fast.mp4_uca_cc00(313, 298)","(293, 295)",21
"GP010016_fast.mp4_uca_cc00(313, 298)","(298, 294)",22
"GP010016_fast.mp4_uca_cc00(313, 298)","(293, 296)",23
"GP010016_fast.mp4_uca_cc00(313, 298)","(300, 295)",24
"GP010016_fast.mp4_uca_cc00(313, 298)","(293, 298)",25
"GP010016_fast.mp4_uca_cc00(313, 298)","(298, 294)",26
"GP010016_fast.mp4_uca_cc00(313, 298)","(299, 296)",27
"GP010016_fast.mp4_uca_cc00(313, 298)","(300, 300)",28
"GP010016_fast.mp4_uca_cc00(313, 298)","(298, 295)",29
"GP010016_fast.mp4_uca_cc00(313, 298)","(298, 295)",30
"GP010016_fast.mp4_uca_cc00(313, 298)","(300, 300)",31
"GP010016_fast.mp4_uca_cc00(313, 298)","(296, 295)",32
"GP010016_fast.mp4_uca_cc00(313, 298)","(296, 295)",33
"GP010016_fast.mp4_uca_cc00(313, 298)","(296, 295)",34
"GP010016_fast.mp4_uca_cc00(313, 298)","(296, 293)",35
"GP010016_fast.mp4_uca_cc00(313, 298)","(292, 292)",36
"GP010016_fast.mp4_uca_cc00(313, 298)","(295, 299)",37
"GP010016_fast.mp4_uca_cc00(313, 298)","(292, 300)",38
"GP010016_fast.mp4_uca_cc00(313, 298)","(291, 300)",39
"GP010016_fast.mp4_uca_cc00(313, 298)","(286, 297)",40
"GP010016_fast.mp4_uca_cc00(313, 298)","(282, 298)",41
"GP010016_fast.mp4_uca_cc00(313, 298)","(284, 307)",42
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 309)",43
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 300)",44
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 310)",45
"GP010016_fast.mp4_uca_cc00(313, 298)","(281, 307)",46
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 303)",47
"GP010016_fast.mp4_uca_cc00(313, 298)","(282, 301)",48
"GP010016_fast.mp4_uca_cc00(313, 298)","(280, 313)",49
"GP010016_fast.mp4_uca_cc00(313, 298)","(279, 306)",50
"GP010016_fast.mp4_uca_cc00(313, 298)","(280, 314)",51
"GP010016_fast.mp4_uca_cc00(313, 298)","(279, 304)",52
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 305)",53
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 304)",54
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 304)",55
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 306)",56
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 307)",57
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 304)",58
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 308)",59
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 311)",60
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 305)",61
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 309)",62
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 308)",63
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 307)",64
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 307)",65
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 308)",66
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 306)",67
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 307)",68
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 307)",69
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 308)",70
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 307)",71
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 306)",72
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 305)",73
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 307)",74
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 308)",75
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 307)",76
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 308)",77
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 307)",78
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 307)",79
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 307)",80
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 307)",81
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 307)",82
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 306)",83
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 306)",84
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 305)",85
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 306)",86
"GP010016_fast.mp4_uca_cc00(313, 298)","(273, 306)",87
"GP010016_fast.mp4_uca_cc00(313, 298)","(273, 306)",88
"GP010016_fast.mp4_uca_cc00(313, 298)","(273, 306)",89
"GP010016_fast.mp4_uca_cc00(313, 298)","(272, 306)",90
"GP010016_fast.mp4_uca_cc00(313, 298)","(273, 306)",91
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 305)",92
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 307)",93
"GP010016_fast.mp4_uca_cc00(313, 298)","(273, 306)",94
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 306)",95
"GP010016_fast.mp4_uca_cc00(313, 298)","(273, 306)",96
"GP010016_fast.mp4_uca_cc00(313, 298)","(273, 306)",97
"GP010016_fast.mp4_uca_cc00(313, 298)","(272, 308)",98
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 306)",99
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 306)",100
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 306)",101
"GP010016_fast.mp4_uca_cc00(313, 298)","(273, 307)",102
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 306)",103
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 306)",104
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 306)",105
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 305)",106
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 306)",107
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 306)",108
"GP010016_fast.mp4_uca_cc00(313, 298)","(272, 308)",109
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 306)",110
"GP010016_fast.mp4_uca_cc00(313, 298)","(271, 307)",111
"GP010016_fast.mp4_uca_cc00(313, 298)","(272, 306)",112
"GP010016_fast.mp4_uca_cc00(313, 298)","(272, 306)",113
"GP010016_fast.mp4_uca_cc00(313, 298)","(272, 306)",114
"GP010016_fast.mp4_uca_cc00(313, 298)","(271, 306)",115
"GP010016_fast.mp4_uca_cc00(313, 298)","(270, 307)",116
"GP010016_fast.mp4_uca_cc00(313, 298)","(270, 306)",117
"GP010016_fast.mp4_uca_cc00(313, 298)","(269, 306)",118
"GP010016_fast.mp4_uca_cc00(313, 298)","(269, 306)",119
"GP010016_fast.mp4_uca_cc00(313, 298)","(268, 306)",120
"GP010016_fast.mp4_uca_cc00(313, 298)","(268, 306)",121
"GP010016_fast.mp4_uca_cc00(313, 298)","(267, 306)",122
"GP010016_fast.mp4_uca_cc00(313, 298)","(267, 306)",123
"GP010016_fast.mp4_uca_cc00(313, 298)","(267, 306)",124
"GP010016_fast.mp4_uca_cc00(313, 298)","(268, 306)",125
"GP010016_fast.mp4_uca_cc00(313, 298)","(268, 306)",126
"GP010016_fast.mp4_uca_cc00(313, 298)","(267, 306)",127
"GP010016_fast.mp4_uca_cc00(313, 298)","(267, 306)",128
"GP010016_fast.mp4_uca_cc00(313, 298)","(269, 305)",129
"GP010016_fast.mp4_uca_cc00(313, 298)","(268, 307)",130
"GP010016_fast.mp4_uca_cc00(313, 298)","(264, 309)",131
"GP010016_fast.mp4_uca_cc00(313, 298)","(262, 307)",132
"GP010016_fast.mp4_uca_cc00(313, 298)","(263, 306)",133
"GP010016_fast.mp4_uca_cc00(313, 298)","(263, 307)",134
"GP010016_fast.mp4_uca_cc00(313, 298)","(262, 307)",135
"GP010016_fast.mp4_uca_cc00(313, 298)","(262, 306)",136
"GP010016_fast.mp4_uca_cc00(313, 298)","(262, 306)",137
"GP010016_fast.mp4_uca_cc00(313, 298)","(261, 306)",138
"GP010016_fast.mp4_uca_cc00(313, 298)","(260, 306)",139
"GP010016_fast.mp4_uca_cc00(313, 298)","(259, 306)",140
"GP010016_fast.mp4_uca_cc00(313, 298)","(256, 308)",141
"GP010016_fast.mp4_uca_cc00(313, 298)","(256, 306)",142
"GP010016_fast.mp4_uca_cc00(313, 298)","(256, 306)",143
"GP010016_fast.mp4_uca_cc00(313, 298)","(255, 307)",144
"GP010016_fast.mp4_uca_cc00(313, 298)","(254, 307)",145
"GP010016_fast.mp4_uca_cc00(313, 298)","(254, 311)",146
"GP010016_fast.mp4_uca_cc00(313, 298)","(254, 308)",147
"GP010016_fast.mp4_uca_cc00(313, 298)","(250, 310)",148
"GP010016_fast.mp4_uca_cc00(313, 298)","(249, 309)",149
"GP010016_fast.mp4_uca_cc00(313, 298)","(249, 309)",150
"GP010016_fast.mp4_uca_cc00(313, 298)","(249, 307)",151
"GP010016_fast.mp4_uca_cc00(313, 298)","(252, 308)",152
"GP010016_fast.mp4_uca_cc00(313, 298)","(251, 304)",153
"GP010016_fast.mp4_uca_cc00(313, 298)","(252, 306)",154
"GP010016_fast.mp4_uca_cc00(313, 298)","(250, 306)",155
"GP010016_fast.mp4_uca_cc00(313, 298)","(251, 304)",156
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 308)",157
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 307)",158
"GP010016_fast.mp4_uca_cc00(313, 298)","(252, 304)",159
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 307)",160
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 308)",161
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 304)",162
"GP010016_fast.mp4_uca_cc00(313, 298)","(251, 306)",163
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 303)",164
"GP010016_fast.mp4_uca_cc00(313, 298)","(252, 304)",165
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 303)",166
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 306)",167
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 304)",168
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 303)",169
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 303)",170
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 303)",171
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 303)",172
"GP010016_fast.mp4_uca_cc00(313, 298)","(254, 305)",173
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 303)",174
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 303)",175
"GP010016_fast.mp4_uca_cc00(313, 298)","(254, 305)",176
"GP010016_fast.mp4_uca_cc00(313, 298)","(254, 304)",177
"GP010016_fast.mp4_uca_cc00(313, 298)","(253, 304)",178
"GP010016_fast.mp4_uca_cc00(313, 298)","(255, 303)",179
"GP010016_fast.mp4_uca_cc00(313, 298)","(256, 304)",180
"GP010016_fast.mp4_uca_cc00(313, 298)","(258, 303)",181
"GP010016_fast.mp4_uca_cc00(313, 298)","(259, 304)",182
"GP010016_fast.mp4_uca_cc00(313, 298)","(256, 306)",183
"GP010016_fast.mp4_uca_cc00(313, 298)","(259, 304)",184
"GP010016_fast.mp4_uca_cc00(313, 298)","(259, 307)",185
"GP010016_fast.mp4_uca_cc00(313, 298)","(259, 306)",186
"GP010016_fast.mp4_uca_cc00(313, 298)","(257, 308)",187
"GP010016_fast.mp4_uca_cc00(313, 298)","(259, 306)",188
"GP010016_fast.mp4_uca_cc00(313, 298)","(259, 306)",189
"GP010016_fast.mp4_uca_cc00(313, 298)","(260, 303)",190
"GP010016_fast.mp4_uca_cc00(313, 298)","(260, 306)",191
"GP010016_fast.mp4_uca_cc00(313, 298)","(260, 306)",192
"GP010016_fast.mp4_uca_cc00(313, 298)","(259, 308)",193
"GP010016_fast.mp4_uca_cc00(313, 298)","(259, 308)",194
"GP010016_fast.mp4_uca_cc00(313, 298)","(259, 308)",195
"GP010016_fast.mp4_uca_cc00(313, 298)","(261, 307)",196
"GP010016_fast.mp4_uca_cc00(313, 298)","(262, 305)",197
"GP010016_fast.mp4_uca_cc00(313, 298)","(260, 308)",198
"GP010016_fast.mp4_uca_cc00(313, 298)","(262, 310)",199
"GP010016_fast.mp4_uca_cc00(313, 298)","(263, 310)",200
"GP010016_fast.mp4_uca_cc00(313, 298)","(263, 310)",201
"GP010016_fast.mp4_uca_cc00(313, 298)","(267, 311)",202
"GP010016_fast.mp4_uca_cc00(313, 298)","(269, 310)",203
"GP010016_fast.mp4_uca_cc00(313, 298)","(268, 310)",204
"GP010016_fast.mp4_uca_cc00(313, 298)","(268, 311)",205
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 310)",206
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 312)",207
"GP010016_fast.mp4_uca_cc00(313, 298)","(272, 310)",208
"GP010016_fast.mp4_uca_cc00(313, 298)","(269, 311)",209
"GP010016_fast.mp4_uca_cc00(313, 298)","(269, 311)",210
"GP010016_fast.mp4_uca_cc00(313, 298)","(271, 310)",211
"GP010016_fast.mp4_uca_cc00(313, 298)","(269, 310)",212
"GP010016_fast.mp4_uca_cc00(313, 298)","(271, 309)",213
"GP010016_fast.mp4_uca_cc00(313, 298)","(271, 309)",214
"GP010016_fast.mp4_uca_cc00(313, 298)","(271, 308)",215
"GP010016_fast.mp4_uca_cc00(313, 298)","(270, 309)",216
"GP010016_fast.mp4_uca_cc00(313, 298)","(271, 308)",217
"GP010016_fast.mp4_uca_cc00(313, 298)","(272, 308)",218
"GP010016_fast.mp4_uca_cc00(313, 298)","(269, 310)",219
"GP010016_fast.mp4_uca_cc00(313, 298)","(268, 310)",220
"GP010016_fast.mp4_uca_cc00(313, 298)","(268, 309)",221
"GP010016_fast.mp4_uca_cc00(313, 298)","(271, 310)",222
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 308)",223
"GP010016_fast.mp4_uca_cc00(313, 298)","(275, 309)",224
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 307)",225
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 306)",226
"GP010016_fast.mp4_uca_cc00(313, 298)","(283, 303)",227
"GP010016_fast.mp4_uca_cc00(313, 298)","(286, 300)",228
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 294)",229
"GP010016_fast.mp4_uca_cc00(313, 298)","(280, 291)",230
"GP010016_fast.mp4_uca_cc00(313, 298)","(286, 299)",231
"GP010016_fast.mp4_uca_cc00(313, 298)","(284, 298)",232
"GP010016_fast.mp4_uca_cc00(313, 298)","(283, 300)",233
"GP010016_fast.mp4_uca_cc00(313, 298)","(279, 290)",234
"GP010016_fast.mp4_uca_cc00(313, 298)","(283, 298)",235
"GP010016_fast.mp4_uca_cc00(313, 298)","(287, 297)",236
"GP010016_fast.mp4_uca_cc00(313, 298)","(288, 296)",237
"GP010016_fast.mp4_uca_cc00(313, 298)","(288, 297)",238
"GP010016_fast.mp4_uca_cc00(313, 298)","(288, 297)",239
"GP010016_fast.mp4_uca_cc00(313, 298)","(288, 297)",240
"GP010016_fast.mp4_uca_cc00(313, 298)","(288, 297)",241
"GP010016_fast.mp4_uca_cc00(313, 298)","(290, 297)",242
"GP010016_fast.mp4_uca_cc00(313, 298)","(288, 296)",243
"GP010016_fast.mp4_uca_cc00(313, 298)","(285, 297)",244
"GP010016_fast.mp4_uca_cc00(313, 298)","(284, 297)",245
"GP010016_fast.mp4_uca_cc00(313, 298)","(288, 296)",246
"GP010016_fast.mp4_uca_cc00(313, 298)","(289, 297)",247
"GP010016_fast.mp4_uca_cc00(313, 298)","(286, 297)",248
"GP010016_fast.mp4_uca_cc00(313, 298)","(285, 298)",249
"GP010016_fast.mp4_uca_cc00(313, 298)","(288, 297)",250
"GP010016_fast.mp4_uca_cc00(313, 298)","(286, 298)",251
"GP010016_fast.mp4_uca_cc00(313, 298)","(284, 297)",252
"GP010016_fast.mp4_uca_cc00(313, 298)","(286, 298)",253
"GP010016_fast.mp4_uca_cc00(313, 298)","(286, 298)",254
"GP010016_fast.mp4_uca_cc00(313, 298)","(285, 298)",255
"GP010016_fast.mp4_uca_cc00(313, 298)","(285, 297)",256
"GP010016_fast.mp4_uca_cc00(313, 298)","(284, 298)",257
"GP010016_fast.mp4_uca_cc00(313, 298)","(284, 297)",258
"GP010016_fast.mp4_uca_cc00(313, 298)","(286, 296)",259
"GP010016_fast.mp4_uca_cc00(313, 298)","(284, 296)",260
"GP010016_fast.mp4_uca_cc00(313, 298)","(284, 296)",261
