file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1820,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11542cf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_cc01(291, 205)","(293, 207)",0
"GP010016_fast.mp4_uca_cc01(291, 205)","(294, 207)",1
"GP010016_fast.mp4_uca_cc01(291, 205)","(296, 206)",2
"GP010016_fast.mp4_uca_cc01(291, 205)","(297, 209)",3
"GP010016_fast.mp4_uca_cc01(291, 205)","(298, 213)",4
"GP010016_fast.mp4_uca_cc01(291, 205)","(299, 213)",5
"GP010016_fast.mp4_uca_cc01(291, 205)","(299, 213)",6
"GP010016_fast.mp4_uca_cc01(291, 205)","(299, 214)",7
"GP010016_fast.mp4_uca_cc01(291, 205)","(300, 213)",8
"GP010016_fast.mp4_uca_cc01(291, 205)","(300, 213)",9
"GP010016_fast.mp4_uca_cc01(291, 205)","(300, 213)",10
"GP010016_fast.mp4_uca_cc01(291, 205)","(299, 213)",11
"GP010016_fast.mp4_uca_cc01(291, 205)","(300, 210)",12
"GP010016_fast.mp4_uca_cc01(291, 205)","(299, 212)",13
"GP010016_fast.mp4_uca_cc01(291, 205)","(299, 213)",14
"GP010016_fast.mp4_uca_cc01(291, 205)","(300, 210)",15
"GP010016_fast.mp4_uca_cc01(291, 205)","(298, 215)",16
"GP010016_fast.mp4_uca_cc01(291, 205)","(299, 212)",17
"GP010016_fast.mp4_uca_cc01(291, 205)","(300, 211)",18
"GP010016_fast.mp4_uca_cc01(291, 205)","(300, 211)",19
"GP010016_fast.mp4_uca_cc01(291, 205)","(300, 210)",20
"GP010016_fast.mp4_uca_cc01(291, 205)","(298, 210)",21
"GP010016_fast.mp4_uca_cc01(291, 205)","(298, 208)",22
"GP010016_fast.mp4_uca_cc01(291, 205)","(298, 210)",23
"GP010016_fast.mp4_uca_cc01(291, 205)","(298, 211)",24
"GP010016_fast.mp4_uca_cc01(291, 205)","(297, 208)",25
"GP010016_fast.mp4_uca_cc01(291, 205)","(296, 211)",26
"GP010016_fast.mp4_uca_cc01(291, 205)","(296, 210)",27
"GP010016_fast.mp4_uca_cc01(291, 205)","(295, 211)",28
