file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1824,1928.0,23.976023976023978,239,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f158f30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 249)",0
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 250)",1
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 250)",2
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 250)",3
"GP010016_fast.mp4_uca_lm01(446, 249)","(445, 248)",4
"GP010016_fast.mp4_uca_lm01(446, 249)","(445, 252)",5
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 249)",6
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 250)",7
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 256)",8
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 258)",9
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 256)",10
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 256)",11
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 256)",12
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 256)",13
"GP010016_fast.mp4_uca_lm01(446, 249)","(428, 260)",14
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 256)",15
"GP010016_fast.mp4_uca_lm01(446, 249)","(428, 266)",16
"GP010016_fast.mp4_uca_lm01(446, 249)","(429, 258)",17
"GP010016_fast.mp4_uca_lm01(446, 249)","(431, 257)",18
"GP010016_fast.mp4_uca_lm01(446, 249)","(432, 256)",19
"GP010016_fast.mp4_uca_lm01(446, 249)","(432, 256)",20
"GP010016_fast.mp4_uca_lm01(446, 249)","(433, 256)",21
"GP010016_fast.mp4_uca_lm01(446, 249)","(432, 256)",22
"GP010016_fast.mp4_uca_lm01(446, 249)","(431, 257)",23
"GP010016_fast.mp4_uca_lm01(446, 249)","(433, 256)",24
"GP010016_fast.mp4_uca_lm01(446, 249)","(432, 256)",25
"GP010016_fast.mp4_uca_lm01(446, 249)","(432, 256)",26
"GP010016_fast.mp4_uca_lm01(446, 249)","(431, 257)",27
"GP010016_fast.mp4_uca_lm01(446, 249)","(432, 257)",28
"GP010016_fast.mp4_uca_lm01(446, 249)","(431, 256)",29
"GP010016_fast.mp4_uca_lm01(446, 249)","(429, 256)",30
"GP010016_fast.mp4_uca_lm01(446, 249)","(430, 257)",31
"GP010016_fast.mp4_uca_lm01(446, 249)","(428, 255)",32
"GP010016_fast.mp4_uca_lm01(446, 249)","(423, 265)",33
"GP010016_fast.mp4_uca_lm01(446, 249)","(424, 266)",34
"GP010016_fast.mp4_uca_lm01(446, 249)","(426, 266)",35
"GP010016_fast.mp4_uca_lm01(446, 249)","(428, 257)",36
"GP010016_fast.mp4_uca_lm01(446, 249)","(429, 257)",37
"GP010016_fast.mp4_uca_lm01(446, 249)","(429, 257)",38
"GP010016_fast.mp4_uca_lm01(446, 249)","(419, 264)",39
"GP010016_fast.mp4_uca_lm01(446, 249)","(424, 260)",40
"GP010016_fast.mp4_uca_lm01(446, 249)","(425, 258)",41
"GP010016_fast.mp4_uca_lm01(446, 249)","(425, 259)",42
