file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1836,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11a0fdf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 98)",0
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",1
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",2
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",3
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",4
"GP010016_fast.mp4_uca_lu01(369, 98)","(371, 99)",5
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 98)",6
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 98)",7
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 98)",8
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",9
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",10
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",11
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",12
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",13
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",14
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",15
"GP010016_fast.mp4_uca_lu01(369, 98)","(369, 99)",16
"GP010016_fast.mp4_uca_lu01(369, 98)","(369, 99)",17
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",18
"GP010016_fast.mp4_uca_lu01(369, 98)","(368, 99)",19
"GP010016_fast.mp4_uca_lu01(369, 98)","(371, 99)",20
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",21
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",22
"GP010016_fast.mp4_uca_lu01(369, 98)","(371, 99)",23
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 98)",24
"GP010016_fast.mp4_uca_lu01(369, 98)","(371, 98)",25
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 99)",26
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 100)",27
"GP010016_fast.mp4_uca_lu01(369, 98)","(365, 96)",28
"GP010016_fast.mp4_uca_lu01(369, 98)","(364, 98)",29
"GP010016_fast.mp4_uca_lu01(369, 98)","(364, 97)",30
"GP010016_fast.mp4_uca_lu01(369, 98)","(364, 95)",31
"GP010016_fast.mp4_uca_lu01(369, 98)","(364, 97)",32
"GP010016_fast.mp4_uca_lu01(369, 98)","(363, 97)",33
"GP010016_fast.mp4_uca_lu01(369, 98)","(367, 93)",34
"GP010016_fast.mp4_uca_lu01(369, 98)","(362, 93)",35
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 93)",36
"GP010016_fast.mp4_uca_lu01(369, 98)","(373, 98)",37
"GP010016_fast.mp4_uca_lu01(369, 98)","(367, 95)",38
"GP010016_fast.mp4_uca_lu01(369, 98)","(382, 105)",39
"GP010016_fast.mp4_uca_lu01(369, 98)","(371, 109)",40
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 111)",41
"GP010016_fast.mp4_uca_lu01(369, 98)","(371, 109)",42
"GP010016_fast.mp4_uca_lu01(369, 98)","(371, 110)",43
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 111)",44
"GP010016_fast.mp4_uca_lu01(369, 98)","(372, 108)",45
"GP010016_fast.mp4_uca_lu01(369, 98)","(366, 97)",46
"GP010016_fast.mp4_uca_lu01(369, 98)","(360, 99)",47
"GP010016_fast.mp4_uca_lu01(369, 98)","(369, 113)",48
"GP010016_fast.mp4_uca_lu01(369, 98)","(365, 97)",49
"GP010016_fast.mp4_uca_lu01(369, 98)","(367, 99)",50
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 97)",51
"GP010016_fast.mp4_uca_lu01(369, 98)","(373, 114)",52
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 96)",53
"GP010016_fast.mp4_uca_lu01(369, 98)","(371, 96)",54
"GP010016_fast.mp4_uca_lu01(369, 98)","(371, 105)",55
"GP010016_fast.mp4_uca_lu01(369, 98)","(363, 109)",56
"GP010016_fast.mp4_uca_lu01(369, 98)","(364, 114)",57
"GP010016_fast.mp4_uca_lu01(369, 98)","(366, 110)",58
"GP010016_fast.mp4_uca_lu01(369, 98)","(366, 116)",59
"GP010016_fast.mp4_uca_lu01(369, 98)","(376, 121)",60
"GP010016_fast.mp4_uca_lu01(369, 98)","(376, 127)",61
"GP010016_fast.mp4_uca_lu01(369, 98)","(368, 119)",62
"GP010016_fast.mp4_uca_lu01(369, 98)","(380, 131)",63
"GP010016_fast.mp4_uca_lu01(369, 98)","(370, 122)",64
"GP010016_fast.mp4_uca_lu01(369, 98)","(372, 125)",65
"GP010016_fast.mp4_uca_lu01(369, 98)","(385, 137)",66
"GP010016_fast.mp4_uca_lu01(369, 98)","(381, 136)",67
"GP010016_fast.mp4_uca_lu01(369, 98)","(369, 127)",68
"GP010016_fast.mp4_uca_lu01(369, 98)","(384, 145)",69
"GP010016_fast.mp4_uca_lu01(369, 98)","(372, 132)",70
"GP010016_fast.mp4_uca_lu01(369, 98)","(382, 131)",71
"GP010016_fast.mp4_uca_lu01(369, 98)","(387, 145)",72
"GP010016_fast.mp4_uca_lu01(369, 98)","(385, 143)",73
"GP010016_fast.mp4_uca_lu01(369, 98)","(388, 142)",74
"GP010016_fast.mp4_uca_lu01(369, 98)","(389, 146)",75
"GP010016_fast.mp4_uca_lu01(369, 98)","(378, 143)",76
"GP010016_fast.mp4_uca_lu01(369, 98)","(390, 145)",77
"GP010016_fast.mp4_uca_lu01(369, 98)","(379, 145)",78
"GP010016_fast.mp4_uca_lu01(369, 98)","(382, 150)",79
"GP010016_fast.mp4_uca_lu01(369, 98)","(383, 150)",80
"GP010016_fast.mp4_uca_lu01(369, 98)","(382, 151)",81
"GP010016_fast.mp4_uca_lu01(369, 98)","(384, 154)",82
"GP010016_fast.mp4_uca_lu01(369, 98)","(387, 158)",83
"GP010016_fast.mp4_uca_lu01(369, 98)","(384, 153)",84
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 165)",85
"GP010016_fast.mp4_uca_lu01(369, 98)","(385, 155)",86
"GP010016_fast.mp4_uca_lu01(369, 98)","(383, 154)",87
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 166)",88
"GP010016_fast.mp4_uca_lu01(369, 98)","(383, 154)",89
"GP010016_fast.mp4_uca_lu01(369, 98)","(382, 155)",90
"GP010016_fast.mp4_uca_lu01(369, 98)","(384, 153)",91
"GP010016_fast.mp4_uca_lu01(369, 98)","(385, 154)",92
"GP010016_fast.mp4_uca_lu01(369, 98)","(385, 155)",93
"GP010016_fast.mp4_uca_lu01(369, 98)","(384, 153)",94
"GP010016_fast.mp4_uca_lu01(369, 98)","(384, 154)",95
"GP010016_fast.mp4_uca_lu01(369, 98)","(403, 164)",96
"GP010016_fast.mp4_uca_lu01(369, 98)","(388, 156)",97
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 164)",98
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 159)",99
"GP010016_fast.mp4_uca_lu01(369, 98)","(407, 165)",100
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 165)",101
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 172)",102
"GP010016_fast.mp4_uca_lu01(369, 98)","(412, 163)",103
"GP010016_fast.mp4_uca_lu01(369, 98)","(417, 172)",104
"GP010016_fast.mp4_uca_lu01(369, 98)","(402, 164)",105
"GP010016_fast.mp4_uca_lu01(369, 98)","(423, 170)",106
"GP010016_fast.mp4_uca_lu01(369, 98)","(413, 163)",107
"GP010016_fast.mp4_uca_lu01(369, 98)","(415, 171)",108
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 164)",109
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 166)",110
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 165)",111
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 164)",112
"GP010016_fast.mp4_uca_lu01(369, 98)","(415, 167)",113
"GP010016_fast.mp4_uca_lu01(369, 98)","(409, 166)",114
"GP010016_fast.mp4_uca_lu01(369, 98)","(408, 166)",115
"GP010016_fast.mp4_uca_lu01(369, 98)","(403, 166)",116
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 165)",117
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 165)",118
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 170)",119
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 165)",120
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 170)",121
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 165)",122
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 164)",123
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",124
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 165)",125
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 163)",126
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 165)",127
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 164)",128
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 163)",129
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 164)",130
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 163)",131
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 161)",132
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 162)",133
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",134
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",135
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",136
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 170)",137
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 170)",138
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 168)",139
"GP010016_fast.mp4_uca_lu01(369, 98)","(392, 166)",140
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 166)",141
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 164)",142
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 163)",143
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 163)",144
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 169)",145
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 163)",146
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 161)",147
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 159)",148
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 159)",149
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 163)",150
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 160)",151
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 163)",152
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 162)",153
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 165)",154
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 160)",155
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 158)",156
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 159)",157
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 159)",158
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 157)",159
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 159)",160
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 160)",161
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 163)",162
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 155)",163
"GP010016_fast.mp4_uca_lu01(369, 98)","(408, 159)",164
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 158)",165
"GP010016_fast.mp4_uca_lu01(369, 98)","(408, 159)",166
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 167)",167
"GP010016_fast.mp4_uca_lu01(369, 98)","(417, 159)",168
"GP010016_fast.mp4_uca_lu01(369, 98)","(433, 156)",169
"GP010016_fast.mp4_uca_lu01(369, 98)","(431, 157)",170
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 158)",171
"GP010016_fast.mp4_uca_lu01(369, 98)","(430, 155)",172
"GP010016_fast.mp4_uca_lu01(369, 98)","(443, 151)",173
"GP010016_fast.mp4_uca_lu01(369, 98)","(434, 157)",174
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 163)",175
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 155)",176
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 155)",177
"GP010016_fast.mp4_uca_lu01(369, 98)","(402, 155)",178
"GP010016_fast.mp4_uca_lu01(369, 98)","(412, 159)",179
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 161)",180
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 157)",181
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 158)",182
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 158)",183
"GP010016_fast.mp4_uca_lu01(369, 98)","(409, 154)",184
"GP010016_fast.mp4_uca_lu01(369, 98)","(430, 152)",185
"GP010016_fast.mp4_uca_lu01(369, 98)","(417, 162)",186
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 159)",187
"GP010016_fast.mp4_uca_lu01(369, 98)","(427, 156)",188
"GP010016_fast.mp4_uca_lu01(369, 98)","(426, 159)",189
"GP010016_fast.mp4_uca_lu01(369, 98)","(426, 155)",190
"GP010016_fast.mp4_uca_lu01(369, 98)","(425, 152)",191
"GP010016_fast.mp4_uca_lu01(369, 98)","(405, 159)",192
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 159)",193
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 163)",194
