file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,2338,1928,23.97602398,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.107758621,<TrackerMIL 0x10e996f30>
"
",,,,,,,,,,,,
Crab_ID,Crab_Position,Crab_frame,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 334)",0,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(162, 332)",1,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(162, 333)",2,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(162, 333)",3,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(171, 338)",4,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(172, 337)",5,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(161, 333)",6,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(158, 328)",7,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(157, 328)",8,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(155, 331)",9,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(156, 327)",10,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(154, 325)",11,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 328)",12,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(147, 326)",13,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(154, 329)",14,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(154, 333)",15,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(149, 334)",16,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(149, 332)",17,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 328)",18,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(151, 331)",19,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(159, 331)",20,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(153, 331)",21,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(145, 330)",22,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(145, 330)",23,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(145, 330)",24,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(154, 330)",25,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(152, 329)",26,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(144, 328)",27,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(143, 328)",28,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(144, 327)",29,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(151, 325)",30,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(154, 330)",31,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(146, 326)",32,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(151, 325)",33,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(160, 334)",34,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(159, 335)",35,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(160, 328)",36,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(161, 325)",37,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(152, 323)",38,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(159, 335)",39,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(159, 335)",40,,,,,,,,,,
