file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,2356,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x110f5ff30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_ccl01(232, 391)","(230, 393)",0
"GP010016_fast.mp4_uca_ccl01(232, 391)","(231, 392)",1
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 392)",2
"GP010016_fast.mp4_uca_ccl01(232, 391)","(233, 391)",3
"GP010016_fast.mp4_uca_ccl01(232, 391)","(233, 392)",4
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 394)",5
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 391)",6
"GP010016_fast.mp4_uca_ccl01(232, 391)","(231, 393)",7
"GP010016_fast.mp4_uca_ccl01(232, 391)","(230, 392)",8
"GP010016_fast.mp4_uca_ccl01(232, 391)","(230, 391)",9
"GP010016_fast.mp4_uca_ccl01(232, 391)","(231, 394)",10
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 388)",11
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 388)",12
"GP010016_fast.mp4_uca_ccl01(232, 391)","(243, 389)",13
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 399)",14
"GP010016_fast.mp4_uca_ccl01(232, 391)","(232, 396)",15
"GP010016_fast.mp4_uca_ccl01(232, 391)","(256, 395)",16
"GP010016_fast.mp4_uca_ccl01(232, 391)","(255, 389)",17
"GP010016_fast.mp4_uca_ccl01(232, 391)","(256, 394)",18
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 393)",19
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 393)",20
"GP010016_fast.mp4_uca_ccl01(232, 391)","(251, 399)",21
"GP010016_fast.mp4_uca_ccl01(232, 391)","(259, 391)",22
"GP010016_fast.mp4_uca_ccl01(232, 391)","(255, 387)",23
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 394)",24
"GP010016_fast.mp4_uca_ccl01(232, 391)","(255, 389)",25
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 395)",26
"GP010016_fast.mp4_uca_ccl01(232, 391)","(240, 394)",27
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 395)",28
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 390)",29
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 384)",30
"GP010016_fast.mp4_uca_ccl01(232, 391)","(234, 392)",31
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 384)",32
"GP010016_fast.mp4_uca_ccl01(232, 391)","(230, 394)",33
"GP010016_fast.mp4_uca_ccl01(232, 391)","(237, 392)",34
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 382)",35
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 385)",36
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 389)",37
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 384)",38
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 384)",39
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 384)",40
"GP010016_fast.mp4_uca_ccl01(232, 391)","(250, 384)",41
"GP010016_fast.mp4_uca_ccl01(232, 391)","(250, 383)",42
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 384)",43
"GP010016_fast.mp4_uca_ccl01(232, 391)","(251, 385)",44
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 388)",45
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 391)",46
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 393)",47
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",48
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",49
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",50
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",51
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 393)",52
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",53
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 393)",54
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",55
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",56
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",57
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 393)",58
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 394)",59
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",60
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",61
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",62
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 393)",63
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",64
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",65
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",66
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 393)",67
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 393)",68
