file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance
GP010016_fast.mp4,15112018,1349,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_(292, 205)","(294, 205)",0
"GP010016_fast.mp4_(292, 205)","(295, 205)",1
"GP010016_fast.mp4_(292, 205)","(296, 207)",2
"GP010016_fast.mp4_(292, 205)","(299, 209)",3
"GP010016_fast.mp4_(292, 205)","(300, 211)",4
"GP010016_fast.mp4_(292, 205)","(301, 212)",5
"GP010016_fast.mp4_(292, 205)","(302, 213)",6
"GP010016_fast.mp4_(292, 205)","(302, 213)",7
"GP010016_fast.mp4_(292, 205)","(302, 212)",8
"GP010016_fast.mp4_(292, 205)","(302, 213)",9
"GP010016_fast.mp4_(292, 205)","(302, 213)",10
"GP010016_fast.mp4_(292, 205)","(302, 213)",11
"GP010016_fast.mp4_(292, 205)","(301, 212)",12
"GP010016_fast.mp4_(292, 205)","(301, 212)",13
"GP010016_fast.mp4_(292, 205)","(301, 212)",14
"GP010016_fast.mp4_(292, 205)","(301, 212)",15
"GP010016_fast.mp4_(292, 205)","(301, 212)",16
"GP010016_fast.mp4_(292, 205)","(301, 212)",17
"GP010016_fast.mp4_(292, 205)","(300, 212)",18
"GP010016_fast.mp4_(292, 205)","(300, 211)",19
"GP010016_fast.mp4_(292, 205)","(300, 211)",20
"GP010016_fast.mp4_(292, 205)","(300, 211)",21
"GP010016_fast.mp4_(292, 205)","(300, 211)",22
"GP010016_fast.mp4_(292, 205)","(300, 211)",23
"GP010016_fast.mp4_(292, 205)","(299, 211)",24
"GP010016_fast.mp4_(292, 205)","(299, 211)",25
"GP010016_fast.mp4_(292, 205)","(298, 212)",26
"GP010016_fast.mp4_(292, 205)","(296, 212)",27
"GP010016_fast.mp4_(292, 205)","(296, 212)",28
"GP010016_fast.mp4_(292, 205)","(296, 212)",29
"GP010016_fast.mp4_(292, 205)","(296, 212)",30
"GP010016_fast.mp4_(292, 205)","(295, 212)",31
"GP010016_fast.mp4_(292, 205)","(295, 212)",32
"GP010016_fast.mp4_(292, 205)","(295, 213)",33
"GP010016_fast.mp4_(292, 205)","(295, 213)",34
"GP010016_fast.mp4_(292, 205)","(295, 213)",35
"GP010016_fast.mp4_(292, 205)","(295, 213)",36
"GP010016_fast.mp4_(292, 205)","(295, 213)",37
"GP010016_fast.mp4_(292, 205)","(295, 213)",38
"GP010016_fast.mp4_(292, 205)","(294, 214)",39
"GP010016_fast.mp4_(292, 205)","(294, 214)",40
