file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1657,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x111115ed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(291, 205)","(295, 205)",0
"GP010016_fast.mp4_uca01(291, 205)","(296, 206)",1
"GP010016_fast.mp4_uca01(291, 205)","(297, 206)",2
"GP010016_fast.mp4_uca01(291, 205)","(299, 209)",3
"GP010016_fast.mp4_uca01(291, 205)","(300, 212)",4
"GP010016_fast.mp4_uca01(291, 205)","(301, 212)",5
"GP010016_fast.mp4_uca01(291, 205)","(302, 212)",6
"GP010016_fast.mp4_uca01(291, 205)","(302, 212)",7
"GP010016_fast.mp4_uca01(291, 205)","(301, 213)",8
"GP010016_fast.mp4_uca01(291, 205)","(301, 213)",9
"GP010016_fast.mp4_uca01(291, 205)","(301, 213)",10
"GP010016_fast.mp4_uca01(291, 205)","(301, 213)",11
"GP010016_fast.mp4_uca01(291, 205)","(301, 213)",12
"GP010016_fast.mp4_uca01(291, 205)","(300, 213)",13
"GP010016_fast.mp4_uca01(291, 205)","(300, 214)",14
"GP010016_fast.mp4_uca01(291, 205)","(300, 213)",15
"GP010016_fast.mp4_uca01(291, 205)","(300, 214)",16
"GP010016_fast.mp4_uca01(291, 205)","(299, 213)",17
"GP010016_fast.mp4_uca01(291, 205)","(301, 212)",18
"GP010016_fast.mp4_uca01(291, 205)","(300, 212)",19
"GP010016_fast.mp4_uca01(291, 205)","(299, 213)",20
"GP010016_fast.mp4_uca01(291, 205)","(299, 212)",21
"GP010016_fast.mp4_uca01(291, 205)","(299, 212)",22
"GP010016_fast.mp4_uca01(291, 205)","(299, 212)",23
"GP010016_fast.mp4_uca01(291, 205)","(299, 212)",24
"GP010016_fast.mp4_uca01(291, 205)","(298, 213)",25
"GP010016_fast.mp4_uca01(291, 205)","(298, 213)",26
"GP010016_fast.mp4_uca01(291, 205)","(297, 212)",27
"GP010016_fast.mp4_uca01(291, 205)","(297, 212)",28
"GP010016_fast.mp4_uca01(291, 205)","(297, 212)",29
