file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1704,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerBoosting 0x10e8d7ed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(289, 204)","(290, 204)",0
"GP010016_fast.mp4_uca01(289, 204)","(292, 205)",1
"GP010016_fast.mp4_uca01(289, 204)","(293, 206)",2
"GP010016_fast.mp4_uca01(289, 204)","(295, 210)",3
"GP010016_fast.mp4_uca01(289, 204)","(296, 211)",4
"GP010016_fast.mp4_uca01(289, 204)","(297, 212)",5
"GP010016_fast.mp4_uca01(289, 204)","(297, 213)",6
"GP010016_fast.mp4_uca01(289, 204)","(297, 212)",7
"GP010016_fast.mp4_uca01(289, 204)","(297, 213)",8
"GP010016_fast.mp4_uca01(289, 204)","(297, 213)",9
"GP010016_fast.mp4_uca01(289, 204)","(297, 213)",10
"GP010016_fast.mp4_uca01(289, 204)","(297, 213)",11
"GP010016_fast.mp4_uca01(289, 204)","(297, 213)",12
"GP010016_fast.mp4_uca01(289, 204)","(297, 213)",13
"GP010016_fast.mp4_uca01(289, 204)","(297, 213)",14
"GP010016_fast.mp4_uca01(289, 204)","(297, 212)",15
"GP010016_fast.mp4_uca01(289, 204)","(296, 212)",16
"GP010016_fast.mp4_uca01(289, 204)","(296, 212)",17
"GP010016_fast.mp4_uca01(289, 204)","(296, 212)",18
"GP010016_fast.mp4_uca01(289, 204)","(296, 212)",19
"GP010016_fast.mp4_uca01(289, 204)","(295, 212)",20
"GP010016_fast.mp4_uca01(289, 204)","(295, 212)",21
"GP010016_fast.mp4_uca01(289, 204)","(295, 212)",22
"GP010016_fast.mp4_uca01(289, 204)","(295, 211)",23
"GP010016_fast.mp4_uca01(289, 204)","(295, 211)",24
"GP010016_fast.mp4_uca01(289, 204)","(294, 212)",25
"GP010016_fast.mp4_uca01(289, 204)","(294, 212)",26
"GP010016_fast.mp4_uca01(289, 204)","(293, 210)",27
"GP010016_fast.mp4_uca01(289, 204)","(292, 211)",28
"GP010016_fast.mp4_uca01(289, 204)","(292, 212)",29
"GP010016_fast.mp4_uca01(289, 204)","(292, 210)",30
"GP010016_fast.mp4_uca01(289, 204)","(291, 211)",31
"GP010016_fast.mp4_uca01(289, 204)","(291, 211)",32
"GP010016_fast.mp4_uca01(289, 204)","(291, 212)",33
"GP010016_fast.mp4_uca01(289, 204)","(291, 213)",34
"GP010016_fast.mp4_uca01(289, 204)","(291, 212)",35
"GP010016_fast.mp4_uca01(289, 204)","(291, 212)",36
"GP010016_fast.mp4_uca01(289, 204)","(291, 211)",37
"GP010016_fast.mp4_uca01(289, 204)","(291, 212)",38
"GP010016_fast.mp4_uca01(289, 204)","(290, 215)",39
"GP010016_fast.mp4_uca01(289, 204)","(290, 215)",40
"GP010016_fast.mp4_uca01(289, 204)","(290, 214)",41
"GP010016_fast.mp4_uca01(289, 204)","(288, 214)",42
"GP010016_fast.mp4_uca01(289, 204)","(287, 214)",43
"GP010016_fast.mp4_uca01(289, 204)","(286, 214)",44
"GP010016_fast.mp4_uca01(289, 204)","(284, 214)",45
"GP010016_fast.mp4_uca01(289, 204)","(284, 213)",46
"GP010016_fast.mp4_uca01(289, 204)","(282, 214)",47
"GP010016_fast.mp4_uca01(289, 204)","(281, 213)",48
"GP010016_fast.mp4_uca01(289, 204)","(280, 214)",49
"GP010016_fast.mp4_uca01(289, 204)","(280, 213)",50
"GP010016_fast.mp4_uca01(289, 204)","(280, 213)",51
"GP010016_fast.mp4_uca01(289, 204)","(280, 213)",52
"GP010016_fast.mp4_uca01(289, 204)","(279, 212)",53
"GP010016_fast.mp4_uca01(289, 204)","(277, 211)",54
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",55
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",56
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",57
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",58
"GP010016_fast.mp4_uca01(289, 204)","(274, 213)",59
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",60
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",61
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",62
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",63
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",64
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",65
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",66
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",67
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",68
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",69
"GP010016_fast.mp4_uca01(289, 204)","(275, 213)",70
"GP010016_fast.mp4_uca01(289, 204)","(275, 213)",71
"GP010016_fast.mp4_uca01(289, 204)","(276, 212)",72
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",73
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",74
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",75
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",76
"GP010016_fast.mp4_uca01(289, 204)","(275, 212)",77
"GP010016_fast.mp4_uca01(289, 204)","(276, 212)",78
"GP010016_fast.mp4_uca01(289, 204)","(276, 212)",79
"GP010016_fast.mp4_uca01(289, 204)","(276, 212)",80
"GP010016_fast.mp4_uca01(289, 204)","(276, 212)",81
"GP010016_fast.mp4_uca01(289, 204)","(276, 212)",82
"GP010016_fast.mp4_uca01(289, 204)","(276, 212)",83
"GP010016_fast.mp4_uca01(289, 204)","(276, 212)",84
"GP010016_fast.mp4_uca01(289, 204)","(275, 213)",85
"GP010016_fast.mp4_uca01(289, 204)","(275, 213)",86
"GP010016_fast.mp4_uca01(289, 204)","(275, 213)",87
"GP010016_fast.mp4_uca01(289, 204)","(274, 214)",88
"GP010016_fast.mp4_uca01(289, 204)","(273, 214)",89
"GP010016_fast.mp4_uca01(289, 204)","(273, 214)",90
"GP010016_fast.mp4_uca01(289, 204)","(273, 214)",91
"GP010016_fast.mp4_uca01(289, 204)","(273, 214)",92
"GP010016_fast.mp4_uca01(289, 204)","(273, 214)",93
"GP010016_fast.mp4_uca01(289, 204)","(273, 214)",94
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",95
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",96
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",97
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",98
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",99
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",100
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",101
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",102
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",103
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",104
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",105
"GP010016_fast.mp4_uca01(289, 204)","(273, 215)",106
"GP010016_fast.mp4_uca01(289, 204)","(272, 215)",107
"GP010016_fast.mp4_uca01(289, 204)","(270, 215)",108
"GP010016_fast.mp4_uca01(289, 204)","(269, 216)",109
"GP010016_fast.mp4_uca01(289, 204)","(269, 216)",110
"GP010016_fast.mp4_uca01(289, 204)","(269, 217)",111
"GP010016_fast.mp4_uca01(289, 204)","(269, 217)",112
"GP010016_fast.mp4_uca01(289, 204)","(269, 217)",113
"GP010016_fast.mp4_uca01(289, 204)","(269, 218)",114
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",115
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",116
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",117
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",118
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",119
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",120
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",121
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",122
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",123
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",124
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",125
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",126
"GP010016_fast.mp4_uca01(289, 204)","(270, 219)",127
"GP010016_fast.mp4_uca01(289, 204)","(270, 219)",128
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",129
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",130
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",131
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",132
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",133
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",134
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",135
"GP010016_fast.mp4_uca01(289, 204)","(270, 218)",136
"GP010016_fast.mp4_uca01(289, 204)","(269, 219)",137
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",138
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",139
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",140
"GP010016_fast.mp4_uca01(289, 204)","(268, 219)",141
"GP010016_fast.mp4_uca01(289, 204)","(268, 219)",142
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",143
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",144
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",145
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",146
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",147
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",148
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",149
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",150
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",151
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",152
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",153
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",154
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",155
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",156
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",157
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",158
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",159
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",160
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",161
"GP010016_fast.mp4_uca01(289, 204)","(269, 219)",162
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",163
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",164
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",165
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",166
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",167
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",168
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",169
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",170
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",171
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",172
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",173
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",174
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",175
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",176
"GP010016_fast.mp4_uca01(289, 204)","(269, 220)",177
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",178
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",179
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",180
"GP010016_fast.mp4_uca01(289, 204)","(268, 220)",181
"GP010016_fast.mp4_uca01(289, 204)","(268, 221)",182
"GP010016_fast.mp4_uca01(289, 204)","(268, 221)",183
"GP010016_fast.mp4_uca01(289, 204)","(268, 221)",184
"GP010016_fast.mp4_uca01(289, 204)","(268, 221)",185
"GP010016_fast.mp4_uca01(289, 204)","(268, 221)",186
"GP010016_fast.mp4_uca01(289, 204)","(268, 221)",187
"GP010016_fast.mp4_uca01(289, 204)","(268, 221)",188
"GP010016_fast.mp4_uca01(289, 204)","(267, 221)",189
"GP010016_fast.mp4_uca01(289, 204)","(267, 221)",190
"GP010016_fast.mp4_uca01(289, 204)","(267, 221)",191
"GP010016_fast.mp4_uca01(289, 204)","(267, 221)",192
"GP010016_fast.mp4_uca01(289, 204)","(267, 222)",193
"GP010016_fast.mp4_uca01(289, 204)","(267, 222)",194
"GP010016_fast.mp4_uca01(289, 204)","(267, 222)",195
"GP010016_fast.mp4_uca01(289, 204)","(267, 222)",196
"GP010016_fast.mp4_uca01(289, 204)","(267, 222)",197
"GP010016_fast.mp4_uca01(289, 204)","(267, 222)",198
"GP010016_fast.mp4_uca01(289, 204)","(267, 222)",199
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",200
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",201
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",202
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",203
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",204
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",205
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",206
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",207
"GP010016_fast.mp4_uca01(289, 204)","(267, 222)",208
"GP010016_fast.mp4_uca01(289, 204)","(267, 222)",209
"GP010016_fast.mp4_uca01(289, 204)","(267, 222)",210
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",211
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",212
"GP010016_fast.mp4_uca01(289, 204)","(268, 222)",213
