file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1711,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerBoosting 0x1199c1ed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(290, 205)","(292, 205)",0
"GP010016_fast.mp4_uca01(290, 205)","(294, 206)",1
"GP010016_fast.mp4_uca01(290, 205)","(295, 206)",2
"GP010016_fast.mp4_uca01(290, 205)","(297, 210)",3
"GP010016_fast.mp4_uca01(290, 205)","(298, 212)",4
"GP010016_fast.mp4_uca01(290, 205)","(298, 213)",5
"GP010016_fast.mp4_uca01(290, 205)","(298, 213)",6
"GP010016_fast.mp4_uca01(290, 205)","(298, 213)",7
"GP010016_fast.mp4_uca01(290, 205)","(298, 213)",8
"GP010016_fast.mp4_uca01(290, 205)","(298, 213)",9
"GP010016_fast.mp4_uca01(290, 205)","(298, 213)",10
"GP010016_fast.mp4_uca01(290, 205)","(298, 213)",11
"GP010016_fast.mp4_uca01(290, 205)","(298, 213)",12
"GP010016_fast.mp4_uca01(290, 205)","(298, 212)",13
"GP010016_fast.mp4_uca01(290, 205)","(298, 213)",14
"GP010016_fast.mp4_uca01(290, 205)","(298, 212)",15
"GP010016_fast.mp4_uca01(290, 205)","(297, 213)",16
"GP010016_fast.mp4_uca01(290, 205)","(297, 212)",17
"GP010016_fast.mp4_uca01(290, 205)","(297, 212)",18
"GP010016_fast.mp4_uca01(290, 205)","(297, 212)",19
"GP010016_fast.mp4_uca01(290, 205)","(296, 212)",20
"GP010016_fast.mp4_uca01(290, 205)","(296, 212)",21
"GP010016_fast.mp4_uca01(290, 205)","(296, 212)",22
"GP010016_fast.mp4_uca01(290, 205)","(296, 212)",23
"GP010016_fast.mp4_uca01(290, 205)","(296, 212)",24
"GP010016_fast.mp4_uca01(290, 205)","(296, 212)",25
"GP010016_fast.mp4_uca01(290, 205)","(295, 212)",26
"GP010016_fast.mp4_uca01(290, 205)","(294, 212)",27
"GP010016_fast.mp4_uca01(290, 205)","(294, 212)",28
"GP010016_fast.mp4_uca01(290, 205)","(294, 212)",29
"GP010016_fast.mp4_uca01(290, 205)","(293, 212)",30
"GP010016_fast.mp4_uca01(290, 205)","(291, 213)",31
"GP010016_fast.mp4_uca01(290, 205)","(292, 213)",32
"GP010016_fast.mp4_uca01(290, 205)","(292, 213)",33
"GP010016_fast.mp4_uca01(290, 205)","(292, 213)",34
"GP010016_fast.mp4_uca01(290, 205)","(292, 213)",35
"GP010016_fast.mp4_uca01(290, 205)","(291, 214)",36
"GP010016_fast.mp4_uca01(290, 205)","(292, 213)",37
"GP010016_fast.mp4_uca01(290, 205)","(291, 214)",38
"GP010016_fast.mp4_uca01(290, 205)","(291, 214)",39
"GP010016_fast.mp4_uca01(290, 205)","(291, 214)",40
"GP010016_fast.mp4_uca01(290, 205)","(290, 215)",41
"GP010016_fast.mp4_uca01(290, 205)","(289, 214)",42
"GP010016_fast.mp4_uca01(290, 205)","(288, 214)",43
"GP010016_fast.mp4_uca01(290, 205)","(286, 215)",44
"GP010016_fast.mp4_uca01(290, 205)","(285, 214)",45
"GP010016_fast.mp4_uca01(290, 205)","(285, 214)",46
"GP010016_fast.mp4_uca01(290, 205)","(283, 215)",47
"GP010016_fast.mp4_uca01(290, 205)","(282, 214)",48
"GP010016_fast.mp4_uca01(290, 205)","(281, 214)",49
"GP010016_fast.mp4_uca01(290, 205)","(281, 213)",50
"GP010016_fast.mp4_uca01(290, 205)","(280, 214)",51
"GP010016_fast.mp4_uca01(290, 205)","(281, 213)",52
"GP010016_fast.mp4_uca01(290, 205)","(280, 213)",53
"GP010016_fast.mp4_uca01(290, 205)","(278, 212)",54
"GP010016_fast.mp4_uca01(290, 205)","(276, 212)",55
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",56
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",57
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",58
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",59
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",60
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",61
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",62
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",63
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",64
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",65
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",66
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",67
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",68
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",69
"GP010016_fast.mp4_uca01(290, 205)","(275, 213)",70
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",71
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",72
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",73
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",74
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",75
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",76
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",77
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",78
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",79
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",80
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",81
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",82
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",83
"GP010016_fast.mp4_uca01(290, 205)","(276, 213)",84
"GP010016_fast.mp4_uca01(290, 205)","(276, 214)",85
"GP010016_fast.mp4_uca01(290, 205)","(275, 214)",86
"GP010016_fast.mp4_uca01(290, 205)","(275, 214)",87
"GP010016_fast.mp4_uca01(290, 205)","(275, 215)",88
"GP010016_fast.mp4_uca01(290, 205)","(274, 215)",89
"GP010016_fast.mp4_uca01(290, 205)","(274, 215)",90
"GP010016_fast.mp4_uca01(290, 205)","(274, 215)",91
"GP010016_fast.mp4_uca01(290, 205)","(274, 215)",92
"GP010016_fast.mp4_uca01(290, 205)","(274, 215)",93
"GP010016_fast.mp4_uca01(290, 205)","(274, 215)",94
"GP010016_fast.mp4_uca01(290, 205)","(274, 215)",95
"GP010016_fast.mp4_uca01(290, 205)","(274, 215)",96
"GP010016_fast.mp4_uca01(290, 205)","(273, 215)",97
"GP010016_fast.mp4_uca01(290, 205)","(273, 216)",98
"GP010016_fast.mp4_uca01(290, 205)","(273, 216)",99
"GP010016_fast.mp4_uca01(290, 205)","(273, 216)",100
"GP010016_fast.mp4_uca01(290, 205)","(273, 216)",101
"GP010016_fast.mp4_uca01(290, 205)","(273, 216)",102
"GP010016_fast.mp4_uca01(290, 205)","(273, 216)",103
"GP010016_fast.mp4_uca01(290, 205)","(273, 216)",104
"GP010016_fast.mp4_uca01(290, 205)","(273, 216)",105
"GP010016_fast.mp4_uca01(290, 205)","(273, 216)",106
"GP010016_fast.mp4_uca01(290, 205)","(272, 216)",107
"GP010016_fast.mp4_uca01(290, 205)","(270, 216)",108
"GP010016_fast.mp4_uca01(290, 205)","(270, 216)",109
"GP010016_fast.mp4_uca01(290, 205)","(269, 217)",110
"GP010016_fast.mp4_uca01(290, 205)","(269, 217)",111
"GP010016_fast.mp4_uca01(290, 205)","(270, 218)",112
"GP010016_fast.mp4_uca01(290, 205)","(270, 218)",113
"GP010016_fast.mp4_uca01(290, 205)","(270, 218)",114
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",115
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",116
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",117
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",118
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",119
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",120
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",121
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",122
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",123
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",124
"GP010016_fast.mp4_uca01(290, 205)","(270, 219)",125
"GP010016_fast.mp4_uca01(290, 205)","(271, 219)",126
"GP010016_fast.mp4_uca01(290, 205)","(270, 220)",127
"GP010016_fast.mp4_uca01(290, 205)","(270, 220)",128
"GP010016_fast.mp4_uca01(290, 205)","(271, 219)",129
"GP010016_fast.mp4_uca01(290, 205)","(271, 219)",130
"GP010016_fast.mp4_uca01(290, 205)","(271, 219)",131
