file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1713,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerBoosting 0x11042aed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(291, 204)","(292, 204)",0
"GP010016_fast.mp4_uca01(291, 204)","(294, 206)",1
"GP010016_fast.mp4_uca01(291, 204)","(295, 206)",2
"GP010016_fast.mp4_uca01(291, 204)","(297, 209)",3
"GP010016_fast.mp4_uca01(291, 204)","(298, 211)",4
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",5
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",6
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",7
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",8
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",9
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",10
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",11
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",12
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",13
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",14
"GP010016_fast.mp4_uca01(291, 204)","(298, 212)",15
"GP010016_fast.mp4_uca01(291, 204)","(298, 211)",16
"GP010016_fast.mp4_uca01(291, 204)","(298, 212)",17
"GP010016_fast.mp4_uca01(291, 204)","(298, 212)",18
"GP010016_fast.mp4_uca01(291, 204)","(297, 212)",19
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",20
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",21
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",22
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",23
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",24
"GP010016_fast.mp4_uca01(291, 204)","(296, 212)",25
"GP010016_fast.mp4_uca01(291, 204)","(296, 212)",26
"GP010016_fast.mp4_uca01(291, 204)","(294, 211)",27
"GP010016_fast.mp4_uca01(291, 204)","(295, 211)",28
"GP010016_fast.mp4_uca01(291, 204)","(294, 211)",29
"GP010016_fast.mp4_uca01(291, 204)","(294, 211)",30
"GP010016_fast.mp4_uca01(291, 204)","(292, 212)",31
"GP010016_fast.mp4_uca01(291, 204)","(293, 212)",32
"GP010016_fast.mp4_uca01(291, 204)","(293, 212)",33
"GP010016_fast.mp4_uca01(291, 204)","(293, 212)",34
"GP010016_fast.mp4_uca01(291, 204)","(293, 212)",35
"GP010016_fast.mp4_uca01(291, 204)","(292, 213)",36
"GP010016_fast.mp4_uca01(291, 204)","(293, 212)",37
"GP010016_fast.mp4_uca01(291, 204)","(292, 213)",38
"GP010016_fast.mp4_uca01(291, 204)","(292, 213)",39
"GP010016_fast.mp4_uca01(291, 204)","(292, 213)",40
"GP010016_fast.mp4_uca01(291, 204)","(291, 213)",41
"GP010016_fast.mp4_uca01(291, 204)","(290, 213)",42
"GP010016_fast.mp4_uca01(291, 204)","(289, 213)",43
"GP010016_fast.mp4_uca01(291, 204)","(287, 213)",44
"GP010016_fast.mp4_uca01(291, 204)","(286, 213)",45
"GP010016_fast.mp4_uca01(291, 204)","(286, 213)",46
"GP010016_fast.mp4_uca01(291, 204)","(285, 213)",47
"GP010016_fast.mp4_uca01(291, 204)","(283, 213)",48
"GP010016_fast.mp4_uca01(291, 204)","(282, 213)",49
"GP010016_fast.mp4_uca01(291, 204)","(281, 213)",50
"GP010016_fast.mp4_uca01(291, 204)","(281, 213)",51
"GP010016_fast.mp4_uca01(291, 204)","(281, 213)",52
"GP010016_fast.mp4_uca01(291, 204)","(280, 213)",53
"GP010016_fast.mp4_uca01(291, 204)","(279, 212)",54
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",55
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",56
"GP010016_fast.mp4_uca01(291, 204)","(276, 212)",57
"GP010016_fast.mp4_uca01(291, 204)","(276, 212)",58
"GP010016_fast.mp4_uca01(291, 204)","(276, 212)",59
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",60
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",61
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",62
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",63
"GP010016_fast.mp4_uca01(291, 204)","(276, 212)",64
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",65
"GP010016_fast.mp4_uca01(291, 204)","(276, 212)",66
"GP010016_fast.mp4_uca01(291, 204)","(276, 212)",67
"GP010016_fast.mp4_uca01(291, 204)","(276, 212)",68
"GP010016_fast.mp4_uca01(291, 204)","(276, 212)",69
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",70
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",71
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",72
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",73
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",74
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",75
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",76
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",77
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",78
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",79
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",80
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",81
