file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1715,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerBoosting 0x114cdfed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(291, 204)","(293, 204)",0
"GP010016_fast.mp4_uca01(291, 204)","(294, 205)",1
"GP010016_fast.mp4_uca01(291, 204)","(295, 205)",2
"GP010016_fast.mp4_uca01(291, 204)","(297, 209)",3
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",4
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",5
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",6
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",7
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",8
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",9
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",10
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",11
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",12
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",13
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",14
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",15
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",16
"GP010016_fast.mp4_uca01(291, 204)","(298, 211)",17
"GP010016_fast.mp4_uca01(291, 204)","(298, 211)",18
"GP010016_fast.mp4_uca01(291, 204)","(298, 211)",19
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",20
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",21
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",22
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",23
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",24
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",25
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",26
"GP010016_fast.mp4_uca01(291, 204)","(295, 211)",27
"GP010016_fast.mp4_uca01(291, 204)","(295, 211)",28
"GP010016_fast.mp4_uca01(291, 204)","(295, 210)",29
"GP010016_fast.mp4_uca01(291, 204)","(294, 210)",30
"GP010016_fast.mp4_uca01(291, 204)","(293, 211)",31
"GP010016_fast.mp4_uca01(291, 204)","(293, 211)",32
"GP010016_fast.mp4_uca01(291, 204)","(293, 212)",33
"GP010016_fast.mp4_uca01(291, 204)","(293, 211)",34
"GP010016_fast.mp4_uca01(291, 204)","(293, 211)",35
"GP010016_fast.mp4_uca01(291, 204)","(293, 212)",36
"GP010016_fast.mp4_uca01(291, 204)","(293, 211)",37
"GP010016_fast.mp4_uca01(291, 204)","(293, 212)",38
"GP010016_fast.mp4_uca01(291, 204)","(293, 212)",39
"GP010016_fast.mp4_uca01(291, 204)","(293, 212)",40
"GP010016_fast.mp4_uca01(291, 204)","(292, 212)",41
"GP010016_fast.mp4_uca01(291, 204)","(290, 212)",42
"GP010016_fast.mp4_uca01(291, 204)","(289, 212)",43
"GP010016_fast.mp4_uca01(291, 204)","(288, 213)",44
"GP010016_fast.mp4_uca01(291, 204)","(287, 213)",45
"GP010016_fast.mp4_uca01(291, 204)","(286, 213)",46
"GP010016_fast.mp4_uca01(291, 204)","(285, 213)",47
"GP010016_fast.mp4_uca01(291, 204)","(284, 211)",48
"GP010016_fast.mp4_uca01(291, 204)","(283, 212)",49
"GP010016_fast.mp4_uca01(291, 204)","(283, 212)",50
"GP010016_fast.mp4_uca01(291, 204)","(283, 212)",51
"GP010016_fast.mp4_uca01(291, 204)","(283, 212)",52
"GP010016_fast.mp4_uca01(291, 204)","(281, 212)",53
"GP010016_fast.mp4_uca01(291, 204)","(279, 211)",54
"GP010016_fast.mp4_uca01(291, 204)","(278, 211)",55
"GP010016_fast.mp4_uca01(291, 204)","(277, 211)",56
"GP010016_fast.mp4_uca01(291, 204)","(277, 211)",57
"GP010016_fast.mp4_uca01(291, 204)","(277, 211)",58
"GP010016_fast.mp4_uca01(291, 204)","(277, 211)",59
"GP010016_fast.mp4_uca01(291, 204)","(277, 211)",60
"GP010016_fast.mp4_uca01(291, 204)","(277, 211)",61
"GP010016_fast.mp4_uca01(291, 204)","(277, 211)",62
"GP010016_fast.mp4_uca01(291, 204)","(277, 211)",63
"GP010016_fast.mp4_uca01(291, 204)","(277, 211)",64
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",65
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",66
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",67
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",68
