file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1719,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerBoosting 0x11946ced0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(292, 203)","(294, 203)",0
"GP010016_fast.mp4_uca01(292, 203)","(295, 204)",1
"GP010016_fast.mp4_uca01(292, 203)","(296, 205)",2
"GP010016_fast.mp4_uca01(292, 203)","(298, 208)",3
"GP010016_fast.mp4_uca01(292, 203)","(299, 210)",4
"GP010016_fast.mp4_uca01(292, 203)","(300, 211)",5
"GP010016_fast.mp4_uca01(292, 203)","(300, 211)",6
"GP010016_fast.mp4_uca01(292, 203)","(300, 211)",7
"GP010016_fast.mp4_uca01(292, 203)","(300, 211)",8
"GP010016_fast.mp4_uca01(292, 203)","(300, 211)",9
"GP010016_fast.mp4_uca01(292, 203)","(300, 211)",10
"GP010016_fast.mp4_uca01(292, 203)","(300, 211)",11
"GP010016_fast.mp4_uca01(292, 203)","(300, 211)",12
"GP010016_fast.mp4_uca01(292, 203)","(300, 211)",13
"GP010016_fast.mp4_uca01(292, 203)","(300, 211)",14
"GP010016_fast.mp4_uca01(292, 203)","(299, 211)",15
"GP010016_fast.mp4_uca01(292, 203)","(299, 211)",16
"GP010016_fast.mp4_uca01(292, 203)","(299, 211)",17
"GP010016_fast.mp4_uca01(292, 203)","(299, 211)",18
"GP010016_fast.mp4_uca01(292, 203)","(299, 210)",19
"GP010016_fast.mp4_uca01(292, 203)","(298, 210)",20
"GP010016_fast.mp4_uca01(292, 203)","(298, 210)",21
"GP010016_fast.mp4_uca01(292, 203)","(298, 210)",22
"GP010016_fast.mp4_uca01(292, 203)","(298, 210)",23
"GP010016_fast.mp4_uca01(292, 203)","(298, 210)",24
"GP010016_fast.mp4_uca01(292, 203)","(297, 210)",25
"GP010016_fast.mp4_uca01(292, 203)","(297, 210)",26
"GP010016_fast.mp4_uca01(292, 203)","(296, 210)",27
"GP010016_fast.mp4_uca01(292, 203)","(296, 210)",28
"GP010016_fast.mp4_uca01(292, 203)","(296, 210)",29
"GP010016_fast.mp4_uca01(292, 203)","(295, 210)",30
