file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1723,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x111ae2ed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(291, 205)","(293, 207)",0
"GP010016_fast.mp4_uca01(291, 205)","(295, 206)",1
"GP010016_fast.mp4_uca01(291, 205)","(297, 207)",2
"GP010016_fast.mp4_uca01(291, 205)","(298, 210)",3
"GP010016_fast.mp4_uca01(291, 205)","(299, 212)",4
"GP010016_fast.mp4_uca01(291, 205)","(300, 213)",5
"GP010016_fast.mp4_uca01(291, 205)","(300, 214)",6
"GP010016_fast.mp4_uca01(291, 205)","(300, 213)",7
"GP010016_fast.mp4_uca01(291, 205)","(300, 214)",8
"GP010016_fast.mp4_uca01(291, 205)","(301, 213)",9
"GP010016_fast.mp4_uca01(291, 205)","(300, 213)",10
"GP010016_fast.mp4_uca01(291, 205)","(300, 214)",11
"GP010016_fast.mp4_uca01(291, 205)","(300, 213)",12
"GP010016_fast.mp4_uca01(291, 205)","(300, 213)",13
"GP010016_fast.mp4_uca01(291, 205)","(300, 213)",14
"GP010016_fast.mp4_uca01(291, 205)","(301, 213)",15
"GP010016_fast.mp4_uca01(291, 205)","(300, 213)",16
"GP010016_fast.mp4_uca01(291, 205)","(299, 213)",17
"GP010016_fast.mp4_uca01(291, 205)","(299, 213)",18
"GP010016_fast.mp4_uca01(291, 205)","(299, 213)",19
"GP010016_fast.mp4_uca01(291, 205)","(298, 212)",20
"GP010016_fast.mp4_uca01(291, 205)","(298, 213)",21
"GP010016_fast.mp4_uca01(291, 205)","(299, 212)",22
"GP010016_fast.mp4_uca01(291, 205)","(298, 213)",23
"GP010016_fast.mp4_uca01(291, 205)","(298, 213)",24
"GP010016_fast.mp4_uca01(291, 205)","(297, 213)",25
"GP010016_fast.mp4_uca01(291, 205)","(297, 213)",26
"GP010016_fast.mp4_uca01(291, 205)","(296, 213)",27
"GP010016_fast.mp4_uca01(291, 205)","(296, 213)",28
"GP010016_fast.mp4_uca01(291, 205)","(296, 213)",29
"GP010016_fast.mp4_uca01(291, 205)","(295, 214)",30
"GP010016_fast.mp4_uca01(291, 205)","(295, 214)",31
"GP010016_fast.mp4_uca01(291, 205)","(294, 214)",32
"GP010016_fast.mp4_uca01(291, 205)","(295, 215)",33
"GP010016_fast.mp4_uca01(291, 205)","(295, 214)",34
"GP010016_fast.mp4_uca01(291, 205)","(294, 215)",35
"GP010016_fast.mp4_uca01(291, 205)","(294, 215)",36
"GP010016_fast.mp4_uca01(291, 205)","(294, 215)",37
"GP010016_fast.mp4_uca01(291, 205)","(294, 215)",38
"GP010016_fast.mp4_uca01(291, 205)","(294, 215)",39
"GP010016_fast.mp4_uca01(291, 205)","(294, 215)",40
"GP010016_fast.mp4_uca01(291, 205)","(292, 216)",41
"GP010016_fast.mp4_uca01(291, 205)","(291, 215)",42
"GP010016_fast.mp4_uca01(291, 205)","(290, 215)",43
"GP010016_fast.mp4_uca01(291, 205)","(288, 216)",44
"GP010016_fast.mp4_uca01(291, 205)","(286, 216)",45
"GP010016_fast.mp4_uca01(291, 205)","(287, 215)",46
"GP010016_fast.mp4_uca01(291, 205)","(285, 216)",47
"GP010016_fast.mp4_uca01(291, 205)","(284, 215)",48
"GP010016_fast.mp4_uca01(291, 205)","(282, 215)",49
"GP010016_fast.mp4_uca01(291, 205)","(282, 215)",50
"GP010016_fast.mp4_uca01(291, 205)","(281, 215)",51
"GP010016_fast.mp4_uca01(291, 205)","(282, 215)",52
"GP010016_fast.mp4_uca01(291, 205)","(281, 215)",53
"GP010016_fast.mp4_uca01(291, 205)","(280, 214)",54
"GP010016_fast.mp4_uca01(291, 205)","(278, 213)",55
"GP010016_fast.mp4_uca01(291, 205)","(279, 213)",56
"GP010016_fast.mp4_uca01(291, 205)","(277, 214)",57
"GP010016_fast.mp4_uca01(291, 205)","(278, 214)",58
"GP010016_fast.mp4_uca01(291, 205)","(277, 214)",59
"GP010016_fast.mp4_uca01(291, 205)","(278, 214)",60
"GP010016_fast.mp4_uca01(291, 205)","(278, 214)",61
"GP010016_fast.mp4_uca01(291, 205)","(280, 214)",62
"GP010016_fast.mp4_uca01(291, 205)","(278, 214)",63
"GP010016_fast.mp4_uca01(291, 205)","(278, 214)",64
"GP010016_fast.mp4_uca01(291, 205)","(277, 214)",65
"GP010016_fast.mp4_uca01(291, 205)","(278, 214)",66
"GP010016_fast.mp4_uca01(291, 205)","(276, 213)",67
"GP010016_fast.mp4_uca01(291, 205)","(277, 214)",68
"GP010016_fast.mp4_uca01(291, 205)","(277, 214)",69
"GP010016_fast.mp4_uca01(291, 205)","(278, 215)",70
"GP010016_fast.mp4_uca01(291, 205)","(280, 214)",71
"GP010016_fast.mp4_uca01(291, 205)","(278, 215)",72
"GP010016_fast.mp4_uca01(291, 205)","(279, 214)",73
"GP010016_fast.mp4_uca01(291, 205)","(281, 214)",74
"GP010016_fast.mp4_uca01(291, 205)","(278, 215)",75
"GP010016_fast.mp4_uca01(291, 205)","(278, 214)",76
"GP010016_fast.mp4_uca01(291, 205)","(278, 215)",77
"GP010016_fast.mp4_uca01(291, 205)","(280, 214)",78
"GP010016_fast.mp4_uca01(291, 205)","(278, 215)",79
"GP010016_fast.mp4_uca01(291, 205)","(278, 214)",80
"GP010016_fast.mp4_uca01(291, 205)","(279, 214)",81
"GP010016_fast.mp4_uca01(291, 205)","(278, 215)",82
"GP010016_fast.mp4_uca01(291, 205)","(279, 215)",83
"GP010016_fast.mp4_uca01(291, 205)","(279, 215)",84
"GP010016_fast.mp4_uca01(291, 205)","(278, 215)",85
"GP010016_fast.mp4_uca01(291, 205)","(278, 215)",86
