file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1728,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10ca6bed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(290, 203)","(291, 202)",0
"GP010016_fast.mp4_uca01(290, 203)","(294, 204)",1
"GP010016_fast.mp4_uca01(290, 203)","(295, 205)",2
"GP010016_fast.mp4_uca01(290, 203)","(297, 207)",3
"GP010016_fast.mp4_uca01(290, 203)","(298, 209)",4
"GP010016_fast.mp4_uca01(290, 203)","(299, 210)",5
"GP010016_fast.mp4_uca01(290, 203)","(299, 211)",6
"GP010016_fast.mp4_uca01(290, 203)","(299, 210)",7
"GP010016_fast.mp4_uca01(290, 203)","(299, 212)",8
"GP010016_fast.mp4_uca01(290, 203)","(299, 211)",9
"GP010016_fast.mp4_uca01(290, 203)","(299, 211)",10
"GP010016_fast.mp4_uca01(290, 203)","(299, 210)",11
"GP010016_fast.mp4_uca01(290, 203)","(299, 210)",12
"GP010016_fast.mp4_uca01(290, 203)","(299, 211)",13
"GP010016_fast.mp4_uca01(290, 203)","(299, 210)",14
"GP010016_fast.mp4_uca01(290, 203)","(299, 211)",15
"GP010016_fast.mp4_uca01(290, 203)","(299, 211)",16
"GP010016_fast.mp4_uca01(290, 203)","(300, 209)",17
"GP010016_fast.mp4_uca01(290, 203)","(298, 211)",18
"GP010016_fast.mp4_uca01(290, 203)","(299, 212)",19
"GP010016_fast.mp4_uca01(290, 203)","(298, 212)",20
"GP010016_fast.mp4_uca01(290, 203)","(298, 211)",21
"GP010016_fast.mp4_uca01(290, 203)","(298, 212)",22
"GP010016_fast.mp4_uca01(290, 203)","(298, 212)",23
"GP010016_fast.mp4_uca01(290, 203)","(298, 209)",24
"GP010016_fast.mp4_uca01(290, 203)","(297, 212)",25
"GP010016_fast.mp4_uca01(290, 203)","(297, 211)",26
"GP010016_fast.mp4_uca01(290, 203)","(296, 212)",27
"GP010016_fast.mp4_uca01(290, 203)","(296, 212)",28
"GP010016_fast.mp4_uca01(290, 203)","(296, 213)",29
"GP010016_fast.mp4_uca01(290, 203)","(295, 214)",30
"GP010016_fast.mp4_uca01(290, 203)","(294, 213)",31
"GP010016_fast.mp4_uca01(290, 203)","(293, 214)",32
"GP010016_fast.mp4_uca01(290, 203)","(294, 214)",33
"GP010016_fast.mp4_uca01(290, 203)","(294, 214)",34
"GP010016_fast.mp4_uca01(290, 203)","(294, 214)",35
"GP010016_fast.mp4_uca01(290, 203)","(294, 214)",36
"GP010016_fast.mp4_uca01(290, 203)","(294, 214)",37
"GP010016_fast.mp4_uca01(290, 203)","(294, 215)",38
"GP010016_fast.mp4_uca01(290, 203)","(294, 215)",39
"GP010016_fast.mp4_uca01(290, 203)","(293, 215)",40
"GP010016_fast.mp4_uca01(290, 203)","(296, 217)",41
"GP010016_fast.mp4_uca01(290, 203)","(290, 214)",42
"GP010016_fast.mp4_uca01(290, 203)","(290, 215)",43
"GP010016_fast.mp4_uca01(290, 203)","(288, 217)",44
"GP010016_fast.mp4_uca01(290, 203)","(287, 217)",45
"GP010016_fast.mp4_uca01(290, 203)","(286, 215)",46
"GP010016_fast.mp4_uca01(290, 203)","(284, 217)",47
"GP010016_fast.mp4_uca01(290, 203)","(281, 216)",48
"GP010016_fast.mp4_uca01(290, 203)","(283, 216)",49
"GP010016_fast.mp4_uca01(290, 203)","(282, 216)",50
"GP010016_fast.mp4_uca01(290, 203)","(282, 216)",51
"GP010016_fast.mp4_uca01(290, 203)","(281, 217)",52
"GP010016_fast.mp4_uca01(290, 203)","(281, 215)",53
"GP010016_fast.mp4_uca01(290, 203)","(280, 215)",54
"GP010016_fast.mp4_uca01(290, 203)","(278, 216)",55
"GP010016_fast.mp4_uca01(290, 203)","(279, 217)",56
"GP010016_fast.mp4_uca01(290, 203)","(278, 215)",57
"GP010016_fast.mp4_uca01(290, 203)","(278, 214)",58
"GP010016_fast.mp4_uca01(290, 203)","(279, 216)",59
"GP010016_fast.mp4_uca01(290, 203)","(279, 217)",60
"GP010016_fast.mp4_uca01(290, 203)","(278, 216)",61
"GP010016_fast.mp4_uca01(290, 203)","(279, 217)",62
"GP010016_fast.mp4_uca01(290, 203)","(278, 216)",63
"GP010016_fast.mp4_uca01(290, 203)","(278, 217)",64
"GP010016_fast.mp4_uca01(290, 203)","(278, 217)",65
"GP010016_fast.mp4_uca01(290, 203)","(281, 216)",66
"GP010016_fast.mp4_uca01(290, 203)","(279, 217)",67
"GP010016_fast.mp4_uca01(290, 203)","(278, 217)",68
"GP010016_fast.mp4_uca01(290, 203)","(278, 217)",69
"GP010016_fast.mp4_uca01(290, 203)","(281, 217)",70
"GP010016_fast.mp4_uca01(290, 203)","(278, 216)",71
"GP010016_fast.mp4_uca01(290, 203)","(281, 217)",72
"GP010016_fast.mp4_uca01(290, 203)","(281, 217)",73
"GP010016_fast.mp4_uca01(290, 203)","(278, 217)",74
"GP010016_fast.mp4_uca01(290, 203)","(279, 217)",75
"GP010016_fast.mp4_uca01(290, 203)","(277, 216)",76
"GP010016_fast.mp4_uca01(290, 203)","(278, 216)",77
"GP010016_fast.mp4_uca01(290, 203)","(279, 217)",78
"GP010016_fast.mp4_uca01(290, 203)","(281, 216)",79
"GP010016_fast.mp4_uca01(290, 203)","(279, 217)",80
"GP010016_fast.mp4_uca01(290, 203)","(279, 216)",81
"GP010016_fast.mp4_uca01(290, 203)","(282, 217)",82
"GP010016_fast.mp4_uca01(290, 203)","(282, 216)",83
"GP010016_fast.mp4_uca01(290, 203)","(282, 217)",84
"GP010016_fast.mp4_uca01(290, 203)","(279, 217)",85
"GP010016_fast.mp4_uca01(290, 203)","(281, 217)",86
"GP010016_fast.mp4_uca01(290, 203)","(279, 218)",87
"GP010016_fast.mp4_uca01(290, 203)","(280, 218)",88
"GP010016_fast.mp4_uca01(290, 203)","(279, 218)",89
"GP010016_fast.mp4_uca01(290, 203)","(279, 218)",90
"GP010016_fast.mp4_uca01(290, 203)","(280, 218)",91
"GP010016_fast.mp4_uca01(290, 203)","(280, 219)",92
"GP010016_fast.mp4_uca01(290, 203)","(280, 219)",93
"GP010016_fast.mp4_uca01(290, 203)","(280, 219)",94
"GP010016_fast.mp4_uca01(290, 203)","(279, 219)",95
"GP010016_fast.mp4_uca01(290, 203)","(279, 219)",96
"GP010016_fast.mp4_uca01(290, 203)","(280, 219)",97
"GP010016_fast.mp4_uca01(290, 203)","(279, 219)",98
"GP010016_fast.mp4_uca01(290, 203)","(279, 219)",99
"GP010016_fast.mp4_uca01(290, 203)","(279, 219)",100
"GP010016_fast.mp4_uca01(290, 203)","(279, 219)",101
"GP010016_fast.mp4_uca01(290, 203)","(279, 219)",102
"GP010016_fast.mp4_uca01(290, 203)","(279, 219)",103
"GP010016_fast.mp4_uca01(290, 203)","(279, 219)",104
"GP010016_fast.mp4_uca01(290, 203)","(279, 219)",105
"GP010016_fast.mp4_uca01(290, 203)","(280, 220)",106
"GP010016_fast.mp4_uca01(290, 203)","(278, 219)",107
"GP010016_fast.mp4_uca01(290, 203)","(276, 220)",108
"GP010016_fast.mp4_uca01(290, 203)","(276, 220)",109
