file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1731,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11466eed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(291, 205)","(293, 204)",0
"GP010016_fast.mp4_uca01(291, 205)","(294, 205)",1
"GP010016_fast.mp4_uca01(291, 205)","(295, 207)",2
"GP010016_fast.mp4_uca01(291, 205)","(299, 208)",3
"GP010016_fast.mp4_uca01(291, 205)","(299, 210)",4
"GP010016_fast.mp4_uca01(291, 205)","(299, 211)",5
"GP010016_fast.mp4_uca01(291, 205)","(299, 211)",6
"GP010016_fast.mp4_uca01(291, 205)","(300, 210)",7
"GP010016_fast.mp4_uca01(291, 205)","(300, 210)",8
"GP010016_fast.mp4_uca01(291, 205)","(300, 209)",9
"GP010016_fast.mp4_uca01(291, 205)","(300, 211)",10
"GP010016_fast.mp4_uca01(291, 205)","(300, 209)",11
"GP010016_fast.mp4_uca01(291, 205)","(300, 209)",12
"GP010016_fast.mp4_uca01(291, 205)","(300, 208)",13
"GP010016_fast.mp4_uca01(291, 205)","(300, 208)",14
"GP010016_fast.mp4_uca01(291, 205)","(300, 208)",15
"GP010016_fast.mp4_uca01(291, 205)","(300, 208)",16
"GP010016_fast.mp4_uca01(291, 205)","(299, 207)",17
"GP010016_fast.mp4_uca01(291, 205)","(299, 207)",18
"GP010016_fast.mp4_uca01(291, 205)","(300, 209)",19
"GP010016_fast.mp4_uca01(291, 205)","(298, 207)",20
"GP010016_fast.mp4_uca01(291, 205)","(299, 207)",21
"GP010016_fast.mp4_uca01(291, 205)","(298, 205)",22
"GP010016_fast.mp4_uca01(291, 205)","(298, 205)",23
"GP010016_fast.mp4_uca01(291, 205)","(298, 205)",24
"GP010016_fast.mp4_uca01(291, 205)","(298, 207)",25
"GP010016_fast.mp4_uca01(291, 205)","(297, 205)",26
"GP010016_fast.mp4_uca01(291, 205)","(296, 205)",27
"GP010016_fast.mp4_uca01(291, 205)","(296, 207)",28
"GP010016_fast.mp4_uca01(291, 205)","(296, 205)",29
"GP010016_fast.mp4_uca01(291, 205)","(295, 205)",30
"GP010016_fast.mp4_uca01(291, 205)","(294, 205)",31
"GP010016_fast.mp4_uca01(291, 205)","(294, 206)",32
"GP010016_fast.mp4_uca01(291, 205)","(294, 205)",33
"GP010016_fast.mp4_uca01(291, 205)","(294, 205)",34
"GP010016_fast.mp4_uca01(291, 205)","(294, 206)",35
"GP010016_fast.mp4_uca01(291, 205)","(294, 207)",36
"GP010016_fast.mp4_uca01(291, 205)","(294, 206)",37
"GP010016_fast.mp4_uca01(291, 205)","(294, 206)",38
"GP010016_fast.mp4_uca01(291, 205)","(293, 206)",39
"GP010016_fast.mp4_uca01(291, 205)","(293, 206)",40
"GP010016_fast.mp4_uca01(291, 205)","(292, 206)",41
"GP010016_fast.mp4_uca01(291, 205)","(291, 208)",42
"GP010016_fast.mp4_uca01(291, 205)","(290, 208)",43
"GP010016_fast.mp4_uca01(291, 205)","(288, 207)",44
"GP010016_fast.mp4_uca01(291, 205)","(287, 207)",45
"GP010016_fast.mp4_uca01(291, 205)","(286, 207)",46
"GP010016_fast.mp4_uca01(291, 205)","(285, 208)",47
