file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1733,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10de1eed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(291, 204)","(293, 205)",0
"GP010016_fast.mp4_uca01(291, 204)","(294, 206)",1
"GP010016_fast.mp4_uca01(291, 204)","(295, 206)",2
"GP010016_fast.mp4_uca01(291, 204)","(297, 209)",3
"GP010016_fast.mp4_uca01(291, 204)","(298, 211)",4
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",5
"GP010016_fast.mp4_uca01(291, 204)","(299, 213)",6
"GP010016_fast.mp4_uca01(291, 204)","(299, 213)",7
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",8
"GP010016_fast.mp4_uca01(291, 204)","(300, 212)",9
"GP010016_fast.mp4_uca01(291, 204)","(299, 213)",10
"GP010016_fast.mp4_uca01(291, 204)","(299, 213)",11
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",12
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",13
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",14
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",15
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",16
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",17
"GP010016_fast.mp4_uca01(291, 204)","(298, 212)",18
"GP010016_fast.mp4_uca01(291, 204)","(298, 212)",19
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",20
"GP010016_fast.mp4_uca01(291, 204)","(297, 212)",21
"GP010016_fast.mp4_uca01(291, 204)","(297, 212)",22
"GP010016_fast.mp4_uca01(291, 204)","(297, 212)",23
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",24
"GP010016_fast.mp4_uca01(291, 204)","(297, 211)",25
"GP010016_fast.mp4_uca01(291, 204)","(296, 212)",26
"GP010016_fast.mp4_uca01(291, 204)","(295, 212)",27
"GP010016_fast.mp4_uca01(291, 204)","(295, 212)",28
"GP010016_fast.mp4_uca01(291, 204)","(294, 212)",29
"GP010016_fast.mp4_uca01(291, 204)","(294, 212)",30
"GP010016_fast.mp4_uca01(291, 204)","(293, 213)",31
"GP010016_fast.mp4_uca01(291, 204)","(293, 213)",32
"GP010016_fast.mp4_uca01(291, 204)","(293, 213)",33
"GP010016_fast.mp4_uca01(291, 204)","(293, 213)",34
"GP010016_fast.mp4_uca01(291, 204)","(293, 213)",35
"GP010016_fast.mp4_uca01(291, 204)","(293, 213)",36
"GP010016_fast.mp4_uca01(291, 204)","(293, 213)",37
"GP010016_fast.mp4_uca01(291, 204)","(293, 213)",38
"GP010016_fast.mp4_uca01(291, 204)","(293, 213)",39
"GP010016_fast.mp4_uca01(291, 204)","(292, 214)",40
"GP010016_fast.mp4_uca01(291, 204)","(292, 214)",41
"GP010016_fast.mp4_uca01(291, 204)","(290, 214)",42
"GP010016_fast.mp4_uca01(291, 204)","(289, 213)",43
"GP010016_fast.mp4_uca01(291, 204)","(287, 214)",44
"GP010016_fast.mp4_uca01(291, 204)","(286, 214)",45
"GP010016_fast.mp4_uca01(291, 204)","(285, 214)",46
"GP010016_fast.mp4_uca01(291, 204)","(284, 215)",47
"GP010016_fast.mp4_uca01(291, 204)","(283, 213)",48
"GP010016_fast.mp4_uca01(291, 204)","(282, 213)",49
"GP010016_fast.mp4_uca01(291, 204)","(282, 213)",50
"GP010016_fast.mp4_uca01(291, 204)","(282, 213)",51
"GP010016_fast.mp4_uca01(291, 204)","(282, 214)",52
"GP010016_fast.mp4_uca01(291, 204)","(281, 214)",53
"GP010016_fast.mp4_uca01(291, 204)","(280, 212)",54
"GP010016_fast.mp4_uca01(291, 204)","(278, 213)",55
"GP010016_fast.mp4_uca01(291, 204)","(281, 213)",56
"GP010016_fast.mp4_uca01(291, 204)","(277, 213)",57
"GP010016_fast.mp4_uca01(291, 204)","(277, 213)",58
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",59
"GP010016_fast.mp4_uca01(291, 204)","(277, 213)",60
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",61
"GP010016_fast.mp4_uca01(291, 204)","(276, 213)",62
"GP010016_fast.mp4_uca01(291, 204)","(277, 213)",63
"GP010016_fast.mp4_uca01(291, 204)","(276, 213)",64
"GP010016_fast.mp4_uca01(291, 204)","(280, 214)",65
"GP010016_fast.mp4_uca01(291, 204)","(276, 213)",66
"GP010016_fast.mp4_uca01(291, 204)","(276, 213)",67
"GP010016_fast.mp4_uca01(291, 204)","(276, 213)",68
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",69
"GP010016_fast.mp4_uca01(291, 204)","(278, 213)",70
"GP010016_fast.mp4_uca01(291, 204)","(277, 212)",71
"GP010016_fast.mp4_uca01(291, 204)","(278, 213)",72
"GP010016_fast.mp4_uca01(291, 204)","(277, 213)",73
"GP010016_fast.mp4_uca01(291, 204)","(281, 215)",74
"GP010016_fast.mp4_uca01(291, 204)","(280, 214)",75
"GP010016_fast.mp4_uca01(291, 204)","(281, 214)",76
"GP010016_fast.mp4_uca01(291, 204)","(278, 211)",77
"GP010016_fast.mp4_uca01(291, 204)","(280, 214)",78
"GP010016_fast.mp4_uca01(291, 204)","(278, 212)",79
"GP010016_fast.mp4_uca01(291, 204)","(279, 213)",80
"GP010016_fast.mp4_uca01(291, 204)","(281, 214)",81
