file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1735,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1164e0ed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(291, 204)","(293, 205)",0
"GP010016_fast.mp4_uca01(291, 204)","(292, 207)",1
"GP010016_fast.mp4_uca01(291, 204)","(294, 207)",2
"GP010016_fast.mp4_uca01(291, 204)","(296, 210)",3
"GP010016_fast.mp4_uca01(291, 204)","(297, 212)",4
"GP010016_fast.mp4_uca01(291, 204)","(297, 214)",5
"GP010016_fast.mp4_uca01(291, 204)","(299, 214)",6
"GP010016_fast.mp4_uca01(291, 204)","(299, 213)",7
"GP010016_fast.mp4_uca01(291, 204)","(300, 213)",8
"GP010016_fast.mp4_uca01(291, 204)","(300, 213)",9
"GP010016_fast.mp4_uca01(291, 204)","(300, 213)",10
"GP010016_fast.mp4_uca01(291, 204)","(300, 212)",11
"GP010016_fast.mp4_uca01(291, 204)","(300, 213)",12
"GP010016_fast.mp4_uca01(291, 204)","(300, 213)",13
"GP010016_fast.mp4_uca01(291, 204)","(300, 212)",14
"GP010016_fast.mp4_uca01(291, 204)","(299, 213)",15
"GP010016_fast.mp4_uca01(291, 204)","(299, 213)",16
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",17
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",18
"GP010016_fast.mp4_uca01(291, 204)","(300, 212)",19
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",20
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",21
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",22
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",23
"GP010016_fast.mp4_uca01(291, 204)","(298, 213)",24
"GP010016_fast.mp4_uca01(291, 204)","(298, 212)",25
"GP010016_fast.mp4_uca01(291, 204)","(297, 213)",26
"GP010016_fast.mp4_uca01(291, 204)","(296, 212)",27
"GP010016_fast.mp4_uca01(291, 204)","(296, 212)",28
"GP010016_fast.mp4_uca01(291, 204)","(295, 213)",29
"GP010016_fast.mp4_uca01(291, 204)","(295, 213)",30
"GP010016_fast.mp4_uca01(291, 204)","(293, 214)",31
"GP010016_fast.mp4_uca01(291, 204)","(293, 214)",32
"GP010016_fast.mp4_uca01(291, 204)","(293, 214)",33
"GP010016_fast.mp4_uca01(291, 204)","(293, 214)",34
"GP010016_fast.mp4_uca01(291, 204)","(292, 215)",35
"GP010016_fast.mp4_uca01(291, 204)","(293, 215)",36
"GP010016_fast.mp4_uca01(291, 204)","(293, 215)",37
"GP010016_fast.mp4_uca01(291, 204)","(293, 215)",38
"GP010016_fast.mp4_uca01(291, 204)","(293, 215)",39
"GP010016_fast.mp4_uca01(291, 204)","(292, 216)",40
"GP010016_fast.mp4_uca01(291, 204)","(292, 215)",41
