file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,15112018,1743,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f994ed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca01(291, 204)","(293, 203)",0
"GP010016_fast.mp4_uca01(291, 204)","(295, 204)",1
"GP010016_fast.mp4_uca01(291, 204)","(296, 206)",2
"GP010016_fast.mp4_uca01(291, 204)","(296, 207)",3
"GP010016_fast.mp4_uca01(291, 204)","(298, 208)",4
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",5
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",6
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",7
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",8
"GP010016_fast.mp4_uca01(291, 204)","(299, 211)",9
"GP010016_fast.mp4_uca01(291, 204)","(299, 209)",10
"GP010016_fast.mp4_uca01(291, 204)","(299, 212)",11
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",12
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",13
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",14
"GP010016_fast.mp4_uca01(291, 204)","(298, 209)",15
"GP010016_fast.mp4_uca01(291, 204)","(297, 209)",16
"GP010016_fast.mp4_uca01(291, 204)","(298, 209)",17
"GP010016_fast.mp4_uca01(291, 204)","(297, 210)",18
"GP010016_fast.mp4_uca01(291, 204)","(298, 210)",19
"GP010016_fast.mp4_uca01(291, 204)","(297, 209)",20
"GP010016_fast.mp4_uca01(291, 204)","(297, 208)",21
"GP010016_fast.mp4_uca01(291, 204)","(297, 208)",22
"GP010016_fast.mp4_uca01(291, 204)","(297, 208)",23
"GP010016_fast.mp4_uca01(291, 204)","(297, 208)",24
"GP010016_fast.mp4_uca01(291, 204)","(297, 208)",25
"GP010016_fast.mp4_uca01(291, 204)","(296, 209)",26
"GP010016_fast.mp4_uca01(291, 204)","(295, 208)",27
"GP010016_fast.mp4_uca01(291, 204)","(295, 208)",28
"GP010016_fast.mp4_uca01(291, 204)","(295, 207)",29
"GP010016_fast.mp4_uca01(291, 204)","(295, 207)",30
"GP010016_fast.mp4_uca01(291, 204)","(294, 207)",31
"GP010016_fast.mp4_uca01(291, 204)","(295, 207)",32
"GP010016_fast.mp4_uca01(291, 204)","(295, 207)",33
"GP010016_fast.mp4_uca01(291, 204)","(295, 207)",34
"GP010016_fast.mp4_uca01(291, 204)","(295, 207)",35
"GP010016_fast.mp4_uca01(291, 204)","(294, 207)",36
"GP010016_fast.mp4_uca01(291, 204)","(294, 207)",37
"GP010016_fast.mp4_uca01(291, 204)","(294, 207)",38
"GP010016_fast.mp4_uca01(291, 204)","(294, 208)",39
"GP010016_fast.mp4_uca01(291, 204)","(294, 208)",40
"GP010016_fast.mp4_uca01(291, 204)","(293, 208)",41
"GP010016_fast.mp4_uca01(291, 204)","(292, 208)",42
"GP010016_fast.mp4_uca01(291, 204)","(290, 208)",43
"GP010016_fast.mp4_uca01(291, 204)","(289, 208)",44
"GP010016_fast.mp4_uca01(291, 204)","(288, 208)",45
"GP010016_fast.mp4_uca01(291, 204)","(286, 208)",46
"GP010016_fast.mp4_uca01(291, 204)","(286, 208)",47
"GP010016_fast.mp4_uca01(291, 204)","(283, 208)",48
"GP010016_fast.mp4_uca01(291, 204)","(283, 208)",49
"GP010016_fast.mp4_uca01(291, 204)","(283, 208)",50
"GP010016_fast.mp4_uca01(291, 204)","(283, 208)",51
"GP010016_fast.mp4_uca01(291, 204)","(282, 208)",52
"GP010016_fast.mp4_uca01(291, 204)","(282, 208)",53
"GP010016_fast.mp4_uca01(291, 204)","(280, 207)",54
"GP010016_fast.mp4_uca01(291, 204)","(278, 206)",55
"GP010016_fast.mp4_uca01(291, 204)","(278, 208)",56
"GP010016_fast.mp4_uca01(291, 204)","(278, 208)",57
"GP010016_fast.mp4_uca01(291, 204)","(277, 207)",58
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",59
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",60
"GP010016_fast.mp4_uca01(291, 204)","(279, 208)",61
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",62
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",63
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",64
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",65
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",66
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",67
"GP010016_fast.mp4_uca01(291, 204)","(278, 208)",68
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",69
"GP010016_fast.mp4_uca01(291, 204)","(278, 208)",70
"GP010016_fast.mp4_uca01(291, 204)","(278, 208)",71
"GP010016_fast.mp4_uca01(291, 204)","(279, 208)",72
"GP010016_fast.mp4_uca01(291, 204)","(279, 208)",73
"GP010016_fast.mp4_uca01(291, 204)","(279, 208)",74
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",75
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",76
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",77
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",78
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",79
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",80
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",81
"GP010016_fast.mp4_uca01(291, 204)","(278, 207)",82
"GP010016_fast.mp4_uca01(291, 204)","(279, 207)",83
"GP010016_fast.mp4_uca01(291, 204)","(279, 207)",84
"GP010016_fast.mp4_uca01(291, 204)","(278, 208)",85
"GP010016_fast.mp4_uca01(291, 204)","(278, 208)",86
"GP010016_fast.mp4_uca01(291, 204)","(278, 208)",87
"GP010016_fast.mp4_uca01(291, 204)","(277, 209)",88
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",89
"GP010016_fast.mp4_uca01(291, 204)","(276, 208)",90
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",91
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",92
"GP010016_fast.mp4_uca01(291, 204)","(277, 209)",93
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",94
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",95
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",96
"GP010016_fast.mp4_uca01(291, 204)","(277, 211)",97
"GP010016_fast.mp4_uca01(291, 204)","(276, 210)",98
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",99
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",100
"GP010016_fast.mp4_uca01(291, 204)","(276, 210)",101
"GP010016_fast.mp4_uca01(291, 204)","(275, 210)",102
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",103
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",104
"GP010016_fast.mp4_uca01(291, 204)","(276, 209)",105
"GP010016_fast.mp4_uca01(291, 204)","(276, 210)",106
"GP010016_fast.mp4_uca01(291, 204)","(275, 210)",107
"GP010016_fast.mp4_uca01(291, 204)","(273, 210)",108
