file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.MP4,15112018,1817,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10d63ced0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.MP4_uca02(366, 93)","(367, 93)",0
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",1
"GP010016_fast.MP4_uca02(366, 93)","(366, 92)",2
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",3
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",4
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",5
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",6
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",7
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",8
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",9
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",10
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",11
"GP010016_fast.MP4_uca02(366, 93)","(366, 93)",12
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",13
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",14
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",15
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",16
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",17
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",18
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",19
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",20
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",21
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",22
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",23
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",24
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",25
"GP010016_fast.MP4_uca02(366, 93)","(366, 94)",26
"GP010016_fast.MP4_uca02(366, 93)","(366, 95)",27
"GP010016_fast.MP4_uca02(366, 93)","(367, 94)",28
"GP010016_fast.MP4_uca02(366, 93)","(368, 94)",29
"GP010016_fast.MP4_uca02(366, 93)","(368, 94)",30
"GP010016_fast.MP4_uca02(366, 93)","(368, 94)",31
"GP010016_fast.MP4_uca02(366, 93)","(369, 94)",32
"GP010016_fast.MP4_uca02(366, 93)","(368, 94)",33
"GP010016_fast.MP4_uca02(366, 93)","(368, 95)",34
"GP010016_fast.MP4_uca02(366, 93)","(370, 95)",35
"GP010016_fast.MP4_uca02(366, 93)","(370, 95)",36
"GP010016_fast.MP4_uca02(366, 93)","(370, 95)",37
"GP010016_fast.MP4_uca02(366, 93)","(371, 95)",38
"GP010016_fast.MP4_uca02(366, 93)","(369, 97)",39
"GP010016_fast.MP4_uca02(366, 93)","(370, 97)",40
"GP010016_fast.MP4_uca02(366, 93)","(370, 98)",41
"GP010016_fast.MP4_uca02(366, 93)","(369, 99)",42
"GP010016_fast.MP4_uca02(366, 93)","(370, 97)",43
"GP010016_fast.MP4_uca02(366, 93)","(369, 99)",44
"GP010016_fast.MP4_uca02(366, 93)","(369, 99)",45
"GP010016_fast.MP4_uca02(366, 93)","(369, 99)",46
"GP010016_fast.MP4_uca02(366, 93)","(369, 99)",47
"GP010016_fast.MP4_uca02(366, 93)","(370, 98)",48
"GP010016_fast.MP4_uca02(366, 93)","(368, 101)",49
"GP010016_fast.MP4_uca02(366, 93)","(369, 99)",50
"GP010016_fast.MP4_uca02(366, 93)","(370, 101)",51
"GP010016_fast.MP4_uca02(366, 93)","(370, 101)",52
"GP010016_fast.MP4_uca02(366, 93)","(371, 102)",53
"GP010016_fast.MP4_uca02(366, 93)","(371, 103)",54
"GP010016_fast.MP4_uca02(366, 93)","(373, 106)",55
"GP010016_fast.MP4_uca02(366, 93)","(372, 108)",56
"GP010016_fast.MP4_uca02(366, 93)","(373, 109)",57
"GP010016_fast.MP4_uca02(366, 93)","(373, 112)",58
"GP010016_fast.MP4_uca02(366, 93)","(374, 114)",59
"GP010016_fast.MP4_uca02(366, 93)","(375, 116)",60
"GP010016_fast.MP4_uca02(366, 93)","(376, 118)",61
"GP010016_fast.MP4_uca02(366, 93)","(378, 118)",62
"GP010016_fast.MP4_uca02(366, 93)","(377, 121)",63
"GP010016_fast.MP4_uca02(366, 93)","(378, 122)",64
"GP010016_fast.MP4_uca02(366, 93)","(380, 124)",65
"GP010016_fast.MP4_uca02(366, 93)","(379, 124)",66
"GP010016_fast.MP4_uca02(366, 93)","(381, 125)",67
