file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.MP4,15112018,1818,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x116999ed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.MP4_uca02(365, 94)","(365, 94)",0
"GP010016_fast.MP4_uca02(365, 94)","(365, 94)",1
"GP010016_fast.MP4_uca02(365, 94)","(365, 94)",2
"GP010016_fast.MP4_uca02(365, 94)","(365, 94)",3
"GP010016_fast.MP4_uca02(365, 94)","(365, 94)",4
"GP010016_fast.MP4_uca02(365, 94)","(365, 94)",5
"GP010016_fast.MP4_uca02(365, 94)","(365, 94)",6
"GP010016_fast.MP4_uca02(365, 94)","(365, 94)",7
"GP010016_fast.MP4_uca02(365, 94)","(364, 94)",8
"GP010016_fast.MP4_uca02(365, 94)","(365, 94)",9
"GP010016_fast.MP4_uca02(365, 94)","(365, 93)",10
"GP010016_fast.MP4_uca02(365, 94)","(365, 93)",11
"GP010016_fast.MP4_uca02(365, 94)","(366, 93)",12
"GP010016_fast.MP4_uca02(365, 94)","(365, 93)",13
"GP010016_fast.MP4_uca02(365, 94)","(365, 93)",14
"GP010016_fast.MP4_uca02(365, 94)","(365, 94)",15
"GP010016_fast.MP4_uca02(365, 94)","(365, 93)",16
"GP010016_fast.MP4_uca02(365, 94)","(365, 93)",17
"GP010016_fast.MP4_uca02(365, 94)","(366, 93)",18
"GP010016_fast.MP4_uca02(365, 94)","(366, 93)",19
"GP010016_fast.MP4_uca02(365, 94)","(365, 92)",20
"GP010016_fast.MP4_uca02(365, 94)","(365, 93)",21
"GP010016_fast.MP4_uca02(365, 94)","(365, 93)",22
"GP010016_fast.MP4_uca02(365, 94)","(364, 93)",23
"GP010016_fast.MP4_uca02(365, 94)","(365, 93)",24
"GP010016_fast.MP4_uca02(365, 94)","(365, 92)",25
"GP010016_fast.MP4_uca02(365, 94)","(365, 93)",26
"GP010016_fast.MP4_uca02(365, 94)","(365, 92)",27
"GP010016_fast.MP4_uca02(365, 94)","(365, 92)",28
"GP010016_fast.MP4_uca02(365, 94)","(365, 92)",29
"GP010016_fast.MP4_uca02(365, 94)","(366, 92)",30
"GP010016_fast.MP4_uca02(365, 94)","(366, 92)",31
"GP010016_fast.MP4_uca02(365, 94)","(366, 93)",32
"GP010016_fast.MP4_uca02(365, 94)","(366, 93)",33
"GP010016_fast.MP4_uca02(365, 94)","(367, 93)",34
"GP010016_fast.MP4_uca02(365, 94)","(368, 93)",35
"GP010016_fast.MP4_uca02(365, 94)","(367, 93)",36
"GP010016_fast.MP4_uca02(365, 94)","(368, 93)",37
"GP010016_fast.MP4_uca02(365, 94)","(368, 93)",38
"GP010016_fast.MP4_uca02(365, 94)","(368, 95)",39
"GP010016_fast.MP4_uca02(365, 94)","(367, 96)",40
"GP010016_fast.MP4_uca02(365, 94)","(367, 98)",41
"GP010016_fast.MP4_uca02(365, 94)","(368, 96)",42
"GP010016_fast.MP4_uca02(365, 94)","(367, 98)",43
"GP010016_fast.MP4_uca02(365, 94)","(367, 98)",44
"GP010016_fast.MP4_uca02(365, 94)","(367, 98)",45
"GP010016_fast.MP4_uca02(365, 94)","(367, 98)",46
"GP010016_fast.MP4_uca02(365, 94)","(367, 98)",47
"GP010016_fast.MP4_uca02(365, 94)","(367, 98)",48
"GP010016_fast.MP4_uca02(365, 94)","(367, 99)",49
"GP010016_fast.MP4_uca02(365, 94)","(367, 98)",50
"GP010016_fast.MP4_uca02(365, 94)","(366, 100)",51
"GP010016_fast.MP4_uca02(365, 94)","(367, 100)",52
"GP010016_fast.MP4_uca02(365, 94)","(368, 101)",53
"GP010016_fast.MP4_uca02(365, 94)","(369, 102)",54
"GP010016_fast.MP4_uca02(365, 94)","(371, 104)",55
"GP010016_fast.MP4_uca02(365, 94)","(369, 106)",56
"GP010016_fast.MP4_uca02(365, 94)","(371, 108)",57
"GP010016_fast.MP4_uca02(365, 94)","(372, 110)",58
"GP010016_fast.MP4_uca02(365, 94)","(372, 112)",59
"GP010016_fast.MP4_uca02(365, 94)","(373, 113)",60
"GP010016_fast.MP4_uca02(365, 94)","(373, 118)",61
"GP010016_fast.MP4_uca02(365, 94)","(374, 119)",62
"GP010016_fast.MP4_uca02(365, 94)","(374, 121)",63
"GP010016_fast.MP4_uca02(365, 94)","(376, 121)",64
"GP010016_fast.MP4_uca02(365, 94)","(378, 122)",65
"GP010016_fast.MP4_uca02(365, 94)","(378, 123)",66
"GP010016_fast.MP4_uca02(365, 94)","(379, 123)",67
"GP010016_fast.MP4_uca02(365, 94)","(378, 129)",68
"GP010016_fast.MP4_uca02(365, 94)","(379, 131)",69
"GP010016_fast.MP4_uca02(365, 94)","(380, 135)",70
"GP010016_fast.MP4_uca02(365, 94)","(380, 136)",71
"GP010016_fast.MP4_uca02(365, 94)","(380, 136)",72
"GP010016_fast.MP4_uca02(365, 94)","(380, 136)",73
"GP010016_fast.MP4_uca02(365, 94)","(381, 137)",74
"GP010016_fast.MP4_uca02(365, 94)","(394, 158)",75
"GP010016_fast.MP4_uca02(365, 94)","(394, 160)",76
"GP010016_fast.MP4_uca02(365, 94)","(393, 160)",77
"GP010016_fast.MP4_uca02(365, 94)","(395, 159)",78
"GP010016_fast.MP4_uca02(365, 94)","(395, 160)",79
"GP010016_fast.MP4_uca02(365, 94)","(395, 160)",80
"GP010016_fast.MP4_uca02(365, 94)","(396, 159)",81
"GP010016_fast.MP4_uca02(365, 94)","(397, 159)",82
"GP010016_fast.MP4_uca02(365, 94)","(390, 156)",83
