file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.MP4,15112018,1819,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x115efced0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",0
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",1
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",2
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",3
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",4
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",5
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",6
"GP010016_fast.MP4_uca02(366, 95)","(367, 97)",7
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",8
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",9
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",10
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",11
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",12
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",13
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",14
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",15
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",16
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",17
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",18
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",19
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",20
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",21
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",22
"GP010016_fast.MP4_uca02(366, 95)","(369, 95)",23
"GP010016_fast.MP4_uca02(366, 95)","(369, 97)",24
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",25
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",26
"GP010016_fast.MP4_uca02(366, 95)","(368, 97)",27
"GP010016_fast.MP4_uca02(366, 95)","(368, 96)",28
"GP010016_fast.MP4_uca02(366, 95)","(368, 97)",29
"GP010016_fast.MP4_uca02(366, 95)","(368, 97)",30
"GP010016_fast.MP4_uca02(366, 95)","(368, 97)",31
"GP010016_fast.MP4_uca02(366, 95)","(368, 98)",32
"GP010016_fast.MP4_uca02(366, 95)","(367, 97)",33
"GP010016_fast.MP4_uca02(366, 95)","(368, 99)",34
"GP010016_fast.MP4_uca02(366, 95)","(368, 98)",35
"GP010016_fast.MP4_uca02(366, 95)","(368, 99)",36
"GP010016_fast.MP4_uca02(366, 95)","(367, 99)",37
"GP010016_fast.MP4_uca02(366, 95)","(367, 100)",38
"GP010016_fast.MP4_uca02(366, 95)","(367, 102)",39
"GP010016_fast.MP4_uca02(366, 95)","(366, 104)",40
"GP010016_fast.MP4_uca02(366, 95)","(367, 103)",41
"GP010016_fast.MP4_uca02(366, 95)","(367, 102)",42
"GP010016_fast.MP4_uca02(366, 95)","(367, 105)",43
"GP010016_fast.MP4_uca02(366, 95)","(367, 104)",44
"GP010016_fast.MP4_uca02(366, 95)","(367, 105)",45
"GP010016_fast.MP4_uca02(366, 95)","(368, 105)",46
"GP010016_fast.MP4_uca02(366, 95)","(368, 104)",47
"GP010016_fast.MP4_uca02(366, 95)","(369, 105)",48
"GP010016_fast.MP4_uca02(366, 95)","(366, 104)",49
"GP010016_fast.MP4_uca02(366, 95)","(367, 105)",50
"GP010016_fast.MP4_uca02(366, 95)","(368, 106)",51
"GP010016_fast.MP4_uca02(366, 95)","(368, 106)",52
"GP010016_fast.MP4_uca02(366, 95)","(367, 108)",53
"GP010016_fast.MP4_uca02(366, 95)","(370, 109)",54
"GP010016_fast.MP4_uca02(366, 95)","(370, 111)",55
"GP010016_fast.MP4_uca02(366, 95)","(370, 113)",56
"GP010016_fast.MP4_uca02(366, 95)","(368, 116)",57
"GP010016_fast.MP4_uca02(366, 95)","(372, 118)",58
"GP010016_fast.MP4_uca02(366, 95)","(371, 119)",59
"GP010016_fast.MP4_uca02(366, 95)","(374, 119)",60
"GP010016_fast.MP4_uca02(366, 95)","(374, 124)",61
"GP010016_fast.MP4_uca02(366, 95)","(374, 125)",62
"GP010016_fast.MP4_uca02(366, 95)","(376, 126)",63
"GP010016_fast.MP4_uca02(366, 95)","(376, 128)",64
"GP010016_fast.MP4_uca02(366, 95)","(376, 130)",65
"GP010016_fast.MP4_uca02(366, 95)","(376, 130)",66
"GP010016_fast.MP4_uca02(366, 95)","(376, 130)",67
