file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.MP4,15112018,1820,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerBoosting 0x10e48fed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.MP4_uca02(364, 94)","(364, 94)",0
"GP010016_fast.MP4_uca02(364, 94)","(364, 94)",1
"GP010016_fast.MP4_uca02(364, 94)","(364, 94)",2
"GP010016_fast.MP4_uca02(364, 94)","(364, 94)",3
"GP010016_fast.MP4_uca02(364, 94)","(364, 94)",4
"GP010016_fast.MP4_uca02(364, 94)","(364, 94)",5
"GP010016_fast.MP4_uca02(364, 94)","(364, 94)",6
"GP010016_fast.MP4_uca02(364, 94)","(364, 94)",7
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",8
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",9
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",10
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",11
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",12
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",13
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",14
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",15
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",16
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",17
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",18
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",19
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",20
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",21
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",22
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",23
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",24
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",25
"GP010016_fast.MP4_uca02(364, 94)","(364, 95)",26
"GP010016_fast.MP4_uca02(364, 94)","(365, 95)",27
"GP010016_fast.MP4_uca02(364, 94)","(365, 95)",28
"GP010016_fast.MP4_uca02(364, 94)","(365, 95)",29
"GP010016_fast.MP4_uca02(364, 94)","(365, 95)",30
"GP010016_fast.MP4_uca02(364, 94)","(365, 95)",31
"GP010016_fast.MP4_uca02(364, 94)","(365, 96)",32
"GP010016_fast.MP4_uca02(364, 94)","(365, 96)",33
"GP010016_fast.MP4_uca02(364, 94)","(366, 97)",34
"GP010016_fast.MP4_uca02(364, 94)","(366, 97)",35
"GP010016_fast.MP4_uca02(364, 94)","(366, 97)",36
"GP010016_fast.MP4_uca02(364, 94)","(366, 98)",37
"GP010016_fast.MP4_uca02(364, 94)","(368, 96)",38
"GP010016_fast.MP4_uca02(364, 94)","(366, 99)",39
"GP010016_fast.MP4_uca02(364, 94)","(367, 99)",40
"GP010016_fast.MP4_uca02(364, 94)","(366, 100)",41
"GP010016_fast.MP4_uca02(364, 94)","(367, 100)",42
"GP010016_fast.MP4_uca02(364, 94)","(366, 101)",43
"GP010016_fast.MP4_uca02(364, 94)","(366, 102)",44
"GP010016_fast.MP4_uca02(364, 94)","(366, 102)",45
"GP010016_fast.MP4_uca02(364, 94)","(366, 102)",46
