file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.MP4,15112018,1821,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerBoosting 0x117b69ed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",0
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",1
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",2
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",3
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",4
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",5
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",6
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",7
"GP010016_fast.MP4_uca02(365, 95)","(365, 96)",8
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",9
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",10
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",11
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",12
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",13
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",14
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",15
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",16
"GP010016_fast.MP4_uca02(365, 95)","(365, 95)",17
"GP010016_fast.MP4_uca02(365, 95)","(365, 96)",18
"GP010016_fast.MP4_uca02(365, 95)","(365, 96)",19
"GP010016_fast.MP4_uca02(365, 95)","(365, 96)",20
"GP010016_fast.MP4_uca02(365, 95)","(365, 96)",21
"GP010016_fast.MP4_uca02(365, 95)","(365, 96)",22
"GP010016_fast.MP4_uca02(365, 95)","(365, 96)",23
"GP010016_fast.MP4_uca02(365, 95)","(365, 96)",24
"GP010016_fast.MP4_uca02(365, 95)","(365, 96)",25
"GP010016_fast.MP4_uca02(365, 95)","(365, 96)",26
"GP010016_fast.MP4_uca02(365, 95)","(366, 95)",27
"GP010016_fast.MP4_uca02(365, 95)","(366, 95)",28
"GP010016_fast.MP4_uca02(365, 95)","(366, 96)",29
"GP010016_fast.MP4_uca02(365, 95)","(366, 96)",30
"GP010016_fast.MP4_uca02(365, 95)","(366, 96)",31
"GP010016_fast.MP4_uca02(365, 95)","(366, 97)",32
"GP010016_fast.MP4_uca02(365, 95)","(366, 97)",33
"GP010016_fast.MP4_uca02(365, 95)","(367, 97)",34
"GP010016_fast.MP4_uca02(365, 95)","(367, 98)",35
"GP010016_fast.MP4_uca02(365, 95)","(367, 98)",36
"GP010016_fast.MP4_uca02(365, 95)","(367, 98)",37
"GP010016_fast.MP4_uca02(365, 95)","(369, 96)",38
"GP010016_fast.MP4_uca02(365, 95)","(368, 99)",39
"GP010016_fast.MP4_uca02(365, 95)","(368, 101)",40
"GP010016_fast.MP4_uca02(365, 95)","(367, 101)",41
"GP010016_fast.MP4_uca02(365, 95)","(368, 102)",42
"GP010016_fast.MP4_uca02(365, 95)","(364, 106)",43
"GP010016_fast.MP4_uca02(365, 95)","(363, 107)",44
"GP010016_fast.MP4_uca02(365, 95)","(363, 107)",45
"GP010016_fast.MP4_uca02(365, 95)","(363, 107)",46
"GP010016_fast.MP4_uca02(365, 95)","(365, 103)",47
"GP010016_fast.MP4_uca02(365, 95)","(365, 103)",48
"GP010016_fast.MP4_uca02(365, 95)","(365, 103)",49
"GP010016_fast.MP4_uca02(365, 95)","(365, 103)",50
"GP010016_fast.MP4_uca02(365, 95)","(365, 104)",51
"GP010016_fast.MP4_uca02(365, 95)","(365, 105)",52
"GP010016_fast.MP4_uca02(365, 95)","(366, 106)",53
"GP010016_fast.MP4_uca02(365, 95)","(366, 107)",54
"GP010016_fast.MP4_uca02(365, 95)","(368, 110)",55
"GP010016_fast.MP4_uca02(365, 95)","(368, 112)",56
"GP010016_fast.MP4_uca02(365, 95)","(368, 114)",57
"GP010016_fast.MP4_uca02(365, 95)","(369, 116)",58
"GP010016_fast.MP4_uca02(365, 95)","(369, 118)",59
"GP010016_fast.MP4_uca02(365, 95)","(370, 119)",60
"GP010016_fast.MP4_uca02(365, 95)","(371, 121)",61
"GP010016_fast.MP4_uca02(365, 95)","(371, 122)",62
"GP010016_fast.MP4_uca02(365, 95)","(372, 123)",63
"GP010016_fast.MP4_uca02(365, 95)","(373, 125)",64
"GP010016_fast.MP4_uca02(365, 95)","(375, 127)",65
"GP010016_fast.MP4_uca02(365, 95)","(374, 128)",66
"GP010016_fast.MP4_uca02(365, 95)","(375, 129)",67
"GP010016_fast.MP4_uca02(365, 95)","(375, 132)",68
"GP010016_fast.MP4_uca02(365, 95)","(376, 137)",69
"GP010016_fast.MP4_uca02(365, 95)","(377, 138)",70
"GP010016_fast.MP4_uca02(365, 95)","(376, 140)",71
"GP010016_fast.MP4_uca02(365, 95)","(376, 140)",72
"GP010016_fast.MP4_uca02(365, 95)","(376, 140)",73
"GP010016_fast.MP4_uca02(365, 95)","(378, 141)",74
"GP010016_fast.MP4_uca02(365, 95)","(379, 144)",75
"GP010016_fast.MP4_uca02(365, 95)","(380, 145)",76
"GP010016_fast.MP4_uca02(365, 95)","(380, 147)",77
"GP010016_fast.MP4_uca02(365, 95)","(381, 148)",78
"GP010016_fast.MP4_uca02(365, 95)","(383, 151)",79
"GP010016_fast.MP4_uca02(365, 95)","(383, 152)",80
"GP010016_fast.MP4_uca02(365, 95)","(385, 154)",81
"GP010016_fast.MP4_uca02(365, 95)","(386, 156)",82
"GP010016_fast.MP4_uca02(365, 95)","(388, 158)",83
"GP010016_fast.MP4_uca02(365, 95)","(388, 158)",84
"GP010016_fast.MP4_uca02(365, 95)","(387, 158)",85
"GP010016_fast.MP4_uca02(365, 95)","(387, 158)",86
"GP010016_fast.MP4_uca02(365, 95)","(387, 158)",87
"GP010016_fast.MP4_uca02(365, 95)","(387, 157)",88
"GP010016_fast.MP4_uca02(365, 95)","(386, 157)",89
"GP010016_fast.MP4_uca02(365, 95)","(386, 158)",90
"GP010016_fast.MP4_uca02(365, 95)","(387, 159)",91
"GP010016_fast.MP4_uca02(365, 95)","(386, 157)",92
"GP010016_fast.MP4_uca02(365, 95)","(388, 161)",93
"GP010016_fast.MP4_uca02(365, 95)","(388, 157)",94
"GP010016_fast.MP4_uca02(365, 95)","(392, 164)",95
"GP010016_fast.MP4_uca02(365, 95)","(389, 162)",96
"GP010016_fast.MP4_uca02(365, 95)","(390, 162)",97
"GP010016_fast.MP4_uca02(365, 95)","(394, 163)",98
"GP010016_fast.MP4_uca02(365, 95)","(393, 161)",99
"GP010016_fast.MP4_uca02(365, 95)","(394, 162)",100
"GP010016_fast.MP4_uca02(365, 95)","(397, 162)",101
"GP010016_fast.MP4_uca02(365, 95)","(397, 162)",102
"GP010016_fast.MP4_uca02(365, 95)","(400, 164)",103
"GP010016_fast.MP4_uca02(365, 95)","(403, 164)",104
"GP010016_fast.MP4_uca02(365, 95)","(405, 165)",105
"GP010016_fast.MP4_uca02(365, 95)","(405, 165)",106
"GP010016_fast.MP4_uca02(365, 95)","(404, 165)",107
"GP010016_fast.MP4_uca02(365, 95)","(402, 165)",108
"GP010016_fast.MP4_uca02(365, 95)","(401, 166)",109
"GP010016_fast.MP4_uca02(365, 95)","(401, 166)",110
"GP010016_fast.MP4_uca02(365, 95)","(401, 166)",111
"GP010016_fast.MP4_uca02(365, 95)","(401, 167)",112
"GP010016_fast.MP4_uca02(365, 95)","(400, 167)",113
"GP010016_fast.MP4_uca02(365, 95)","(400, 168)",114
"GP010016_fast.MP4_uca02(365, 95)","(401, 168)",115
"GP010016_fast.MP4_uca02(365, 95)","(401, 168)",116
"GP010016_fast.MP4_uca02(365, 95)","(401, 168)",117
"GP010016_fast.MP4_uca02(365, 95)","(401, 168)",118
"GP010016_fast.MP4_uca02(365, 95)","(401, 168)",119
"GP010016_fast.MP4_uca02(365, 95)","(400, 167)",120
"GP010016_fast.MP4_uca02(365, 95)","(400, 168)",121
"GP010016_fast.MP4_uca02(365, 95)","(400, 167)",122
"GP010016_fast.MP4_uca02(365, 95)","(399, 167)",123
"GP010016_fast.MP4_uca02(365, 95)","(399, 167)",124
"GP010016_fast.MP4_uca02(365, 95)","(399, 166)",125
"GP010016_fast.MP4_uca02(365, 95)","(399, 166)",126
"GP010016_fast.MP4_uca02(365, 95)","(399, 166)",127
"GP010016_fast.MP4_uca02(365, 95)","(399, 166)",128
"GP010016_fast.MP4_uca02(365, 95)","(399, 166)",129
"GP010016_fast.MP4_uca02(365, 95)","(399, 166)",130
"GP010016_fast.MP4_uca02(365, 95)","(399, 167)",131
"GP010016_fast.MP4_uca02(365, 95)","(393, 162)",132
"GP010016_fast.MP4_uca02(365, 95)","(393, 162)",133
"GP010016_fast.MP4_uca02(365, 95)","(399, 167)",134
"GP010016_fast.MP4_uca02(365, 95)","(400, 167)",135
"GP010016_fast.MP4_uca02(365, 95)","(399, 167)",136
"GP010016_fast.MP4_uca02(365, 95)","(399, 167)",137
"GP010016_fast.MP4_uca02(365, 95)","(399, 167)",138
"GP010016_fast.MP4_uca02(365, 95)","(400, 167)",139
"GP010016_fast.MP4_uca02(365, 95)","(400, 167)",140
"GP010016_fast.MP4_uca02(365, 95)","(400, 167)",141
"GP010016_fast.MP4_uca02(365, 95)","(401, 166)",142
"GP010016_fast.MP4_uca02(365, 95)","(401, 166)",143
"GP010016_fast.MP4_uca02(365, 95)","(401, 165)",144
"GP010016_fast.MP4_uca02(365, 95)","(401, 165)",145
"GP010016_fast.MP4_uca02(365, 95)","(401, 165)",146
"GP010016_fast.MP4_uca02(365, 95)","(401, 164)",147
"GP010016_fast.MP4_uca02(365, 95)","(402, 164)",148
"GP010016_fast.MP4_uca02(365, 95)","(402, 164)",149
"GP010016_fast.MP4_uca02(365, 95)","(404, 164)",150
"GP010016_fast.MP4_uca02(365, 95)","(404, 163)",151
"GP010016_fast.MP4_uca02(365, 95)","(404, 163)",152
"GP010016_fast.MP4_uca02(365, 95)","(403, 163)",153
"GP010016_fast.MP4_uca02(365, 95)","(404, 163)",154
"GP010016_fast.MP4_uca02(365, 95)","(404, 163)",155
"GP010016_fast.MP4_uca02(365, 95)","(404, 163)",156
"GP010016_fast.MP4_uca02(365, 95)","(404, 163)",157
"GP010016_fast.MP4_uca02(365, 95)","(404, 163)",158
"GP010016_fast.MP4_uca02(365, 95)","(404, 162)",159
"GP010016_fast.MP4_uca02(365, 95)","(405, 162)",160
"GP010016_fast.MP4_uca02(365, 95)","(404, 162)",161
"GP010016_fast.MP4_uca02(365, 95)","(405, 162)",162
"GP010016_fast.MP4_uca02(365, 95)","(406, 161)",163
"GP010016_fast.MP4_uca02(365, 95)","(407, 161)",164
"GP010016_fast.MP4_uca02(365, 95)","(407, 161)",165
"GP010016_fast.MP4_uca02(365, 95)","(406, 161)",166
"GP010016_fast.MP4_uca02(365, 95)","(406, 160)",167
"GP010016_fast.MP4_uca02(365, 95)","(406, 160)",168
"GP010016_fast.MP4_uca02(365, 95)","(412, 160)",169
"GP010016_fast.MP4_uca02(365, 95)","(412, 159)",170
"GP010016_fast.MP4_uca02(365, 95)","(412, 159)",171
"GP010016_fast.MP4_uca02(365, 95)","(412, 160)",172
"GP010016_fast.MP4_uca02(365, 95)","(412, 159)",173
"GP010016_fast.MP4_uca02(365, 95)","(412, 159)",174
"GP010016_fast.MP4_uca02(365, 95)","(412, 158)",175
"GP010016_fast.MP4_uca02(365, 95)","(411, 158)",176
"GP010016_fast.MP4_uca02(365, 95)","(409, 159)",177
"GP010016_fast.MP4_uca02(365, 95)","(407, 160)",178
"GP010016_fast.MP4_uca02(365, 95)","(413, 157)",179
"GP010016_fast.MP4_uca02(365, 95)","(414, 156)",180
"GP010016_fast.MP4_uca02(365, 95)","(413, 155)",181
"GP010016_fast.MP4_uca02(365, 95)","(413, 154)",182
"GP010016_fast.MP4_uca02(365, 95)","(419, 154)",183
"GP010016_fast.MP4_uca02(365, 95)","(422, 152)",184
"GP010016_fast.MP4_uca02(365, 95)","(422, 152)",185
"GP010016_fast.MP4_uca02(365, 95)","(416, 156)",186
"GP010016_fast.MP4_uca02(365, 95)","(409, 158)",187
"GP010016_fast.MP4_uca02(365, 95)","(410, 157)",188
"GP010016_fast.MP4_uca02(365, 95)","(411, 156)",189
