file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.MP4,15112018,1822,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerBoosting 0x10f3e7ed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",0
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",1
"GP010016_fast.MP4_uca02(365, 93)","(365, 94)",2
"GP010016_fast.MP4_uca02(365, 93)","(365, 94)",3
"GP010016_fast.MP4_uca02(365, 93)","(365, 94)",4
"GP010016_fast.MP4_uca02(365, 93)","(365, 94)",5
"GP010016_fast.MP4_uca02(365, 93)","(365, 94)",6
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",7
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",8
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",9
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",10
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",11
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",12
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",13
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",14
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",15
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",16
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",17
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",18
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",19
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",20
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",21
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",22
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",23
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",24
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",25
"GP010016_fast.MP4_uca02(365, 93)","(365, 93)",26
"GP010016_fast.MP4_uca02(365, 93)","(366, 94)",27
"GP010016_fast.MP4_uca02(365, 93)","(366, 94)",28
"GP010016_fast.MP4_uca02(365, 93)","(366, 94)",29
"GP010016_fast.MP4_uca02(365, 93)","(366, 94)",30
"GP010016_fast.MP4_uca02(365, 93)","(366, 94)",31
"GP010016_fast.MP4_uca02(365, 93)","(366, 95)",32
"GP010016_fast.MP4_uca02(365, 93)","(366, 95)",33
"GP010016_fast.MP4_uca02(365, 93)","(367, 96)",34
"GP010016_fast.MP4_uca02(365, 93)","(367, 96)",35
"GP010016_fast.MP4_uca02(365, 93)","(367, 96)",36
"GP010016_fast.MP4_uca02(365, 93)","(367, 97)",37
"GP010016_fast.MP4_uca02(365, 93)","(366, 97)",38
"GP010016_fast.MP4_uca02(365, 93)","(366, 99)",39
"GP010016_fast.MP4_uca02(365, 93)","(366, 101)",40
"GP010016_fast.MP4_uca02(365, 93)","(366, 101)",41
"GP010016_fast.MP4_uca02(365, 93)","(366, 101)",42
"GP010016_fast.MP4_uca02(365, 93)","(365, 102)",43
"GP010016_fast.MP4_uca02(365, 93)","(365, 102)",44
"GP010016_fast.MP4_uca02(365, 93)","(365, 102)",45
"GP010016_fast.MP4_uca02(365, 93)","(365, 102)",46
"GP010016_fast.MP4_uca02(365, 93)","(365, 103)",47
"GP010016_fast.MP4_uca02(365, 93)","(365, 103)",48
"GP010016_fast.MP4_uca02(365, 93)","(365, 103)",49
"GP010016_fast.MP4_uca02(365, 93)","(365, 102)",50
"GP010016_fast.MP4_uca02(365, 93)","(365, 104)",51
"GP010016_fast.MP4_uca02(365, 93)","(365, 105)",52
"GP010016_fast.MP4_uca02(365, 93)","(366, 106)",53
"GP010016_fast.MP4_uca02(365, 93)","(367, 107)",54
"GP010016_fast.MP4_uca02(365, 93)","(369, 110)",55
"GP010016_fast.MP4_uca02(365, 93)","(369, 111)",56
"GP010016_fast.MP4_uca02(365, 93)","(369, 114)",57
"GP010016_fast.MP4_uca02(365, 93)","(370, 115)",58
"GP010016_fast.MP4_uca02(365, 93)","(370, 117)",59
"GP010016_fast.MP4_uca02(365, 93)","(372, 118)",60
"GP010016_fast.MP4_uca02(365, 93)","(373, 121)",61
"GP010016_fast.MP4_uca02(365, 93)","(372, 122)",62
"GP010016_fast.MP4_uca02(365, 93)","(373, 123)",63
"GP010016_fast.MP4_uca02(365, 93)","(374, 124)",64
"GP010016_fast.MP4_uca02(365, 93)","(376, 126)",65
"GP010016_fast.MP4_uca02(365, 93)","(376, 127)",66
"GP010016_fast.MP4_uca02(365, 93)","(377, 128)",67
"GP010016_fast.MP4_uca02(365, 93)","(376, 131)",68
"GP010016_fast.MP4_uca02(365, 93)","(377, 135)",69
"GP010016_fast.MP4_uca02(365, 93)","(378, 137)",70
"GP010016_fast.MP4_uca02(365, 93)","(378, 139)",71
"GP010016_fast.MP4_uca02(365, 93)","(378, 139)",72
"GP010016_fast.MP4_uca02(365, 93)","(378, 139)",73
"GP010016_fast.MP4_uca02(365, 93)","(379, 140)",74
"GP010016_fast.MP4_uca02(365, 93)","(380, 143)",75
"GP010016_fast.MP4_uca02(365, 93)","(381, 144)",76
"GP010016_fast.MP4_uca02(365, 93)","(382, 146)",77
"GP010016_fast.MP4_uca02(365, 93)","(383, 148)",78
"GP010016_fast.MP4_uca02(365, 93)","(384, 150)",79
"GP010016_fast.MP4_uca02(365, 93)","(385, 151)",80
"GP010016_fast.MP4_uca02(365, 93)","(387, 155)",81
"GP010016_fast.MP4_uca02(365, 93)","(387, 156)",82
"GP010016_fast.MP4_uca02(365, 93)","(389, 158)",83
"GP010016_fast.MP4_uca02(365, 93)","(389, 157)",84
"GP010016_fast.MP4_uca02(365, 93)","(389, 158)",85
"GP010016_fast.MP4_uca02(365, 93)","(388, 157)",86
"GP010016_fast.MP4_uca02(365, 93)","(388, 158)",87
"GP010016_fast.MP4_uca02(365, 93)","(388, 157)",88
"GP010016_fast.MP4_uca02(365, 93)","(388, 160)",89
"GP010016_fast.MP4_uca02(365, 93)","(387, 156)",90
"GP010016_fast.MP4_uca02(365, 93)","(388, 160)",91
"GP010016_fast.MP4_uca02(365, 93)","(391, 170)",92
"GP010016_fast.MP4_uca02(365, 93)","(389, 161)",93
"GP010016_fast.MP4_uca02(365, 93)","(389, 161)",94
"GP010016_fast.MP4_uca02(365, 93)","(393, 163)",95
"GP010016_fast.MP4_uca02(365, 93)","(393, 162)",96
"GP010016_fast.MP4_uca02(365, 93)","(394, 163)",97
"GP010016_fast.MP4_uca02(365, 93)","(394, 162)",98
"GP010016_fast.MP4_uca02(365, 93)","(395, 162)",99
"GP010016_fast.MP4_uca02(365, 93)","(397, 158)",100
"GP010016_fast.MP4_uca02(365, 93)","(399, 159)",101
"GP010016_fast.MP4_uca02(365, 93)","(389, 163)",102
"GP010016_fast.MP4_uca02(365, 93)","(390, 163)",103
"GP010016_fast.MP4_uca02(365, 93)","(391, 164)",104
"GP010016_fast.MP4_uca02(365, 93)","(392, 164)",105
"GP010016_fast.MP4_uca02(365, 93)","(392, 164)",106
"GP010016_fast.MP4_uca02(365, 93)","(391, 166)",107
"GP010016_fast.MP4_uca02(365, 93)","(391, 166)",108
"GP010016_fast.MP4_uca02(365, 93)","(390, 166)",109
"GP010016_fast.MP4_uca02(365, 93)","(390, 166)",110
"GP010016_fast.MP4_uca02(365, 93)","(390, 165)",111
"GP010016_fast.MP4_uca02(365, 93)","(390, 166)",112
"GP010016_fast.MP4_uca02(365, 93)","(390, 166)",113
"GP010016_fast.MP4_uca02(365, 93)","(390, 166)",114
"GP010016_fast.MP4_uca02(365, 93)","(390, 165)",115
"GP010016_fast.MP4_uca02(365, 93)","(390, 165)",116
"GP010016_fast.MP4_uca02(365, 93)","(390, 165)",117
"GP010016_fast.MP4_uca02(365, 93)","(390, 165)",118
"GP010016_fast.MP4_uca02(365, 93)","(390, 165)",119
"GP010016_fast.MP4_uca02(365, 93)","(389, 166)",120
"GP010016_fast.MP4_uca02(365, 93)","(390, 166)",121
"GP010016_fast.MP4_uca02(365, 93)","(390, 166)",122
"GP010016_fast.MP4_uca02(365, 93)","(400, 163)",123
"GP010016_fast.MP4_uca02(365, 93)","(399, 162)",124
"GP010016_fast.MP4_uca02(365, 93)","(399, 161)",125
"GP010016_fast.MP4_uca02(365, 93)","(399, 162)",126
"GP010016_fast.MP4_uca02(365, 93)","(399, 162)",127
"GP010016_fast.MP4_uca02(365, 93)","(399, 162)",128
"GP010016_fast.MP4_uca02(365, 93)","(399, 162)",129
"GP010016_fast.MP4_uca02(365, 93)","(399, 162)",130
