file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.MP4,15112018,1823,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerBoosting 0x10ca16ed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",0
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",1
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",2
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",3
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",4
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",5
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",6
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",7
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",8
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",9
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",10
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",11
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",12
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",13
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",14
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",15
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",16
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",17
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",18
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",19
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",20
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",21
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",22
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",23
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",24
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",25
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",26
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",27
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",28
"GP010016_fast.MP4_uca02(366, 95)","(366, 95)",29
"GP010016_fast.MP4_uca02(366, 95)","(366, 96)",30
"GP010016_fast.MP4_uca02(366, 95)","(366, 96)",31
"GP010016_fast.MP4_uca02(366, 95)","(366, 96)",32
"GP010016_fast.MP4_uca02(366, 95)","(367, 96)",33
"GP010016_fast.MP4_uca02(366, 95)","(367, 97)",34
"GP010016_fast.MP4_uca02(366, 95)","(367, 97)",35
"GP010016_fast.MP4_uca02(366, 95)","(367, 97)",36
"GP010016_fast.MP4_uca02(366, 95)","(367, 98)",37
"GP010016_fast.MP4_uca02(366, 95)","(367, 98)",38
"GP010016_fast.MP4_uca02(366, 95)","(367, 100)",39
"GP010016_fast.MP4_uca02(366, 95)","(366, 102)",40
