file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.MP4,15112018,1825,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerBoosting 0x10b75aed0>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",0
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",1
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",2
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",3
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",4
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",5
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",6
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",7
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",8
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",9
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",10
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",11
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",12
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",13
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",14
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",15
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",16
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",17
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",18
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",19
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",20
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",21
"GP010016_fast.MP4_uca02(364, 95)","(363, 95)",22
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",23
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",24
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",25
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",26
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",27
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",28
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",29
"GP010016_fast.MP4_uca02(364, 95)","(364, 95)",30
"GP010016_fast.MP4_uca02(364, 95)","(364, 96)",31
"GP010016_fast.MP4_uca02(364, 95)","(364, 96)",32
"GP010016_fast.MP4_uca02(364, 95)","(364, 97)",33
"GP010016_fast.MP4_uca02(364, 95)","(364, 98)",34
"GP010016_fast.MP4_uca02(364, 95)","(364, 98)",35
"GP010016_fast.MP4_uca02(364, 95)","(365, 99)",36
"GP010016_fast.MP4_uca02(364, 95)","(365, 99)",37
"GP010016_fast.MP4_uca02(364, 95)","(365, 100)",38
"GP010016_fast.MP4_uca02(364, 95)","(364, 103)",39
"GP010016_fast.MP4_uca02(364, 95)","(366, 101)",40
"GP010016_fast.MP4_uca02(364, 95)","(365, 102)",41
"GP010016_fast.MP4_uca02(364, 95)","(365, 102)",42
"GP010016_fast.MP4_uca02(364, 95)","(365, 103)",43
"GP010016_fast.MP4_uca02(364, 95)","(365, 103)",44
"GP010016_fast.MP4_uca02(364, 95)","(365, 103)",45
"GP010016_fast.MP4_uca02(364, 95)","(365, 103)",46
"GP010016_fast.MP4_uca02(364, 95)","(365, 103)",47
"GP010016_fast.MP4_uca02(364, 95)","(365, 103)",48
"GP010016_fast.MP4_uca02(364, 95)","(365, 103)",49
"GP010016_fast.MP4_uca02(364, 95)","(365, 103)",50
"GP010016_fast.MP4_uca02(364, 95)","(366, 105)",51
"GP010016_fast.MP4_uca02(364, 95)","(366, 105)",52
"GP010016_fast.MP4_uca02(364, 95)","(367, 106)",53
"GP010016_fast.MP4_uca02(364, 95)","(368, 108)",54
"GP010016_fast.MP4_uca02(364, 95)","(369, 110)",55
"GP010016_fast.MP4_uca02(364, 95)","(368, 112)",56
"GP010016_fast.MP4_uca02(364, 95)","(368, 115)",57
"GP010016_fast.MP4_uca02(364, 95)","(369, 116)",58
"GP010016_fast.MP4_uca02(364, 95)","(370, 118)",59
"GP010016_fast.MP4_uca02(364, 95)","(371, 119)",60
"GP010016_fast.MP4_uca02(364, 95)","(372, 122)",61
"GP010016_fast.MP4_uca02(364, 95)","(373, 123)",62
"GP010016_fast.MP4_uca02(364, 95)","(374, 124)",63
"GP010016_fast.MP4_uca02(364, 95)","(375, 125)",64
"GP010016_fast.MP4_uca02(364, 95)","(376, 127)",65
"GP010016_fast.MP4_uca02(364, 95)","(377, 127)",66
